"","round","female","migrant","age","education","polint","prof_training","employment","east","party_pref","internal_effic_ind","external_effic_ind","risk_aversion_ind","csp","active_sport","active_music","active_union","active_environment","active_social","active_religion","active_political","active_other","treatment","wtr_cand","wtr_engage","information","perception_risk_1","perception_risk_2","perception_envir_ind","wtr_ind_full","wtr_ind_reduc","wtr_ind_friend","wtr_work_bt","traits_1","traits_2","traits_3","traits_4","traits_5","traits_6","traits_7","third_round"
"2201",3,1,0,49,1,4,NA,NA,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,2,1,NA,NA,2,2.75,1.5,1.5,1.5,1,NA,NA,NA,NA,NA,NA,NA,1
"2202",3,1,0,52,1,4,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,NA,NA,2,3,1.25,1,1.5,2,NA,NA,NA,NA,NA,NA,NA,1
"2203",3,0,0,44,3,7,NA,NA,NA,NA,NA,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,3,4,NA,NA,2,3.25,3.75,3.5,4,3,NA,NA,NA,NA,NA,NA,NA,1
"2204",3,1,0,66,3,5,NA,NA,NA,NA,NA,NA,NA,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4,NA,NA,2,3,3,2.5,3.5,4,NA,NA,NA,NA,NA,NA,NA,1
"2205",3,1,0,73,1,4,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,NA,NA,1,3.5,2,1,3,3,NA,NA,NA,NA,NA,NA,NA,1
"2206",3,1,0,48,2,5,NA,NA,NA,NA,NA,NA,NA,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,4,4,NA,NA,1,2.25,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,1
"2207",3,0,0,48,2,6,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,2,3,NA,NA,2,3,2.75,2.5,3,3,NA,NA,NA,NA,NA,NA,NA,1
"2208",3,1,0,54,3,6,NA,NA,NA,NA,NA,NA,NA,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,NA,NA,1,3.25,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1
"2209",3,1,0,60,1,5,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,NA,NA,1,2.75,1.33333333333333,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1
"2210",3,0,0,65,2,6,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,NA,NA,1,2.25,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1
"2211",3,0,0,60,1,6,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,NA,NA,1,2.5,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,1
"2212",3,1,0,34,3,5,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,2,NA,NA,1,3.5,2.25,1.5,3,4,NA,NA,NA,NA,NA,NA,NA,1
"2213",3,1,0,70,2,7,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,2,3,NA,NA,1,3,3,2.5,3.5,4,NA,NA,NA,NA,NA,NA,NA,1
"2214",3,0,0,36,3,5,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,4,4,NA,NA,4,4.5,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,1
