,vorname,geschlecht
352,Asmin,w
353,Assena,w
354,Assil,w
355,Assunta,w
356,Astra,w
357,Astrid,w
358,Asya,w
359,Atahan,m
360,Atakan,m
361,Athena,w
362,Atikah,w
363,Atlas,m
364,Atticus,m
365,August,m
366,Augusta,w
367,Auguste,m
368,Auguste,w
369,Augustin,m
370,Augustine,w
371,Augustinus,m
372,Aurel,m
373,Aurelia,w
374,Aureliano,m
375,Aurelio,m
376,Aurora,w
377,Aurore,w
378,Aurélia,w
379,Aurélie,w
380,Ava,w
381,Avaline,w
382,Avan,m
383,Avara,w
384,Avelina,w
385,Avellana,w
386,Avery,w
387,Avgoustinos,m
388,Avi,m
389,Aviel,m
390,Avin,w
391,Avir,m
392,Aviv,m
393,Aviva,w
394,Avram,m
395,Avriel,m
396,Avşin,w
397,Awa,w
398,Awa-Djamila,w
399,Awin,w
400,Awni,m
401,Axel,m
402,Aya,w
403,Ayana,w
404,Ayat,w
405,Ayaz,m
406,Ayda,w
407,Ayden,m
408,Aydin,m
409,Aykan,m
410,Ayla,w
411,Aylin,w
412,Ayliz,w
413,Ayman,m
414,Ayodele,w
415,Aysel,w
416,Ayun,w
417,Azad,m
418,Azadeh,w
419,Azamatuli,m
420,Azer,m
421,Azim,m
422,Azimah,w
423,Aziz,m
424,Azize,w
425,Azra,w
426,Azul,w
427,Açelya,w
428,Ba,w
429,Bahar,w
430,Bahri,m
431,Baki,m
432,Bakr,m
433,Balduin,m
434,Balthasar,m
435,Balthazar,m
436,Bang,m
437,Bao,w
438,Baptiste,m
439,Bar,w
440,Barbara,w
441,Baris,m
442,Bartosz,m
443,Bas,m
444,Basil,m
445,Bassam,m
446,Bastian,m
447,Batinali,m
448,Batuhan,m
449,Batul,w
450,Bayan,w
451,Bear,w
452,Beat,m
453,Beate,w
454,Beau,m
455,Beba,w
456,Bekir,m
457,Bela,m
458,Belchior,m
459,Belinda,w
460,Bella,w
461,Bellissima,w
462,Belén,w
463,Ben,m
464,Bence,m
465,Bendix,m
466,Benedict,m
467,Benedikt,m
468,Bengt,m
469,Benjamin,m
470,Benji,m
471,Benki,m
472,Bennet,m
473,Bennett,m
474,Benno,m
475,Benny,m
476,Benski,w
477,Bente,w
478,Berat,m
479,Beren,w
480,Berit,w
481,Berk,m
482,Berkay,m
483,Berlin,w
484,Bernadette,w
485,Bernhard,m
486,Berta,w
487,Beyna,w
488,Beyza,w
489,Bianca,w
490,Bibi,w
491,Bijan,m
492,Bijou,w
493,Bilal,m
494,Billal,m
495,Bille,m
496,Billie,w
497,Binah,w
498,Birgit,w
499,Birgitt,w
500,Birk,m
501,Bjarne,m
502,Björn,m
503,Blake,m
504,Blix,m
505,Bo,m
506,Bodhi,m
507,Bogumila,w
508,Bonaventura,m
509,Bonnie,w
510,Bora,m
511,Boran,m
512,Boris,m
513,Bosse,m
514,Boubou,m
515,Bree,w
516,Brewster,m
517,Brian,m
518,Bringfriede,w
519,Bronco,m
520,Brooke-Diamond,w
521,Bruna,w
522,Bruno,m
523,Béla,m
524,Bình,m
525,Bó,m
526,Bảo-Vy,w
527,Cahit,m
528,Caillou,m
529,Caily,w
530,Caio,m
531,Calla,w
532,Cami,m
533,Camill,m
534,Camilla,w
535,Camilo,m
536,Camina,w
537,Can,m
538,Cansu,w
539,Cara,w
540,Carina,w
541,Carl,m
542,Carla,w
543,Carla-Helene,w
544,Carlo,m
545,Carlos,m
546,Carlotta,w
547,Carmelo,m
548,Carmen,w
549,Carola,w
550,Carolin,w
551,Carolina,w
552,Caroline,w
553,Carsten,m
554,Casimir,m
555,Caspar,m
556,Casper,m
557,Caspian,m
558,Castiel,m
559,Cataleya,w
560,Catalina,w
561,Caterina,w
562,Catherine,w
563,Cato,w
564,Cecil,m
565,Cecilia,w
566,Cecilie,w
567,Cedric,m
568,Celeste,w
569,Celestina,w
570,Celia,w
571,Celin,w
572,Celina,w
573,Celine,w
574,Cem,m
575,Cemil,m
576,Cenan,m
577,Cengiz,m
578,Cenk-Taylan,m
579,Cennet,w
580,Chanel,w
581,Chantal,w
582,Chantall,w
583,Charles,m
584,Charlie,m
585,Charlotta,w
586,Charlotte,w
587,Charly,m
588,Chedjouo,m
589,Cheik-Moussa,m
590,Cheon-Sa,w
591,Chesley,m
592,Cheyenne,w
593,Chiara,w
594,Chihiro,w
595,Chimezirim,m
596,Chloe,w
597,Chloé,w
598,Christa,w
599,Christel,w
600,Christian,m
601,Christiane,w
602,Christiano,m
603,Christin,w
604,Christine,w
605,Christonia,w
606,Christoph,m
607,Christopher,m
608,Cihad,m
609,Cinar,m
610,Ciro,m
611,Citlali,w
612,Clara,m
613,Clara,w
614,Clarisa,w
615,Claudia,w
616,Claus,m
617,Clay,m
618,Clemens,m
619,Clement,m
620,Cleo,w
621,Clio,w
622,Clémentine,w
623,Colin,m
624,Collin,m
625,Connor,m
626,Conrad,m
627,Constantin,m
628,Cora,w
629,Cornelia,w
630,Cornelis,m
631,Cornelius,m
632,Corvin,m
633,Cosima,w
634,Cosma,w
635,Cosmo,m
636,Couturier,m
637,Curt,m
638,Cyrine,w
639,Cyrus,m
640,Cécile,w
641,Célestine,w
642,César,m
643,Dachi,m
644,Dae-Ho,m
645,Dagmar,w
646,Dakota,w
647,Dalia,w
648,Daliah,w
649,Dalija,w
650,Dalin,w
651,Dalit-Sarah,w
652,Damian,m
653,Damian-Levi,m
654,Damien,m
655,Damir,m
656,Dan,m
657,Dana,w
658,Danaila,w
659,Danial,m
660,Danica,w
661,Daniel,m
662,Daniela,w
663,Daniella-Enisa,w
664,Daniil,m
665,Danilo,m
666,Dann,m
667,Dante,m
668,Danyal,m
669,Daphna,w
670,Daphne,w
671,Daria,w
672,Dariana,w
673,Dariel,m
674,Daris,m
675,Darius,m
676,Darren,m
677,Dashin,m
678,Dastan,m
679,David,m
680,Davida,w
681,Daviel,m
682,Davin,m
683,Davit,m
684,Dayala,m
685,Dayan,m
686,Dedrica,w
687,Deliah,w
688,Delnia,w
689,Delphine,w
690,Dengiz,m
691,Denisa,w
692,Denise,w
693,Deniz,m
694,Deniz,w
695,Destan,m
696,Destiny,w
697,Detlef,m
698,Devin,m
699,Devran,m
700,Devrim,m
701,Dewran,m
702,Dian,m
703,Diana,w
704,Dias,m
705,Diego,m
706,Dijan,m
707,Dijar,m
708,Dilayla,w
709,Dimitrios,m
710,Dion,m
711,Dion-Jackson,m
712,Dior,m
713,Dirk,m
714,Diyan,m
715,Diyar,m
716,Djibril,m
717,Dmitry,m
718,Do,m
719,Domenico,m
720,Dominic,m
721,Dominik,m
722,Dominique,m
723,Donata,w
724,Doninik,m
725,Dora,w
726,Dorian,m
727,Dorli,w
728,Doron,m
729,Dorothea,w
730,Dorothee,w
731,Doğa,w
732,Drago,m
733,Dragomirova,w
734,Drin,m
735,Dua,w
736,Dudu,w
737,Duha,m
738,Dunya,w
739,Dustin,m
740,Dušan,m
741,Dzevad,m
742,Eathan,m
743,Ecrin,w
744,Eda,w
745,Edda,w
746,Eddi,m
747,Eddie,m
748,Eddy,m
749,Ede,m
750,Eden,m
751,Edgar,m
752,Edibe,w
753,Edin,m
754,Edis,m
755,Edith,w
756,Ediz,m
757,Edna,w
758,Eduard,m
759,Edward,m
760,Efe,m
761,Efran,m
762,Efsun,w
763,Ege,m
764,Egon,m
765,Egorovič,m
766,Ehlâ-Mavi,w
767,Eitan,m
768,Ejike,m
769,Ekin,m
770,Ela,w
771,Elaine,w
772,Elanur,w
773,Elara,w
774,Elaref,w
775,Elaïa,w
776,Elda,w
777,Elea,w
778,Eleana,w
779,Eleanor,w
780,Eleanore,w
781,Elektra,w
782,Elen,w
783,Elena,w
784,Eleni,w
785,Eleonora,w
786,Eleonore,w
787,Eleya,w
788,Eleyna,w
789,Elfie,w
790,Elfriede,w
791,Elham,w
792,Eli,m
793,Elia,m
794,Eliah,m
795,Elian,m
796,Eliana,w
797,Eliano,m
798,Elias,m
799,Elicia,w
800,Elida,w
801,Elif,w
802,Eligh-Jan,m
803,Elija,m
804,Elijah,m
805,Elijas,m
806,Elikya,w
807,Elim,m
808,Elin,w
809,Elina,w
810,Eline,w
811,Elini,w
812,Elino,m
813,Elinor,w
814,Elio,m
815,Eliora,w
816,Elis,w
817,Elisa,w
818,Elisabeth,w
819,Elisana,w
820,Elisavet,w
821,Elise,w
822,Eliseo,m
823,Elissa,w
824,Eliya,w
825,Eliyan,m
826,Eliz,w
827,Eliza,w
828,Elizabeth,w
829,Elián,m
830,Eliòn,m
831,Eljas,m
832,Ella,w
833,Elle,w
834,Ellen,w
835,Elli,w
836,Ellie,w
837,Elliot,m
838,Elliott,m
839,Elmar,m
840,Elodie,w
841,Elon,m
842,Elouan,m
843,Eloïse,w
844,Elsa,w
845,Elsbeth,w
846,Else,w
847,Elva,w
848,Elvin,m
849,Elvin,w
850,Elvis,m
851,Elyar,m
852,Elyas,m
853,Elyes,m
854,Elías,m
855,Ema,w
856,Emanuel,m
857,Emanuele,m
858,Emanuelova,w
859,Emelie,w
860,Emelina,w
861,Emeljana,w
862,Emely-Hiwa,w
863,Emil,m
864,Emil-Luis,m
865,Emile,m
866,Emileo,m
867,Emili,w
868,Emilia,w
869,Emilian,m
870,Emiliano,m
871,Emilie,w
872,Emilija,w
873,Emilio,m
874,Emilova,w
875,Emily,w
876,Emin,m
877,Emine,w
878,Emir,m
879,Emirhan,m
880,Emma,w
881,Emmanuel,m
882,Emmeth,m
883,Emmi,w
884,Emmy,w
885,Emna,w
886,En,m
887,Encarnación,w
888,Enea,m
889,Eneas,m
890,Eneko,m
891,Ener,m
892,Enes,m
893,Enisa,w
894,Enissa-Mathilda,w
895,Enna,w
896,Enni,w
897,Ennio,m
898,Enno,m
899,Enrico,m
900,Enrique,m
901,Ensar,m
902,Enya,w
903,Enzo,m
904,Eo,m
905,Eowyn,w
906,Erasmus,m
907,Eray,m
908,Erdem,m
909,Erdi,m
910,Eren,m
911,Eric,m
912,Erich,m
913,Erik,m
914,Erika,w
915,Erim,m
916,Erjon,m
917,Ermina,w
918,Ernest,m
919,Ernesto,m
920,Ernistovna,w
921,Erol,m
922,Eros,m
923,Ertuğrul,m
924,Erva,w
925,Erwin,m
926,Eser,m
927,Esila,w
928,Esilay,w
929,Eslem,w
930,Esme,w
931,Espen,m
932,Esra,w
933,Esref,m
934,Estela,w
935,Estelle,w
936,Ester,w
937,Esther,w
938,Esti,w
939,Ethan,m
940,Etido,w
941,Etienne,m
942,Eunho,m
943,Eva,w
944,Evan,m
945,Evangelina,w
946,Eve,w
947,Evelyn,w
948,Evelyna-Aurelia,w
949,Even,m
950,Everett,m
951,Evi,w
952,Eviatar,m
953,Evrard,m
954,Ewen,w
955,Eya,w
956,Eylül,w
957,Eymen,m
958,Eyoel,m
959,Ezgi,w
960,Ezio,m
961,Fabia,w
962,Fabian,m
963,Fabio,m
964,Fahasoava,m
965,Fahd,m
966,Fahsai,m
967,Faisal,w
968,Falah,m
969,Falak,m
970,Fanni,w
971,Fanuel,m
972,Farhan,m
973,Farid,m
974,Faris,m
975,Faritovna,w
976,Fatih,m
977,Fatima,w
978,Fatma,w
979,Fe,w
980,Federico,m
981,Feivel,m
982,Felia,w
983,Felice,w
984,Felicia,w
985,Felician,m
986,Felicitas,w
987,Felina,w
988,Feline,w
989,Felipa,w
990,Felipe,m
991,Felix,m
992,Femke,w
993,Fenno,m
994,Fera,w
995,Ferdi,m
996,Ferdinand,m
997,Feri,m
998,Feridoun,m
999,Feriha,w
1000,Fernanda,w
1001,Ferris,m
1002,Fethi,m
1003,Feyrouz,w
1004,Fiadh,w
1005,Fiby,w
1006,Fidel,m
1007,Fidelia,w
1008,Fielia,w
1009,Fiete,m
1010,Fikreta,w
1011,Filip,m
1012,Filipa,w
1013,Filippa,w
1014,Filippo,m
1015,Filou,m
1016,Fin,m
1017,Fina,w
1018,Finian,m
1019,Finja,w
1020,Finn,m
1021,Finnegan,m
1022,Finnian,m
1023,Fio,m
1024,Fiona,w
1025,Fionn,m
1026,Fiora,w
1027,Fira,w
1028,Fitz,m
1029,Fitzgerald,m
1030,Fjala,w
1031,Fjell,m
1032,Fjella,w
1033,Fleur,w
1034,Fljora,m
1035,Floki,m
1036,Flor,w
1037,Flora,w
1038,Flora-Augustine,w
1039,Florence,w
1040,Florentina,w
1041,Florentine,w
1042,Floria,w
1043,Florian,m
1044,Florina,w
1045,Flynn,m
1046,Folade,w
1047,Fosu,m
1048,Foxi,w
1049,Francesca,w
1050,Francesco,m
1051,Francis,m
1052,Francisc,m
1053,Francisco,m
1054,Franciszek,m
1055,Frane,m
1056,Frank,m
1057,Franka,w
1058,Franz,m
1059,Franziska,w
1060,Franziskus,m
1061,Françoisovna,w
1062,Frea,w
1063,Fred,m
1064,Freda,w
1065,Freddi,m
1066,Freddie,m
1067,Frederic,m
1068,Frederick,m
1069,Frederik,m
1070,Fredrik,m
1071,Freja,w
1072,Freya,w
1073,Fri,w
1074,Frida,w
1075,Frido,m
1076,Fridolin,m
1077,Frieda,w
1078,Frieder,m
1079,Friederike,w
1080,Friedgart,w
1081,Friedrich,m
1082,Fritz,m
1083,Fritzi,w
1084,Frédéric,m
1085,Fynn,m
1086,Fábio,m
1087,Gabriel,m
1088,Gabriela,w
1089,Gabriele,m
1090,Gabriele,w
1091,Gabriella,w
1092,Gabrijel,m
1093,Gabrijela,w
1094,Gad,m
1095,Gaja,w
1096,Galeva,w
1097,Galina,w
1098,Gaspar,m
1099,Gayal,w
1100,Gediz,m
1101,Gemma,w
1102,Gene,m
1103,Georg,m
1104,George,m
1105,George-Luca,m
1106,Georges,m
1107,Georgi,m
1108,Georgina,w
1109,Georgine,w
1110,Georgios,m
1111,Gerard,m
1112,Gerda,w
1113,Gerhard,m
1114,Gertrud,w
1115,Gharam,w
1116,Gia,w
1117,Gianluca,m
1118,Gianna,w
1119,Gianni,m
1120,Gigi,w
1121,Gil,m
1122,Gino,m
1123,Giobbe,m
1124,Gioele,m
1125,Gioia,w
1126,Giorgi,m
1127,Giorgia,w
1128,Giorgio,m
1129,Giovanni,m
1130,Gisel,w
1131,Giulia,w
1132,Giuliana,w
1133,Giuliano,m
1134,Giulio,m
1135,Giustina,w
1136,Gladys,w
1137,Gloria,w
1138,Godefrid,m
1139,Golda,w
1140,Golnar,w
1141,Gottier,m
1142,Goziem,m
1143,Grace,w
1144,Gregor,m
1145,Greta,w
1146,Grethe,w
1147,Grigorij,m
1148,Guido,m
1149,Guilherme,m
1150,Guim,m
1151,Guma,m
1152,Gunter,m
1153,Gustav,m
1154,Gökhan,m
1155,Gönül,w
1156,Gül,w
1157,Gülsu,w
1158,Gülsüm,w
1159,Günther,m
1160,Güven,m
1161,Hadi,m
1162,Hafsa,w
1163,Hagen,m
1164,Haidar,m
1165,Hailey,w
1166,Haily,w
1167,Haim,m
1168,Haki,m
1169,Halil,m
1170,Halit,m
1171,Hamide,w
1172,Hamlet,w
1173,Hamza,m
1174,Hamza,w
1175,Hamza-Abbas,m
1176,Han,m
1177,Hana,w
1178,Hanefi,m
1179,Hanja,w
1180,Hanna,w
1181,Hannah,w
1182,Hanne,w
1183,Hannes,m
1184,Hanno,m
1185,Hans,m
1186,Hans-Harald,m
1187,Hanyani,m
1188,Hardhik,m
1189,Hardy,m
1190,Hareer,w
1191,Harisa,w
1192,Hariz,m
1193,Haro,m
1194,Haroun,m
1195,Harriet,w
1196,Harry,m
1197,Haru,m
1198,Haru,w
1199,Harun,m
1200,Harvey,m
1201,Hasan,m
1202,Hassan,m
1203,Hassan,w
1204,Hatem,m
1205,Haura,w
1206,Hava,w
1207,Havin-Helen,w
1208,Hayal,w
1209,Hayat,w
1210,Hayato,m
1211,Haydar,m
1212,Hayk,w
1213,Haylen,w
1214,Hayri,m
1215,Hayul,w
1216,Hazel,w
1217,Haçer,w
1218,Hector,m
1219,Hedda,w
1220,Hedi,m
1221,Hedi,w
1222,Hedy,w
