,crime,city,law,date,background,suspects,party,state,plz,city_id,bl_kuerzel,year,month,day,cycle_1,cycle_2,cycle_3,crime_count,Anzahl Bewerber,darunter Frauen,Land,crime_count_party_lr,crime_count_party,crime_count_lr,crime_count_city,party_lr,Bewerber_city,Frauen_city,bewerber_hit_by_lr,fem_hit_by_lr,bewerber_party_hit_by_lr,fem_party_hit_by_lr,p_female,p_female_lr,p_female_city,p_female_party_lr,p_female_diff,p_female_city_diff,p_female_lr_diff,p_female_party_lr_diff
12,Korperverletzung,Stuttgart,STGB-224,2019-07-13,Links,2.0,GRÜNE,BW,70173.0,8111000.0,BW,2019,07,13,2019.0,2019.0,2019.0,1.0,60.0,30.0,8.0,4.0,4.0,10.0,16.0,left,1020.0,375.0,600.0,216.0,240.0,120.0,0.5,0.36,0.36764705882352944,0.5,0.0,-0.01092436974789912,0.15999999999999998,
13,Korperverletzung,Stuttgart,STGB-223,2019-07-13,Links,1.0,GRÜNE,BW,70173.0,8111000.0,BW,2019,07,13,2019.0,2019.0,2019.0,1.0,60.0,30.0,8.0,4.0,4.0,10.0,16.0,left,1020.0,375.0,600.0,216.0,240.0,120.0,0.5,0.36,0.36764705882352944,0.5,0.0,-0.01092436974789912,0.15999999999999998,
14,Gefahrliche Korperverletzung,Stuttgart,STGB-224,2019-07-13,Links,2.0,GRÜNE,BW,70173.0,8111000.0,BW,2019,07,13,2019.0,2019.0,2019.0,1.0,60.0,30.0,8.0,4.0,4.0,10.0,16.0,left,1020.0,375.0,600.0,216.0,240.0,120.0,0.5,0.36,0.36764705882352944,0.5,0.0,-0.01092436974789912,0.15999999999999998,
15,Korperverletzung,Stuttgart,STGB-223,2019-07-13,Links,1.0,GRÜNE,BW,70173.0,8111000.0,BW,2019,07,13,2019.0,2019.0,2019.0,1.0,60.0,30.0,8.0,4.0,4.0,10.0,16.0,left,1020.0,375.0,600.0,216.0,240.0,120.0,0.5,0.36,0.36764705882352944,0.5,0.0,-0.01092436974789912,0.15999999999999998,
16,,Stuttgart,,,,,SPD,BW,70173.0,8111000.0,BW,,,,2019.0,2019.0,2019.0,0.0,60.0,30.0,8.0,0.0,0.0,0.0,16.0,left,1020.0,375.0,0.0,0.0,0.0,0.0,0.5,,0.36764705882352944,,0.0,-0.01092436974789912,,
17,Beleidigung,Stuttgart,185 StGB,2019-01-09,Links,1.0,AfD,BW,70173.0,8111000.0,BW,2019,01,09,2014.0,2014.0,2014.0,1.0,60.0,12.0,8.0,10.0,14.0,13.0,27.0,right,420.0,159.0,120.0,24.0,120.0,24.0,0.2,0.2,0.37857142857142856,0.2,0.06666666666666665,-0.01092436974789912,0.15999999999999998,0.06666666666666665
18,Sachbeschadigung,Stuttgart,303 StGB,2019-02-16,Links,0.0,AfD,BW,70173.0,8111000.0,BW,2019,02,16,2014.0,2014.0,2014.0,1.0,60.0,12.0,8.0,10.0,14.0,13.0,27.0,right,420.0,159.0,120.0,24.0,120.0,24.0,0.2,0.2,0.37857142857142856,0.2,0.06666666666666665,-0.01092436974789912,0.15999999999999998,0.06666666666666665
19,,Stuttgart,,,,,CDU,BW,70173.0,8111000.0,BW,,,,2014.0,2014.0,2014.0,0.0,60.0,28.0,8.0,0.0,1.0,0.0,27.0,right,420.0,159.0,0.0,0.0,0.0,0.0,0.4666666666666667,,0.37857142857142856,,-0.04999999999999999,-0.01092436974789912,,
20,,Stuttgart,,,,,DIE LINKE,BW,70173.0,8111000.0,BW,,,,2014.0,2014.0,2014.0,0.0,60.0,28.0,8.0,0.0,0.0,0.0,27.0,left,420.0,159.0,0.0,0.0,0.0,0.0,0.4666666666666667,,0.37857142857142856,,0.016666666666666663,-0.01092436974789912,,
21,,Stuttgart,,,,,FDP,BW,70173.0,8111000.0,BW,,,,2014.0,2014.0,2014.0,0.0,60.0,19.0,8.0,0.0,4.0,0.0,27.0,right,420.0,159.0,0.0,0.0,0.0,0.0,0.31666666666666665,,0.37857142857142856,,-0.016666666666666663,-0.01092436974789912,,
22,,Stuttgart,,,,,GRÜNE,BW,70173.0,8111000.0,BW,,,,2014.0,2014.0,2014.0,0.0,60.0,30.0,8.0,0.0,1.0,0.0,27.0,left,420.0,159.0,0.0,0.0,0.0,0.0,0.5,,0.37857142857142856,,0.0,-0.01092436974789912,,
23,,Stuttgart,,,,,SPD,BW,70173.0,8111000.0,BW,,,,2014.0,2014.0,2014.0,0.0,60.0,30.0,8.0,0.0,2.0,0.0,27.0,left,420.0,159.0,0.0,0.0,0.0,0.0,0.5,,0.37857142857142856,,0.0,-0.01092436974789912,,
24,,Aidlingen,,,,,AfD,BW,71134.0,8115001.0,BW,,,,2019.0,2019.0,2019.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,right,57.0,19.0,0.0,0.0,0.0,0.0,,,0.3333333333333333,,,0.024242424242424232,,
25,,Aidlingen,,,,,CDU,BW,71134.0,8115001.0,BW,,,,2019.0,2019.0,2019.0,0.0,19.0,6.0,8.0,0.0,0.0,0.0,0.0,right,57.0,19.0,0.0,0.0,0.0,0.0,0.3157894736842105,,0.3333333333333333,,-0.017543859649122806,0.024242424242424232,,
26,,Aidlingen,,,,,DIE LINKE,BW,71134.0,8115001.0,BW,,,,2019.0,2019.0,2019.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,left,57.0,19.0,0.0,0.0,0.0,0.0,,,0.3333333333333333,,,0.024242424242424232,,
27,,Aidlingen,,,,,FDP,BW,71134.0,8115001.0,BW,,,,2019.0,2019.0,2019.0,0.0,9.0,2.0,8.0,0.0,0.0,0.0,0.0,right,57.0,19.0,0.0,0.0,0.0,0.0,0.2222222222222222,,0.3333333333333333,,0.05555555555555555,0.024242424242424232,,
28,,Aidlingen,,,,,GRÜNE,BW,71134.0,8115001.0,BW,,,,2019.0,2019.0,2019.0,0.0,18.0,9.0,8.0,0.0,0.0,0.0,0.0,left,57.0,19.0,0.0,0.0,0.0,0.0,0.5,,0.3333333333333333,,0.11538461538461536,0.024242424242424232,,
29,,Aidlingen,,,,,SPD,BW,71134.0,8115001.0,BW,,,,2019.0,2019.0,2019.0,0.0,11.0,2.0,8.0,0.0,0.0,0.0,0.0,left,57.0,19.0,0.0,0.0,0.0,0.0,0.18181818181818182,,0.3333333333333333,,-0.09595959595959597,0.024242424242424232,,
30,,Aidlingen,,,,,AfD,BW,71134.0,8115001.0,BW,,,,2014.0,2014.0,2014.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,right,55.0,17.0,0.0,0.0,0.0,0.0,,,0.3090909090909091,,,0.024242424242424232,,
31,,Aidlingen,,,,,CDU,BW,71134.0,8115001.0,BW,,,,2014.0,2014.0,2014.0,0.0,18.0,6.0,8.0,0.0,0.0,0.0,0.0,right,55.0,17.0,0.0,0.0,0.0,0.0,0.3333333333333333,,0.3090909090909091,,-0.017543859649122806,0.024242424242424232,,
32,,Aidlingen,,,,,DIE LINKE,BW,71134.0,8115001.0,BW,,,,2014.0,2014.0,2014.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,left,55.0,17.0,0.0,0.0,0.0,0.0,,,0.3090909090909091,,,0.024242424242424232,,
