,city,party,Anzahl Bewerber,darunter Frauen,year,state,plz,city_id,Land,bl_kuerzel
63,Deckenpfronn,FDP,0,0,2019.0,BW,75392,8115010.0,8.0,BW
64,Deckenpfronn,GRÜNE,0,0,2019.0,BW,75392,8115010.0,8.0,BW
65,Deckenpfronn,SPD,0,0,2019.0,BW,75392,8115010.0,8.0,BW
66,Deckenpfronn,AfD,0.0,0.0,2014.0,BW,75392,8115010.0,8.0,BW
67,Deckenpfronn,CDU,0.0,0.0,2014.0,BW,75392,8115010.0,8.0,BW
68,Deckenpfronn,DIE LINKE,0.0,0.0,2014.0,BW,75392,8115010.0,8.0,BW
69,Deckenpfronn,FDP,0.0,0.0,2014.0,BW,75392,8115010.0,8.0,BW
70,Deckenpfronn,GRÜNE,0.0,0.0,2014.0,BW,75392,8115010.0,8.0,BW
71,Deckenpfronn,SPD,0.0,0.0,2014.0,BW,75392,8115010.0,8.0,BW
72,Ehningen,AfD,0,0,2019.0,BW,71139,8115013.0,8.0,BW
73,Ehningen,CDU,18,5,2019.0,BW,71139,8115013.0,8.0,BW
74,Ehningen,DIE LINKE,0,0,2019.0,BW,71139,8115013.0,8.0,BW
75,Ehningen,FDP,0,0,2019.0,BW,71139,8115013.0,8.0,BW
76,Ehningen,GRÜNE,18,9,2019.0,BW,71139,8115013.0,8.0,BW
77,Ehningen,SPD,18,8,2019.0,BW,71139,8115013.0,8.0,BW
78,Ehningen,AfD,0.0,0.0,2014.0,BW,71139,8115013.0,8.0,BW
79,Ehningen,CDU,18.0,4.0,2014.0,BW,71139,8115013.0,8.0,BW
80,Ehningen,DIE LINKE,0.0,0.0,2014.0,BW,71139,8115013.0,8.0,BW
81,Ehningen,FDP,0.0,0.0,2014.0,BW,71139,8115013.0,8.0,BW
82,Ehningen,GRÜNE,0.0,0.0,2014.0,BW,71139,8115013.0,8.0,BW
83,Ehningen,SPD,14.0,6.0,2014.0,BW,71139,8115013.0,8.0,BW
84,Gartringen,AfD,0,0,2019.0,BW,71116,8115015.0,8.0,BW
85,Gartringen,CDU,22,7,2019.0,BW,71116,8115015.0,8.0,BW
86,Gartringen,DIE LINKE,0,0,2019.0,BW,71116,8115015.0,8.0,BW
