,crime,city,law,date,background,suspects,party,Land
102,Sachbeschadigung,Ahrensfelde,STGB-303,06.08.2019,Links,0,GRÜNE,12
103,Sachbeschadigung,Ahrensfelde,Â§ 303 StGB,18.05.2019,Nicht zuzuordnen,2,Sonstige Partei,12
104,Sachbeschadigung,Ahrensfelde,STGB-303,06.08.2019,Links,0,CDU,12
105,Sachbeschadigung,Ahrensfelde,STGB-303,06.08.2019,Links,0,FDP,12
106,Sachbeschadigung,Ahrensfelde,STGB-303,06.08.2019,Links,0,SPD,12
107,,Ahrenshagen-Daskow,,,,,,13
108,,Ahrenshoft,,,,,,1
109,,Ahrenshoop,,,,,,13
110,,Ahrenviol,,,,,,1
111,,Ahrenviolfeld,,,,,,1
112,,Aicha vorm Wald,,,,,,9
113,,Aichach,,,,,,9
114,,Aichelberg,,,,,,8
115,,Aichen,,,,,,9
116,,Aichhalden,,,,,,8
117,,Aichstetten,,,,,,8
118,Beleidigung,Aichtal,Â§ 185 StGB,09.05.2019,Nicht zuzuordnen,0,GRÜNE,8
119,,Aichwald,,,,,,8
120,,Aidenbach,,,,,,9
121,,Aidhausen,,,,,,9
122,,Aidlingen,,,,,,8
123,,Aiglsbach,,,,,,9
124,,Ailertchen,,,,,,7
125,,Aindling,,,,,,9
126,,Ainring,,,,,,9
127,,Aislingen,,,,,,9
128,,Aiterhofen,,,,,,9
129,,Aitern,,,,,,8
130,,Aitrach,,,,,,8
131,,Aitrang,,,,,,9
132,,Aken (Elbe),,,,,,15
133,,Aland,,,,,,15
134,,Albaching,,,,,,9
135,,Albbruck,,,,,,8
136,Sachbeschadigung,Albershausen,Â§ 303 StGB,27.04.2019,Nicht zuzuordnen,0,GRÜNE,8
137,,Albersweiler,,,,,,7
138,,Albertshofen,,,,,,9
139,,Albessen,,,,,,7
140,,Albig,,,,,,7
141,,Albisheim (Pfrimm),,,,,,7
142,,Albsfelde,,,,,,1
143,Diebstahl,Albstadt,Â§ 242 StGB,01.05.2019,Nicht zuzuordnen,0,Sonstige Partei,8
144,Notigung,Albstadt,Â§ 240 StGB,16.11.2019,Links,0,AfD,8
145,,Aldenhoven,,,,,,5
146,,Aldersbach,,,,,,9
147,,Aldingen,,,,,,8
148,,Alerheim,,,,,,9
149,,Alesheim,,,,,,9
150,,Aletshausen,,,,,,9
151,,Alf,,,,,,7
152,,Alfdorf,,,,,,8
153,,Alfeld,,,,,,9
154,,Alfeld (Leine),,,,,,3
155,,Alfhausen,,,,,,3
156,,Alflen,,,,,,7
157,,Alfstedt,,,,,,3
158,,Alfter,,,,,,5
159,,Algermissen,,,,,,3
160,,Alheim,,,,,,6
161,,Alken,,,,,,7
162,,Alkersleben,,,,,,16
163,,Alkersum,,,,,,1
164,,Allenbach,,,,,,7
165,,Allendorf (Eder),,,,,,6
166,,Allendorf (Lumda),,,,,,6
167,,Allenfeld,,,,,,7
168,,Allensbach,,,,,,8
169,Sachbeschadigung,Allersberg,Â§ 303 StGB,30.06.2019,Links,0,AfD,9
170,Sachbeschadigung,Allersberg,Â§ 303 StGB,25.04.2019,Links,0,AfD,9
171,,Allershausen,,,,,,9
172,,Alleshausen,,,,,,8
173,,Alling,,,,,,9
174,,Allmannshofen,,,,,,9
175,,Allmannsweiler,,,,,,8
176,,Allmendingen,,,,,,8
177,,Allmersbach im Tal,,,,,,8
178,Sachbeschadigung,Allstedt,Â§ 303 StGB,07.05.2019,Rechts,0,CDU,15
179,Sachbeschadigung,Allstedt,Â§ 303 StGB,07.05.2019,Rechts,0,GRÜNE,15
180,,Almdorf,,,,,,1
181,,Almersbach,,,,,,7
182,,Alpen,,,,,,5
183,,Alpenrod,,,,,,7
184,,Alperstedt,,,,,,16
185,Diebstahl mit Waffen;,Alpirsbach,Â§ 244 StGB,04.05.2019,Links,0,AfD,8
186,,Alsbach,,,,,,7
187,,Alsbach-Hahnlein,,,,,,6
188,,Alsenz,,,,,,7
189,,Alsfeld,,,,,,6
190,,Alsheim,,,,,,7
191,,Alsleben (Saale),,,,,,15
192,,Alt Bennebek,,,,,,1
193,,Alt Bukow,,,,,,13
194,,Alt Duvenstedt,,,,,,1
195,,Alt Krenzlin,,,,,,13
196,,Alt Meteln,,,,,,13
197,,Alt Schwerin,,,,,,13
198,,Alt Suhrkow,,,,,,13
199,,Alt Tellin,,,,,,13
200,,Alt Tucheband,,,,,,12
201,,Alt Zachun,,,,,,13
202,,Alt Zauche-Wusswerk/Stara Niwa-Wózwjerch,,,,,,12
203,,Alt-Molln,,,,,,1
204,,Altbach,,,,,,8
205,,Altdobern,,,,,,12
206,,Altdorf b.Nurnberg,,,,,,9
207,,Altefahr,,,,,,13
208,,Alteglofsheim,,,,,,9
209,,Altena,,,,,,5
210,,Altenahr,,,,,,7
211,,Altenbamberg,,,,,,7
212,,Altenbeken,,,,,,5
213,Sachbeschadigung,Altenberg,STGB-303,30.07.2019,Links,0,CDU,14
214,Sachbeschadigung,Altenberg,STGB-303,14.08.2019,Links,0,AfD,14
215,Sachbeschadigung,Altenberg,STGB-303,30.07.2019,Links,0,CDU,14
216,Sachbeschadigung,Altenberg,STGB-303,14.08.2019,Links,0,AfD,14
217,,Altenberga,,,,,,16
218,,Altenberge,,,,,,5
219,,Altenbeuthen,,,,,,16
220,,Altenbuch,,,,,,9
221,Sachbeschadigung,Altenburg,STGB-303,20.09.2019,Links,0,AfD,16
222,Sachbeschadigung,Altenburg,Â§ 303 StGB,06.04.2019,Links,0,AfD,16
223,Sachbeschadigung,Altenburg,Â§ 303 StGB,20.04.2019,Nicht zuzuordnen,0,AfD,16
224,Sachbeschadigung,Altenburg,Â§ 303 StGB,22.04.2019,Rechts,0,SPD,16
225,Sachbeschadigung,Altenburg,Â§ 303 StGB,22.04.2019,Links,0,Sonstige Partei,16
226,Sachbeschadigung,Altenburg,Â§ 303 StGB,25.04.2019,Links,0,Sonstige Partei,16
227,Sachbeschadigung,Altenburg,Â§ 303 StGB,25.05.2019,Nicht zuzuordnen,0,CDU,16
228,Sachbeschadigung,Altenburg,STGB-303,20.09.2019,Links,0,AfD,16
229,Sachbeschadigung,Altenburg,Â§ 303 StGB,18.10.2019,Nicht zuzuordnen,0,SPD,16
230,Sachbeschadigung,Altenburg,Â§ 303 StGB,18.10.2019,Nicht zuzuordnen,0,SPD,16
231,Sachbeschadigung,Altenburg,Â§ 303 StGB,18.10.2019,Links,0,FDP,16
232,Sachbeschadigung,Altenburg,Â§ 303 StGB,21.10.2019,Nicht zuzuordnen,0,CDU,16
233,Sachbeschadigung,Altenburg,Â§ 303 StGB,24.10.2019,Links,0,AfD,16
234,Sachbeschadigung,Altenburg,Â§ 303 StGB,27.10.2019,Nicht zuzuordnen,0,SPD,16
235,Sachbeschadigung,Altenburg,Â§ 303 StGB,27.10.2019,Nicht zuzuordnen,0,GRÜNE,16
236,Sachbeschadigung,Altenburg,Â§ 303 StGB,21.10.2019,Nicht zuzuordnen,0,GRÜNE,16
237,Sachbeschadigung,Altenburg,Â§ 303 StGB,27.10.2019,Nicht zuzuordnen,0,AfD,16
238,Sachbeschadigung,Altenburg,Â§ 303 StGB,21.10.2019,Nicht zuzuordnen,0,FDP,16
239,Sachbeschadigung,Altenburg,Â§ 303 StGB,27.10.2019,Nicht zuzuordnen,0,Sonstige Partei,16
240,Sachbeschadigung,Altenburg,Â§ 303 StGB,21.10.2019,Nicht zuzuordnen,0,SPD,16
241,Sachbeschadigung,Altenburg,Â§ 303 StGB,27.10.2019,Nicht zuzuordnen,0,SPD,16
242,Sachbeschadigung,Altenburg,Â§ 303 StGB,27.10.2019,Nicht zuzuordnen,0,SPD,16
243,Sachbeschadigung,Altenburg,Â§ 303 StGB,27.10.2019,Nicht zuzuordnen,0,FDP,16
244,Sachbeschadigung,Altenburg,Â§ 303 StGB,27.10.2019,Nicht zuzuordnen,0,CDU,16
245,,Altendiez,,,,,,7
246,,Altenglan,,,,,,7
247,,Altenhagen,,,,,,13
248,,Altenhausen,,,,,,15
249,,Altenholz,,,,,,1
250,,Altenkirchen (Westerwald),,,,,,7
251,,Altenkrempe,,,,,,1
252,,Altenkunstadt,,,,,,9
253,,Altenmarkt a.d.Alz,,,,,,9
254,,Altenmedingen,,,,,,3
255,,Altenmoor,,,,,,1
256,,Altenmunster,,,,,,9
257,,Altenpleen,,,,,,13
258,,Altenriet,,,,,,8
259,,Altenstadt a.d.Waldnaab,,,,,,9
260,,Altensteig,,,,,,8
261,,Altenthann,,,,,,9
262,Diebstahl,Altentreptow,Â§ 242 StGB,17.04.2019,Links,0,Sonstige Partei,13
263,Sachbeschadigung,Altentreptow,Â§ 303 StGB,31.05.2019,Links,0,Sonstige Partei,13
264,,Alterkulz,,,,,,7
265,,Altertheim,,,,,,9
266,,Altfraunhofen,,,,,,9
267,,Althegnenberg,,,,,,9
268,,Altheim (Alb),,,,,,8
269,,Althengstett,,,,,,8
270,,Althornbach,,,,,,7
271,,Althutte,,,,,,8
272,,Althuttendorf,,,,,,12
273,,Altkalen,,,,,,13
274,Sachbeschadigung,Altlandsberg,Â§ 303 StGB,20.04.2019,Nicht zuzuordnen,0,AfD,12
275,Sachbeschadigung,Altlandsberg,Â§ 303 StGB,10.05.2019,Links,0,AfD,12
276,,Altlay,,,,,,7
277,,Altleiningen,,,,,,7
278,,Altlussheim,,,,,,8
279,,Altmannstein,,,,,,9
280,,Altmarkische Hohe,,,,,,15
281,,Altmarkische Wische,,,,,,15
282,,Altmittweida,,,,,,14
283,,Altomunster,,,,,,9
284,,Altotting,,,,,,9
285,,Altrich,,,,,,7
286,Diebstahl,Altrip,Â§ 242 StGB,18.05.2019,Nicht zuzuordnen,0,AfD,7
287,,Altscheid,,,,,,7
288,,Altshausen,,,,,,8
289,,Altstrimmig,,,,,,7
290,,Altusried,,,,,,9
291,,Altwarp,,,,,,13
292,,Altweidelbach,,,,,,7
293,,Altwigshagen,,,,,,13
294,,Alveslohe,,,,,,1
295,,Alzenau,,,,,,9
296,Sachbeschadigung,Alzey,Â§ 303 StGB,23.04.2019,Nicht zuzuordnen,0,FDP,7
297,Sachbeschadigung,Alzey,Â§ 303 StGB,24.04.2019,Links,0,FDP,7
298,Sachbeschadigung,Alzey,Â§ 303 StGB,29.05.2019,Nicht zuzuordnen,0,SPD,7
299,,Am Ettersberg,,,,,,16
300,,Am Grossen Bruch,,,,,,15
301,,Am Grossen Rhode,,,,,,3
302,Sachbeschadigung,Am Mellensee,STGB-303,30.08.2019,Links,0,AfD,12
303,Sachbeschadigung,Am Mellensee,STGB-303,30.08.2019,Links,0,AfD,12
304,Sachbeschadigung,Am Mellensee,STGB-303,30.08.2019,Links,0,AfD,12
305,Sachbeschadigung,Am Mellensee,STGB-303,30.08.2019,Links,0,AfD,12
306,Sachbeschadigung,Am Ohmberg,Â§ 303 StGB,16.05.2019,Rechts,0,SPD,16
307,Sachbeschadigung,Am Ohmberg,Â§ 303 StGB,16.05.2019,Rechts,0,CDU,16
308,Sachbeschadigung,Am Ohmberg,Â§ 303 StGB,16.05.2019,Rechts,0,Sonstige Partei,16
309,,Am Salzhaff,,,,,,13
310,Sachbeschadigung,Amelinghausen,Â§ 303 StGB,21.04.2019,Links,1,AfD,3
311,,Amerang,,,,,,9
312,,Amerdingen,,,,,,9
313,,Ammeldingen an der Our,,,,,,7
314,,Ammeldingen bei Neuerburg,,,,,,7
315,,Ammerbuch,,,,,,8
316,,Ammerndorf,,,,,,9
317,,Ammersbek,,,,,,1
318,,Ammersee,,,,,,9
319,,Ammerthal,,,,,,9
320,,Amoneburg,,,,,,6
321,,Amorbach,,,,,,9
322,,Ampfing,,,,,,9
323,,Amstetten,,,,,,8
324,,Amt Creuzburg,,,,,,16
325,,Amt Neuhaus,,,,,,3
326,Sachbeschadigung,Amt Wachsenburg,Â§ 303 StGB,20.05.2019,Rechts,0,GRÜNE,16
327,,Amtsberg,,,,,,14
328,Sachbeschadigung,Amtzell,Â§ 303 StGB,03.05.2019,Nicht zuzuordnen,1,Sonstige Partei,8
329,,An der Poststrasse,,,,,,15
330,,An der Schmucke,,,,,,16
331,,Andechs,,,,,,9
332,,Anderlingen,,,,,,3
333,Diebstahl,Andernach,Â§ 242 StGB,21.05.2019,Nicht zuzuordnen,0,SPD,7
334,,Andervenne,,,,,,3
335,,Andisleben,,,,,,16
336,,Angelbachtal,,,,,,8
