,crime,city,law,date,background,suspects,party,Land
2758,,Dockweiler,,,,,,7
2759,,Dodenburg,,,,,,7
2760,,Dogern,,,,,,8
2761,,Dohlau,,,,,,9
2762,,Dohm-Lammersdorf,,,,,,7
2763,,Dohma,,,,,,14
2764,,Dohna,,,,,,14
2765,,Dohr,,,,,,7
2766,,Dolgen am See,,,,,,13
2767,,Dolgesheim,,,,,,7
2768,,Dollern,,,,,,3
2769,,Dollerup,,,,,,1
2770,,Dollnstein,,,,,,9
2771,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Dollstadt,Â§ 86a StGB,02.10.2019,Rechts,0,SPD,16
2772,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Dollstadt,Â§ 86a StGB,02.10.2019,Rechts,0,SPD,16
2773,Sachbeschadigung,Dollstadt,Â§ 303 StGB,02.10.2019,Rechts,0,SPD,16
2774,,Dombuhl,,,,,,9
2775,,Domitz,,,,,,13
2776,,Dommershausen,,,,,,7
2777,,Dommitzsch,,,,,,14
2778,,Domsuhl,,,,,,13
2779,,Donaueschingen,,,,,,8
2780,,Donaustauf,,,,,,9
2781,,Donauworth,,,,,,9
2782,,Donnersdorf,,,,,,9
2783,,Donsieders,,,,,,7
2784,,Donzdorf,,,,,,8
2785,,Dorentrup,,,,,,5
2786,,Dorf Mecklenburg,,,,,,13
2787,,Dorfchemnitz,,,,,,14
2788,,Dorfen,,,,,,9
2789,,Dorfhain,,,,,,14
2790,,Dorfles-Esbach,,,,,,9
2791,,Dorfprozelten,,,,,,9
2792,,Dormagen,,,,,,5
2793,,Dormettingen,,,,,,8
2794,,Dormitz,,,,,,9
2795,,Dormitzer Forst,,,,,,9
2796,,Dorn-Durkheim,,,,,,7
2797,,Dornberg,,,,,,7
2798,,Dornburg,,,,,,6
2799,,Dornburg-Camburg,,,,,,16
2800,,Dornhan,,,,,,8
2801,,Dornheim,,,,,,16
2802,,Dornholzhausen,,,,,,7
2803,,Dornick,,,,,,1
2804,,Dornstadt,,,,,,8
2805,,Dornstadt-Linkersbaindt,,,,,,9
2806,,Dornstetten,,,,,,8
2807,,Dornum,,,,,,3
2808,,Dorpen,,,,,,3
2809,,Dorphof,,,,,,1
2810,,Dorpling,,,,,,1
2811,,Dorpstedt,,,,,,1
2812,,Dorrebach,,,,,,7
2813,,Dorrenbach,,,,,,7
2814,,Dorrmoschel,,,,,,7
2815,,Dorscheid,,,,,,7
2816,,Dorsdorf,,,,,,7
2817,,Dorsel,,,,,,7
2818,,Dorsheim,,,,,,7
2819,,Dorstadt,,,,,,3
2820,Diebstahl,Dorsten,Â§ 242 StGB,21.04.2019,Links,0,AfD,5
2821,,Dorth,,,,,,7
2822,Beleidigung,Dortmund,Â§ 185 StGB,20.06.2019,Links,1,AfD,5
2823,Diebstahl,Dortmund,Â§ 242 StGB,18.04.2019,Links,1,AfD,5
2824,Sachbeschadigung,Dortmund,Â§ 303 StGB,19.04.2019,Links,3,Sonstige Partei,5
2825,Verstoss gegen das Kunsturhebergesetz,Dortmund,Kunsturheberges,22.04.2019,Rechts,0,SPD,5
2826,Sachbeschadigung,Dortmund,Â§ 303 StGB,26.04.2019,Links,0,Sonstige Partei,5
2827,Sachbeschadigung,Dortmund,Â§ 303 StGB,29.04.2019,Rechts,0,SPD,5
2828,Sachbeschadigung,Dortmund,Â§ 303 StGB,17.05.2019,Rechts,0,SPD,5
2829,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Dortmund,Â§ 86a StGB,18.05.2019,Nicht zuzuordnen,0,SPD,5
2830,Volksverhetzung,Dortmund,Â§ 130 StGB,21.05.2019,Rechts,0,Sonstige Partei,5
2831,Volksverhetzung,Dortmund,Â§ 130 StGB,26.05.2019,Rechts,0,SPD,5
2832,Korperverletzung,Dortmund,Â§ 223 StGB,19.10.2019,Links,1,AfD,5
2833,Verstoss gegen das Kunsturhebergesetz,Dortmund,Kunsturheberges,22.04.2019,Rechts,0,GRÜNE,5
2834,,Dorverden,,,,,,3
2835,,Dorzbach,,,,,,8
2836,,Doschnitz,,,,,,16
2837,Volksverhetzung,Dossenheim,STGB-130,28.09.2019,Rechts,0,SPD,8
2838,Volksverhetzung,Dossenheim,STGB-130,28.09.2019,Rechts,0,SPD,8
2839,,Dotlingen,,,,,,3
2840,,Dotternhausen,,,,,,8
2841,,Dottesfeld,,,,,,7
2842,,Drachhausen/Hochoza,,,,,,12
2843,,Drachselsried,,,,,,9
2844,,Drackenstein,,,,,,8
2845,,Dragun,,,,,,13
2846,,Drahnsdorf,,,,,,12
2847,,Drakenburg,,,,,,3
2848,,Dransfeld,,,,,,3
2849,Sachbeschadigung,Dranske,Â§ 303 StGB,12.05.2019,Nicht zuzuordnen,0,SPD,13
2850,,Drebach,,,,,,14
2851,,Drebber,,,,,,3
2852,,Drebkau/Drjowk,,,,,,12
2853,,Drechow,,,,,,13
2854,,Drees,,,,,,7
2855,,Dreggers,,,,,,1
2856,,Drehnow/Drjenow,,,,,,12
2857,,Drei Gleichen,,,,,,16
2858,,Dreieich,,,,,,6
2859,,Dreifelden,,,,,,7
2860,,Dreiheide,,,,,,14
2861,,Dreikirchen,,,,,,7
2862,,Dreis,,,,,,7
2863,,Dreis-Bruck,,,,,,7
2864,,Dreisbach,,,,,,7
2865,,Dreisen,,,,,,7
2866,,Dreistelzer Forst,,,,,,9
2867,,Dreitzsch,,,,,,16
2868,,Drelsdorf,,,,,,1
2869,,Drensteinfurt,,,,,,5
2870,,Drentwede,,,,,,3
2871,,Dreschvitz,,,,,,13
2872,Sachbeschadigung,Dresden,STGB-303,28.08.2019,Rechts,0,CDU,14
2873,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Dresden,STGB-86A,01.07.2019,Rechts,1,CDU,14
2874,Bedrohung,Dresden,STGB-241,03.07.2019,Rechts,0,SPD,14
2875,Sachbeschadigung,Dresden,STGB-303,05.07.2019,Links,0,AfD,14
2876,Sachbeschadigung,Dresden,STGB-303,05.07.2019,Links,0,AfD,14
2877,Sachbeschadigung,Dresden,STGB-303,15.07.2019,Links,1,AfD,14
2878,"Missbrauch von Titeln, Berufsbezeichnungen und Abzeichen",Dresden,STGB-132A,26.07.2019,Rechts,0,Sonstige,14
2879,Beleidigung,Dresden,STGB-185,27.07.2019,Links,0,AfD,14
2880,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Dresden,STGB-86A,30.07.2019,Rechts,1,CDU,14
2881,Beleidigung,Dresden,STGB-185,04.08.2019,Nicht zuzuordnen,0,CDU,14
2882,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Dresden,STGB-86A,05.08.2019,Links,0,AfD,14
2883,Sachbeschadigung,Dresden,STGB-303,06.08.2019,Nicht zuzuordnen,0,SPD,14
2884,"Beleidigung, Beschimpfung von Bekentnisse, Religionsgemeinschaften und Weltanschauungen",Dresden,STG B-166,07.08.2019,Links,0,CDU,14
2885,Korperverletzung,Dresden,STGB-223,10.08.2019,Links,1,AfD,14
2886,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Dresden,STGB-86A,14.08.2019,Rechts,0,CDU,14
2887,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Dresden,STGB-86A,20.08.2019,Rechts,0,CDU,14
2888,Korperverletzung,Dresden,STGB-224,21.08.2019,Links,0,AfD,14
2889,Hausfriedensbruch,Dresden,STGB-123,22.08.2019,Links,8,CDU,14
2890,Sachbeschadigung,Dresden,STGB-303,23.08.2019,Rechts,1,GRÜNE,14
2891,Bedrohung,Dresden,STGB-241,13.09.2019,Rechts,0,CDU,14
2892,Verleumdung von Personen des politischen LebensLebens,Dresden,STGB-188,15.09.2019,Links,1,AfD,14
2893,Sachbeschadigung,Dresden,STGB-303,26.07.2019,Links,0,AfD,14
2894,Sachbeschadigung,Dresden,STGB-303,26.07.2019,Links,0,AfD,14
2895,Sachbeschadigung,Dresden,STGB-303,26.07.2019,Links,0,AfD,14
2896,Sachbeschadigung,Dresden,STGB-303,26.07.2019,Links,0,AfD,14
2897,Sachbeschadigung,Dresden,STGB-303,26.07.2019,Links,0,AfD,14
2898,Diebstahl,Dresden,STGB-242,27.07.2019,Nicht zuzuordnen,0,SPD,14
2899,Sachbeschadigung,Dresden,STGB-303,29.07.2019,Links,0,AfD,14
2900,Sachbeschadigung,Dresden,STGB-303,29.07.2019,Links,0,AfD,14
2901,Sachbeschadigung,Dresden,STGB-303,30.07.2019,Links,0,AfD,14
2902,Sachbeschadigung,Dresden,STGB-303,31.07.2019,Nicht zuzuordnen,0,GRÜNE,14
2903,Sachbeschadigung,Dresden,STGB-303,31.07.2019,Links,0,AfD,14
2904,Sachbeschadigung,Dresden,STGB-303,31.07.2019,Links,0,AfD,14
2905,Sachbeschadigung,Dresden,STGB-303,31.07.2019,Links,0,AfD,14
2906,Sachbeschadigung,Dresden,STGB-303,31.07.2019,Links,0,Sonstige,14
2907,Sachbeschadigung,Dresden,STGB-303,31.07.2019,Links,0,AfD,14
2908,Sachbeschadigung,Dresden,STGB-303,31.07.2019,Links,0,AfD,14
2909,Sachbeschadigung,Dresden,STGB-303,31.07.2019,Links,0,AfD,14
2910,Sachbeschadigung,Dresden,STGB-303,31.07.2019,Links,0,AfD,14
2911,Sachbeschadigung,Dresden,STGB-303,31.07.2019,Links,0,AfD,14
2912,Sachbeschadigung,Dresden,STGB-303,01.08.2019,Links,0,AfD,14
2913,Sachbeschadigung,Dresden,STGB-303,01.08.2019,Links,0,AfD,14
2914,Sachbeschadigung,Dresden,STGB-303,01.08.2019,Links,0,AfD,14
2915,Sachbeschadigung,Dresden,STGB-303,01.08.2019,Links,0,AfD,14
2916,Sachbeschadigung,Dresden,STGB-303,01.08.2019,Links,0,AfD,14
2917,Sachbeschadigung,Dresden,STGB-303,01.08.2019,Links,0,AfD,14
2918,Sachbeschadigung,Dresden,STGB-303,02.08.2019,Links,0,AfD,14
2919,Sachbeschadigung,Dresden,STGB-303,02.08.2019,Links,0,Sonstige,14
2920,Sachbeschadigung,Dresden,STGB-303,02.08.2019,Links,0,AfD,14
2921,Sachbeschadigung,Dresden,STGB-303,03.08.2019,Nicht zuzuordnen,0,CDU,14
2922,Sachbeschadigung,Dresden,STGB-303,03.08.2019,Links,0,AfD,14
2923,Sachbeschadigung,Dresden,STGB-303,03.08.2019,Links,0,AfD,14
2924,Sachbeschadigung,Dresden,STGB-303,03.08.2019,Links,0,AfD,14
2925,Sachbeschadigung,Dresden,STGB-303,03.08.2019,Links,0,AfD,14
2926,Sachbeschadigung,Dresden,STGB-303,03.08.2019,Links,0,AfD,14
2927,Sachbeschadigung,Dresden,STGB-303,03.08.2019,Links,0,AfD,14
2928,Sachbeschadigung,Dresden,STGB-303,04.08.2019,Links,1,AfD,14
2929,Sachbeschadigung,Dresden,STGB-303,04.08.2019,Links,0,AfD,14
2930,Sachbeschadigung,Dresden,STGB-303,04.08.2019,Links,0,AfD,14
2931,Sachbeschadigung,Dresden,STGB-303,05.08.2019,Links,0,AfD,14
2932,Sachbeschadigung,Dresden,STGB-303,05.08.2019,Links,0,AfD,14
2933,Sachbeschadigung,Dresden,STGB-303,05.08.2019,Links,0,AfD,14
2934,Sachbeschadigung,Dresden,STGB-303,05.08.2019,Links,0,AfD,14
2935,Sachbeschadigung,Dresden,STGB-303,05.08.2019,Links,0,AfD,14
2936,Sachbeschadigung,Dresden,STGB-303,05.08.2019,Links,0,AfD,14
2937,Sachbeschadigung,Dresden,STGB-303,06.08.2019,Links,0,AfD,14
2938,Sachbeschadigung,Dresden,STGB-303,06.08.2019,Links,0,AfD,14
2939,Sachbeschadigung,Dresden,STGB-303,06.08.2019,Links,0,AfD,14
2940,Sachbeschadigung,Dresden,STGB-303,06.08.2019,Links,0,AfD,14
2941,Sachbeschadigung,Dresden,STGB-303,06.08.2019,Links,0,AfD,14
2942,Sachbeschadigung,Dresden,STGB-303,06.08.2019,Links,0,AfD,14
2943,Sachbeschadigung,Dresden,STGB-303,06.08.2019,Links,0,AfD,14
2944,Sachbeschadigung,Dresden,STGB-303,06.08.2019,Links,0,AfD,14
2945,Sachbeschadigung,Dresden,STGB-303,06.08.2019,Links,0,AfD,14
2946,Sachbeschadigung,Dresden,STGB-303,06.08.2019,Links,0,AfD,14
2947,Sachbeschadigung,Dresden,STG B-303,07.08.2019,Links,0,AfD,14
2948,Sachbeschadigung,Dresden,STG B-303,07.08.2019,Links,0,AfD,14
2949,Sachbeschadigung,Dresden,STG B-303,07.08.2019,Links,0,AfD,14
2950,Sachbeschadigung,Dresden,STGB-303,08.08.2019,Links,0,AfD,14
2951,Sachbeschadigung,Dresden,STGB-303,08.08.2019,Links,0,AfD,14
2952,Sachbeschadigung,Dresden,STGB-303,08.08.2019,Links,0,AfD,14
2953,Sachbeschadigung,Dresden,STGB-303,08.08.2019,Links,0,AfD,14
2954,Sachbeschadigung,Dresden,STGB-303,08.08.2019,Links,0,AfD,14
2955,Sachbeschadigung,Dresden,STGB-303,08.08.2019,Nicht zuzuordnen,0,CDU,14
2956,Sachbeschadigung,Dresden,STGB-303,08.08.2019,Links,0,AfD,14
2957,Sachbeschadigung,Dresden,STGB-303,09.08.2019,Links,0,AfD,14
2958,Sachbeschadigung,Dresden,STGB-303,09.08.2019,Links,0,AfD,14
2959,Sachbeschadigung,Dresden,STGB-303,10.08.2019,Links,0,AfD,14
2960,Sachbeschadigung,Dresden,STGB-303,10.08.2019,Links,0,AfD,14
2961,Sachbeschadigung,Dresden,STGB-303,10.08.2019,Links,0,AfD,14
2962,Sachbeschadigung,Dresden,STGB-303,10.08.2019,Links,0,AfD,14
2963,Sachbeschadigung,Dresden,STGB-303,10.08.2019,Links,0,AfD,14
2964,Sachbeschadigung,Dresden,STGB-303,11.08.2019,Links,0,AfD,14
2965,Sachbeschadigung,Dresden,STGB-303,11.08.2019,Links,0,AfD,14
2966,Sachbeschadigung,Dresden,STGB-303,11.08.2019,Links,0,AfD,14
2967,Sachbeschadigung,Dresden,STGB-303,11.08.2019,Links,0,AfD,14
2968,Sachbeschadigung,Dresden,STGB-303,11.08.2019,Links,0,AfD,14
2969,Sachbeschadigung,Dresden,STGB-303,12.08.2019,Nicht zuzuordnen,0,CDU,14
2970,Sachbeschadigung,Dresden,STGB-303,12.08.2019,Links,2,AfD,14
2971,Sachbeschadigung,Dresden,STGB-303,12.08.2019,Links,0,AfD,14
2972,Sachbeschadigung,Dresden,STGB-303,12.08.2019,Links,0,AfD,14
2973,Sachbeschadigung,Dresden,STGB-303,12.08.2019,Links,0,AfD,14
2974,Sachbeschadigung,Dresden,STGB-303,12.08.2019,Links,0,AfD,14
2975,Sachbeschadigung,Dresden,STGB-303,12.08.2019,Links,0,AfD,14
2976,Sachbeschadigung,Dresden,STGB-303,12.08.2019,Nicht zuzuordnen,0,CDU,14
2977,Diebstahl,Dresden,STGB-242,12.08.2019,Links,0,AfD,14
2978,Sachbeschadigung,Dresden,STGB-303,12.08.2019,Links,0,AfD,14
2979,Sachbeschadigung,Dresden,STGB-303,12.08.2019,Links,0,AfD,14
2980,Sachbeschadigung,Dresden,STGB-303,12.08.2019,Links,0,AfD,14
2981,Sachbeschadigung,Dresden,STGB-303,12.08.2019,Links,0,AfD,14
2982,Sachbeschadigung,Dresden,STGB-303,12.08.2019,Links,0,AfD,14
2983,Sachbeschadigung,Dresden,STGB-303,13.08.2019,Links,0,AfD,14
2984,Sachbeschadigung,Dresden,STGB-303,13.08.2019,Nicht zuzuordnen,0,CDU,14
2985,Sachbeschadigung,Dresden,STGB-303,13.08.2019,Nicht zuzuordnen,0,CDU,14
2986,Sachbeschadigung,Dresden,STGB-303,13.08.2019,Nicht zuzuordnen,0,SPD,14
2987,Sachbeschadigung,Dresden,STGB-303,13.08.2019,Nicht zuzuordnen,0,Sonstige,14
2988,Sachbeschadigung,Dresden,STGB-303,13.08.2019,Rechts,1,SPD,14
2989,Sachbeschadigung,Dresden,STGB-303,13.08.2019,Nicht zuzuordnen,0,FDP,14
2990,Sachbeschadigung,Dresden,STGB-303,13.08.2019,Links,0,AfD,14
2991,Sachbeschadigung,Dresden,STGB-303,13.08.2019,Links,0,AfD,14
2992,Sachbeschadigung,Dresden,STGB-303,13.08.2019,Links,0,AfD,14
2993,Sachbeschadigung,Dresden,STGB-303,13.08.2019,Links,0,AfD,14
2994,Sachbeschadigung,Dresden,STGB-303,13.08.2019,Links,0,AfD,14
2995,Sachbeschadigung,Dresden,STGB-303,14.08.2019,Links,0,AfD,14
2996,Sachbeschadigung,Dresden,STGB-303,14.08.2019,Links,0,AfD,14
2997,Sachbeschadigung,Dresden,STGB-303,14.08.2019,Links,0,AfD,14
2998,Sachbeschadigung,Dresden,STG B-303,14.08.2019,Nicht zuzuordnen,0,CDU,14
2999,Sachbeschadigung,Dresden,STG B-303,14.08.2019,Links,0,AfD,14
3000,Sachbeschadigung,Dresden,STG B-303,15.08.2019,Nicht zuzuordnen,3,SPD,14
3001,Diebstahl,Dresden,STGB-242,15.08.2019,Links,0,AfD,14
3002,Sachbeschadigung,Dresden,STG B-303,15.08.2019,Nicht zuzuordnen,0,SPD,14
3003,Sachbeschadigung,Dresden,STG B-303,15.08.2019,Links,1,FDP,14
3004,Sachbeschadigung,Dresden,STG B-303,16.08.2019,Nicht zuzuordnen,0,FDP,14
3005,Sachbeschadigung,Dresden,STGB-303,17.08.2019,Nicht zuzuordnen,0,FDP,14
3006,Sachbeschadigung,Dresden,STGB-303,17.08.2019,Nicht zuzuordnen,1,FDP,14
3007,Sachbeschadigung,Dresden,STGB-303,17.08.2019,Nicht zuzuordnen,0,CDU,14
3008,Korperverletzung,Dresden,STGB-223,17.08.2019,Links,1,AfD,14
3009,Sachbeschadigung,Dresden,STGB-303,19.08.2019,Nicht zuzuordnen,0,CDU,14
3010,Sachbeschadigung,Dresden,STGB-303,19.08.2019,Nicht zuzuordnen,0,CDU,14
3011,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Dresden,STGB-86A,20.08.2019,Rechts,0,CDU,14
3012,Sachbeschadigung,Dresden,STG B-303,20.08.2019,Links,3,Sonstige,14
3013,Sachbeschadigung,Dresden,STG B-303,21.08.2019,Nicht zuzuordnen,0,SPD,14
3014,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Dresden,STGB-86A,23.08.2019,Links,0,FDP,14
3015,Sachbeschadigung,Dresden,STGB-303,23.08.2019,Rechts,1,SPD,14
3016,Sachbeschadigung,Dresden,STGB-303,23.08.2019,Nicht zuzuordnen,0,Sonstige,14
3017,Sachbeschadigung,Dresden,STGB-303,24.08.2019,Links,0,AfD,14
3018,Sachbeschadigung,Dresden,STGB-303,24.08.2019,Links,1,AfD,14
3019,Sachbeschadigung,Dresden,STGB-303,24.08.2019,Links,1,AfD,14
3020,Sachbeschadigung,Dresden,STGB-303,24.08.2019,Links,1,AfD,14
3021,Sachbeschadigung,Dresden,STGB-303,25.08.2019,Nicht zuzuordnen,0,CDU,14
3022,Sachbeschadigung,Dresden,STGB-303,25.08.2019,Nicht zuzuordnen,0,CDU,14
3023,Sachbeschadigung,Dresden,STGB-303,25.08.2019,Nicht zuzuordnen,0,Sonstige,14
3024,Sachbeschadigung,Dresden,STGB-303,26.08.2019,Nicht zuzuordnen,0,CDU,14
3025,Sachbeschadigung,Dresden,STGB-303,27.08.2019,Nicht zuzuordnen,0,SPD,14
3026,Sachbeschadigung,Dresden,STGB-303,28.08.2019,Nicht zuzuordnen,0,FDP,14
3027,Sachbeschadigung,Dresden,STGB-303,28.08.2019,Links,0,AfD,14
3028,Sachbeschadigung,Dresden,STGB-303,29.08.2019,Nicht zuzuordnen,0,CDU,14
3029,Sachbeschadigung,Dresden,STGB-303,29.08.2019,Links,0,AfD,14
3030,Sachbeschadigung,Dresden,STGB-303,29.08.2019,Links,0,AfD,14
3031,Sachbeschadigung,Dresden,STGB-303,29.08.2019,Links,3,FDP,14
3032,Sachbeschadigung,Dresden,STGB-303,30.08.2019,Links,0,AfD,14
3033,Sachbeschadigung,Dresden,STGB-303,31.08.2019,Nicht zuzuordnen,1,Sonstige,14
3034,Sachbeschadigung,Dresden,STGB-303,31.08.2019,Links,0,AfD,14
3035,Sachbeschadigung,Dresden,STGB-303,01.09.2019,Nicht zuzuordnen,1,Sonstige,14
3036,Sachbeschadigung,Dresden,STGB-303,04.09.2019,Nicht zuzuordnen,1,FDP,14
3037,Sachbeschadigung,Dresden,STGB-303,06.09.2019,Nicht zuzuordnen,0,FDP,14
3038,Sachbeschadigung,Dresden,STGB-303,07.09.2019,Nicht zuzuordnen,0,CDU,14
3039,Sachbeschadigung,Dresden,Â§ 303 StGB,11.04.2019,Links,0,CDU,14
3040,Sachbeschadigung,Dresden,Â§ 303 StGB,02.04.2019,Links,0,AfD,14
3041,Korperverletzung,Dresden,Â§ 223 StGB,09.04.2019,Links,0,AfD,14
3042,Sachbeschadigung,Dresden,Â§ 303 StGB,26.04.2019,Rechts,0,CDU,14
3043,Verleumdung,Dresden,Â§ 187 StGB,04.05.2019,Links,0,AfD,14
3044,Beleidigung,Dresden,Â§ 185 StGB,10.05.2019,Links,0,AfD,14
3045,Beleidigung,Dresden,Â§ 185 StGB,10.05.2019,Nicht zuzuordnen,0,AfD,14
3046,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Dresden,Â§ 86a StGB,12.05.2019,Rechts,1,SPD,14
3047,Beleidigung,Dresden,Â§ 185 StGB,19.05.2019,Rechts,0,SPD,14
3048,Sachbeschadigung,Dresden,Â§ 303 StGB,24.05.2019,Links,0,AfD,14
3049,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Dresden,Â§ 86a StGB,30.05.2019,Links,0,AfD,14
3050,Sachbeschadigung,Dresden,Â§ 303 StGB,30.06.2019,Links,0,AfD,14
3051,Sachbeschadigung,Dresden,Â§ 303 StGB,20.04.2019,Links,0,AfD,14
3052,Sachbeschadigung,Dresden,Â§ 303 StGB,21.04.2019,Rechts,1,SPD,14
3053,Sachbeschadigung,Dresden,Â§ 303 StGB,21.04.2019,Nicht zuzuordnen,0,CDU,14
3054,Sachbeschadigung,Dresden,Â§ 303 StGB,24.04.2019,Nicht zuzuordnen,0,CDU,14
3055,Sachbeschadigung,Dresden,Â§ 303 StGB,25.04.2019,Nicht zuzuordnen,0,SPD,14
3056,Sachbeschadigung,Dresden,Â§ 303 StGB,25.04.2019,Nicht zuzuordnen,0,SPD,14
3057,Sachbeschadigung,Dresden,Â§ 303 StGB,25.04.2019,Nicht zuzuordnen,0,CDU,14
3058,Sachbeschadigung,Dresden,Â§ 303 StGB,25.04.2019,Links,0,AfD,14
3059,Sachbeschadigung,Dresden,Â§ 303 StGB,25.04.2019,Rechts,3,SPD,14
3060,Sachbeschadigung,Dresden,Â§ 303 StGB,26.04.2019,Links,0,AfD,14
3061,Sachbeschadigung,Dresden,Â§ 303 StGB,26.04.2019,Rechts,0,SPD,14
3062,Diebstahl,Dresden,Â§ 242 StGB,26.04.2019,Nicht zuzuordnen,1,CDU,14
3063,Sachbeschadigung,Dresden,Â§ 303 StGB,26.04.2019,Links,0,AfD,14
3064,Sachbeschadigung,Dresden,Â§ 303 StGB,26.04.2019,Links,0,AfD,14
3065,Sachbeschadigung,Dresden,Â§ 303 StGB,26.04.2019,Links,0,AfD,14
3066,Sachbeschadigung,Dresden,Â§ 303 StGB,26.04.2019,Rechts,0,CDU,14
3067,offentliche Aufforderung zu Straftaten,Dresden,Â§ 111 StGB,27.04.2019,Rechts,1,GRÜNE,14
3068,Sachbeschadigung,Dresden,Â§ 303 StGB,29.04.2019,Links,2,AfD,14
3069,Sachbeschadigung,Dresden,Â§ 303 StGB,30.04.2019,Links,0,AfD,14
3070,Sachbeschadigung,Dresden,Â§ 303 StGB,01.05.2019,Nicht zuzuordnen,0,SPD,14
3071,Sachbeschadigung,Dresden,Â§ 303 StGB,01.05.2019,Links,0,AfD,14
3072,Diebstahl,Dresden,Â§ 242 StGB,01.05.2019,Nicht zuzuordnen,1,FDP,14
3073,Sachbeschadigung,Dresden,Â§ 303 StGB,02.05.2019,Rechts,7,SPD,14
3074,Sachbeschadigung,Dresden,Â§ 303 StGB,06.05.2019,Nicht zuzuordnen,2,CDU,14
3075,Sachbeschadigung,Dresden,Â§ 303 StGB,06.05.2019,Rechts,0,Sonstige Partei,14
3076,Sachbeschadigung,Dresden,Â§ 303 StGB,07.05.2019,Links,0,AfD,14
3077,Sachbeschadigung,Dresden,Â§ 303 StGB,09.05.2019,Links,0,Sonstige Partei,14
3078,Diebstahl,Dresden,Â§ 242 StGB,09.05.2019,Links,0,AfD,14
3079,Sachbeschadigung,Dresden,Â§ 303 StGB,10.05.2019,Links,1,AfD,14
3080,Sachbeschadigung,Dresden,Â§ 303 StGB,10.05.2019,Nicht zuzuordnen,0,GRÜNE,14
3081,Sachbeschadigung,Dresden,Â§ 303 StGB,10.05.2019,Nicht zuzuordnen,2,SPD,14
3082,Sachbeschadigung,Dresden,Â§ 303 StGB,11.05.2019,Nicht zuzuordnen,0,Sonstige Partei,14
3083,Sachbeschadigung,Dresden,Â§ 303 StGB,13.05.2019,Nicht zuzuordnen,0,SPD,14
3084,Sachbeschadigung,Dresden,Â§ 303 StGB,14.05.2019,Nicht zuzuordnen,0,AfD,14
3085,Sachbeschadigung,Dresden,Â§ 303 StGB,16.05.2019,Links,0,AfD,14
3086,Sachbeschadigung,Dresden,Â§ 303 StGB,17.05.2019,Links,0,AfD,14
3087,Sachbeschadigung,Dresden,Â§ 303 StGB,17.05.2019,Links,4,AfD,14
3088,Sachbeschadigung,Dresden,Â§ 303 StGB,18.05.2019,Links,1,AfD,14
3089,Sachbeschadigung,Dresden,Â§ 303 StGB,18.05.2019,Links,0,AfD,14
3090,Sachbeschadigung,Dresden,Â§ 303 StGB,18.05.2019,Links,0,AfD,14
3091,Sachbeschadigung,Dresden,Â§ 303 StGB,19.05.2019,Links,2,AfD,14
3092,Sachbeschadigung,Dresden,Â§ 303 StGB,19.05.2019,Nicht zuzuordnen,0,CDU,14
3093,Sachbeschadigung,Dresden,Â§ 303 StGB,19.05.2019,Rechts,0,SPD,14
3094,Sachbeschadigung,Dresden,Â§ 303 StGB,20.05.2019,Links,0,AfD,14
3095,Sachbeschadigung,Dresden,Â§ 303 StGB,20.05.2019,Links,0,AfD,14
3096,Sachbeschadigung,Dresden,Â§ 303 StGB,21.05.2019,Rechts,0,Sonstige Partei,14
3097,Sachbeschadigung,Dresden,Â§ 303 StGB,22.05.2019,Links,0,Sonstige Partei,14
3098,Sachbeschadigung,Dresden,Â§ 303 StGB,22.05.2019,Nicht zuzuordnen,0,CDU,14
3099,Sachbeschadigung,Dresden,Â§ 303 StGB,30.05.2019,Rechts,0,SPD,14
3100,Sachbeschadigung,Dresden,Â§ 303 StGB,31.05.2019,Nicht zuzuordnen,0,SPD,14
3101,Sachbeschadigung,Dresden,Â§ 303 StGB,01.06.2019,Rechts,1,Sonstige Partei,14
3102,Sachbeschadigung,Dresden,Â§ 303 StGB,23.06.2019,Nicht zuzuordnen,0,GRÜNE,14
3103,Sachbeschadigung,Dresden,STGB-303,28.08.2019,Rechts,0,CDU,14
3104,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Dresden,STGB-86A,01.07.2019,Rechts,1,CDU,14
3105,Bedrohung,Dresden,STGB-241,03.07.2019,Rechts,0,SPD,14
3106,Sachbeschadigung,Dresden,STGB-303,05.07.2019,Links,0,AfD,14
3107,Sachbeschadigung,Dresden,STGB-303,05.07.2019,Links,0,AfD,14
3108,Sachbeschadigung,Dresden,STGB-303,15.07.2019,Links,1,AfD,14
3109,"Missbrauch von Titeln, Berufsbezeichnungen und Abzeichen",Dresden,STGB-132A,26.07.2019,Rechts,0,Sonstige,14
