day;place;suspects;background;law;crime;party_1;party_2;party_3;party_4;party_5;;
20.04.2019;Dinkelsbühl;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CSU;;;;;;
20.04.2019;Nürnberg;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;SPD;;;;;;
20.04.2019;Hanau;1;Nicht zuzuordnen;§ 304 StGB;Gemeinschädliche;SPD;;;;;;
;;;;;Sachbeschädigung;;;;;;;
20.04.2019;Büdingen;0;Links;§ 242 StGB;Diebstahl;Sonstige Partei;;;;;;
20.04.2019;Hamburg;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
20.04.2019;Hamburg;1;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD;;;;;;
20.04.2019;Wolgast;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Tatzeit;Tatort;TV1;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei;;;;;;
;;;;;;;;;;;;
20.04.2019;Greifswald;0;Rechts;§ 86a StGB;Verwenden von;SPD;;;;;;
;;;;;Kennzeichen;;;;;;;
;;;;;verfassungswidriger;;;;;;;
;;;;;Organisationen;;;;;;;
20.04.2019;Jördenstorf;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD;;;;;;
20.04.2019;Rostock;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
20.04.2019;Greifswald;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU;;;;;;
20.04.2019;Ueckermünde;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige Partei;;;;;;
20.04.2019;Hannover;0;Links;§ 248a StGB;Diebstahl und;AfD;;;;;;
;;;;;Unterschlagung;;;;;;;
;;;;;geringwertiger Sachen;;;;;;;
20.04.2019;Bochum;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;keine Angabe;;;;;;
20.04.2019;Hamm;0;Links;§ 242 StGB;Diebstahl;AfD;;;;;;
20.04.2019;Oberhausen;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
20.04.2019;Hürth;2;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen;;;;;;
20.04.2019;Recke;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD;;;;;;
20.04.2019;Schifferstadt;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;AfD;;;;;;
20.04.2019;Nierstein;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
20.04.2019;Frankenstein;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige Partei;;;;;;
20.04.2019;Kiel;0;Links;§ 242 StGB;Diebstahl;AfD;;;;;;
20.04.2019;Pinneberg;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
20.04.2019;Saarlouis;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke;;;;;;
20.04.2019;Chemnitz;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
;;;;;;Sonstige Partei;;;;;;
20.04.2019;Leipzig;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU;;;;;;
20.04.2019;Plauen;0;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei;;;;;;
20.04.2019;Leipzig;2;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei;;;;;;
20.04.2019;Dresden;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
20.04.2019;Moritzburg;0;Links;§ 242 StGB;Diebstahl;AfD;;;;;;
20.04.2019;Bischofswerda;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Tatzeit;Tatort;TV1;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei;;;;;;
;;;;;;;;;;;;
20.04.2019;Mittelpöllnitz;0;Links;§ 242 StGB;Diebstahl;AfD;;;;;;
20.04.2019;Triptis;0;Links;§ 242 StGB;Diebstahl;AfD;;;;;;
21.04.2019;Halle;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke;;;;;;
21.04.2019;Halle;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Bündnis 90/Die Grünen;;;;;;
21.04.2019;Seehausen;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU;SPD;;;;;
;;;;;;;;;;;;
21.04.2019;Schildow;1;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige Partei;;;;;;
21.04.2019;Löwenberger Land;0;Rechts;§ 242 StGB;Diebstahl;Die Linke;;;;;;
;;;;;;;;;;;;
21.04.2019;Velten;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD;;;;;;
21.04.2019;Zehdenick;0;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei;;;;;;
21.04.2019;Oranienburg;0;Links;§ 242 StGB;Diebstahl;AfD;;;;;;
21.04.2019;Ahrensfelde;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige Partei;;;;;;
21.04.2019;Kleinmachnow;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU;;;;;;
21.04.2019;Lauchhammer;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige Partei;;;;;;
21.04.2019;Petershagen;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU;;;;;;
21.04.2019;Berlin;0;Links;§ 242 StGB;Diebstahl;AfD;;;;;;
21.04.2019;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
21.04.2019;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
21.04.2019;Berlin;0;Links;§ 242 StGB;Diebstahl;AfD;;;;;;
21.04.2019;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
21.04.2019;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
21.04.2019;Kippenheim;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
21.04.2019;Billigheim;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
21.04.2019;Stuttgart;1;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke;;;;;;
21.04.2019;Karlsruhe;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU;;;;;;
21.04.2019;Karlsruhe;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD;;;;;;
21.04.2019;Nürnberg;0;Rechts;§ 303 StGB;Sachbeschädigung;Sonstige Partei;;;;;;
21.04.2019;Fürth;2;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei;;;;;;
21.04.2019;Georgensgmü;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Tatzeit;Tatort;TV1;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei;;;;;;
;;;;;;;;;;;;
;nd;;;;;;;;;;;
21.04.2019;Wiesbaden;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU;;;;;;
21.04.2019;Schwerin;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;AfD;CDU;;;;;
;;;;;;;;;;;;
21.04.2019;Strasburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD;;;;;;
21.04.2019;Röbel;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen;;;;;;
21.04.2019;Laage;0;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei;;;;;;
21.04.2019;Putbus;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU;;;;;;
21.04.2019;Buchholz;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;AfD;SPD;;;;;
;;;;;;;;;;;;
21.04.2019;Lingen;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke;SPD;;;;;
;;;;;;;;;;;;
21.04.2019;Amelinghausen;1;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
;n;;;;;;;;;;;
21.04.2019;Bad Zwischenahn;0;Links;§ 248a StGB;Diebstahl und;AfD;;;;;;
;;;;;Unterschlagung;;;;;;;
;;;;;geringwertiger Sachen;;;;;;;
21.04.2019;Gifhorn;0;Links;§ 242 StGB;Diebstahl;AfD;;;;;;
21.04.2019;Braunschweig;0;Links;§ 248a StGB;Diebstahl und;AfD;;;;;;
;;;;;Unterschlagung;;;;;;;
;;;;;geringwertiger Sachen;;;;;;;
21.04.2019;Hannover;0;Links;§ 248a StGB;Diebstahl und;AfD;;;;;;
;;;;;Unterschlagung;;;;;;;
;;;;;geringwertiger Sachen;;;;;;;
21.04.2019;Hannover;0;Links;§ 248a StGB;Diebstahl und;AfD;;;;;;
;;;;;Unterschlagung;;;;;;;
;;;;;geringwertiger Sachen;;;;;;;
21.04.2019;Hannover;0;Links;§ 248a StGB;Diebstahl und;AfD;;;;;;
;;;;;Unterschlagung;;;;;;;
;;;;;geringwertiger Sachen;;;;;;;
21.04.2019;Bochum;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;keine Angabe;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Tatzeit;Tatort;TV1;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei;;;;;;
;;;;;;;;;;;;
21.04.2019;Fröndenberg;0;Links;§ 242 StGB;Diebstahl;AfD;;;;;;
21.04.2019;Reichshof;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD;;;;;;
21.04.2019;Krefeld;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
21.04.2019;Dorsten;0;Links;§ 242 StGB;Diebstahl;AfD;;;;;;
21.04.2019;Mainz;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke;AfD;CDU;Sonstige Partei;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
21.04.2019;Edenkoben;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU;FDP;SPD;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
21.04.2019;Mainz;1;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
21.04.2019;Weiskirchen;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
21.04.2019;Weiskirchen;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
21.04.2019;Weiskirchen;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
21.04.2019;Weiskirchen;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
21.04.2019;Blieskastel;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU;;;;;;
21.04.2019;Leipzig;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke;SPD;Bündnis 90/Die Grünen;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
21.04.2019;Bernstadt;0;Rechts;§ 86a StGB;Verwenden von;CDU;;;;;;
;;;;;Kennzeichen;;;;;;;
;;;;;verfassungswidriger;;;;;;;
;;;;;Organisationen;;;;;;;
21.04.2019;Leipzig;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen;;;;;;
21.04.2019;Neumark;0;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke;;;;;;
21.04.2019;Chemnitz;0;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei;;;;;;
21.04.2019;Chemnitz;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;FDP;SPD;;;;;
;;;;;;;;;;;;
21.04.2019;Radebeul;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
21.04.2019;Gersdorf;0;Links;§ 242 StGB;Diebstahl;AfD;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Tatzeit;Tatort;TV1;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei;;;;;;
;;;;;;;;;;;;
21.04.2019;Gersdorf;0;Links;§ 242 StGB;Diebstahl;AfD;;;;;;
21.04.2019;Grimma;0;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke;;;;;;
21.04.2019;Stollberg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen;;;;;;
21.04.2019;Dresden;1;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke;SPD;Sonstige Partei;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
21.04.2019;Lohmen;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen;;;;;;
21.04.2019;Moritzburg;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
21.04.2019;Flöha;0;Links;§ 242 StGB;Diebstahl;AfD;;;;;;
21.04.2019;Glaubitz;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
21.04.2019;Plauen;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke;CDU;SPD;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
21.04.2019;Plauen;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke;;;;;;
21.04.2019;Dresden;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU;;;;;;
21.04.2019;Gera;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;keine Angabe;;;;;;
22.04.2019;Oranienburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU;;;;;;
22.04.2019;Fürstenberg;0;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke;;;;;;
22.04.2019;Rangsdorf;1;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige Partei;CDU;SPD;Bündnis 90/Die Grünen;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
22.04.2019;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
22.04.2019;Berlin;0;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke;;;;;;
22.04.2019;Berlin;0;Rechts;§ 86a StGB;Verwenden von;Die Linke;;;;;;
;;;;;Kennzeichen;;;;;;;
;;;;;verfassungswidriger;;;;;;;
;;;;;Organisationen;;;;;;;
22.04.2019;Heidenheim;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Tatzeit;Tatort;TV1;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei;;;;;;
;;;;;;;;;;;;
;;;;;;Bündnis 90/Die Grünen;;;;;;
22.04.2019;Wertheim;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
22.04.2019;Mühlacker;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD;;;;;;
22.04.2019;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
22.04.2019;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
22.04.2019;Kirchheim;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke;Bündnis 90/Die Grünen;;;;;
;;;;;;;;;;;;
22.04.2019;Mindelheim;0;Links;§ 242 StGB;Diebstahl;AfD;;;;;;
22.04.2019;Seinsheim;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
22.04.2019;Nürnberg;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;SPD;;;;;;
22.04.2019;Nürnberg;0;Rechts;§ 303 StGB;Sachbeschädigung;Sonstige Partei;;;;;;
22.04.2019;Erding;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
22.04.2019;Idstein;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
22.04.2019;Vellmar;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU;;;;;;
22.04.2019;Malchow;0;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei;;;;;;
22.04.2019;Schwerin;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige Partei;;;;;;
22.04.2019;Rostock;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
22.04.2019;Weyhe;1;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD;;;;;;
22.04.2019;Nordhorn;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU;SPD;;;;;
;;;;;;;;;;;;
22.04.2019;Northeim;0;Links;§ 248a StGB;Diebstahl und;AfD;;;;;;
;;;;;Unterschlagung;;;;;;;
;;;;;geringwertiger Sachen;;;;;;;
22.04.2019;Northeim;0;Links;§ 248a StGB;Diebstahl und;AfD;;;;;;
;;;;;Unterschlagung;;;;;;;
;;;;;geringwertiger Sachen;;;;;;;
22.04.2019;Northeim;0;Links;§ 248a StGB;Diebstahl und;AfD;;;;;;
;;;;;Unterschlagung;;;;;;;
;;;;;geringwertiger Sachen;;;;;;;
22.04.2019;Northeim;0;Links;§ 248a StGB;Diebstahl und;AfD;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Tatzeit;Tatort;TV1;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei;;;;;;
;;;;;;;;;;;;
;;;;;geringwertiger Sachen;;;;;;;
22.04.2019;Northeim;0;Links;§ 248a StGB;Diebstahl und;AfD;;;;;;
;;;;;Unterschlagung;;;;;;;
;;;;;geringwertiger Sachen;;;;;;;
22.04.2019;Northeim;0;Links;§ 248a StGB;Diebstahl und;AfD;;;;;;
;;;;;Unterschlagung;;;;;;;
;;;;;geringwertiger Sachen;;;;;;;
22.04.2019;Düren;1;Nicht zuzuordnen;§ 242 StGB;Diebstahl;AfD;CDU;SPD;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
22.04.2019;Dortmund;0;Rechts;Kunsturheberges;Kunsturhebergesetz;SPD;Bündnis 90/Die Grünen;;;;;
;;;;etz;;;;;;;;
22.04.2019;Düsseldorf;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;keine Angabe;;;;;;
22.04.2019;Mülheim;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
22.04.2019;Olpe;0;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei;;;;;;
22.04.2019;Köln;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke;;;;;;
22.04.2019;Edenkoben;0;Rechts;§ 86a StGB;Verwenden von;CDU;;;;;;
;;;;;Kennzeichen;SPD;;;;;;
;;;;;verfassungswidriger;;;;;;;
;;;;;Organisationen;;;;;;;
22.04.2019;Ludwigshafen;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU;;;;;;
22.04.2019;Haßloch;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;AfD;;;;;;
22.04.2019;Lübeck;0;Rechts;§ 86a StGB;Verwenden von;SPD;;;;;;
;;;;;Kennzeichen;;;;;;;
;;;;;verfassungswidriger;;;;;;;
;;;;;Organisationen;;;;;;;
22.04.2019;Elmshorn;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD;;;;;;
22.04.2019;Quickborn;0;Links;§ 242 StGB;Diebstahl;AfD;;;;;;
22.04.2019;Quickborn;0;Links;§ 242 StGB;Diebstahl;AfD;;;;;;
22.04.2019;Quickborn;0;Links;§ 242 StGB;Diebstahl;AfD;;;;;;
22.04.2019;Quickborn;0;Links;§ 242 StGB;Diebstahl;AfD;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Tatzeit;Tatort;TV1;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei;;;;;;
;;;;;;;;;;;;
22.04.2019;Leipzig;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU;;;;;;
22.04.2019;Chemnitz;0;Links;§ 303 StGB;Sachbeschädigung;AfD;FDP;Sonstige Partei;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
22.04.2019;Chemnitz;0;Links;§ 242 StGB;Diebstahl;Sonstige Partei;;;;;;
22.04.2019;Moritzburg;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
22.04.2019;Mittelherwigsdorf;0;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei;;;;;;
;dorf;;;;;;;;;;;
22.04.2019;Horka;0;Links;§ 242 StGB;Diebstahl;Sonstige Partei;;;;;;
22.04.2019;Altenburg;0;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke;;;;;;
22.04.2019;Rosa;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke;;;;;;
22.04.2019;Altenburg;0;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei;;;;;;
22.04.2019;Mittelpöllnitz;0;Links;§ 242 StGB;Diebstahl;AfD;;;;;;
23.04.2019;Halle;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke;;;;;;
23.04.2019;Diesdorf;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen;;;;;;
23.04.2019;Löwenberger;0;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke;;;;;;
;Land;;;;;;;;;;;
23.04.2019;Oranienburg;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
23.04.2019;Oranienburg;0;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei;;;;;;
23.04.2019;Oranienburg;0;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei;;;;;;
23.04.2019;Potsdam;0;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke;;;;;;
23.04.2019;Schwedt;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige Partei;;;;;;
23.04.2019;Mühlenbeck;0;Links;§ 242 StGB;Diebstahl;Sonstige Partei;;;;;;
23.04.2019;Wandlitz;0;Rechts;§ 86a StGB;Verwenden von;Die Linke;;;;;;
;;;;;Kennzeichen;;;;;;;
;;;;;verfassungswidriger;;;;;;;
;;;;;Organisationen;;;;;;;
23.04.2019;Spremberg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD;;;;;;
23.04.2019;Schwedt;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige Partei;;;;;;
23.04.2019;Schwedt;0;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Tatzeit;Tatort;TV1;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei;;;;;;
;;;;;;;;;;;;
23.04.2019;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
23.04.2019;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
23.04.2019;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;SPD;;;;;;
23.04.2019;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;SPD;;;;;;
23.04.2019;Berlin;2;Links;§ 303 StGB;Sachbeschädigung;FDP;;;;;;
23.04.2019;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
23.04.2019;Asperg;0;Rechts;§ 86a StGB;Verwenden von;SPD;;;;;;
;;;;;Kennzeichen;;;;;;;
;;;;;verfassungswidriger;;;;;;;
;;;;;Organisationen;;;;;;;
23.04.2019;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
23.04.2019;Ettenheim;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU;;;;;;
23.04.2019;Karlsruhe;0;Links;§ 242 StGB;Diebstahl;AfD;;;;;;
23.04.2019;Klettgau;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;AfD;;;;;;
23.04.2019;Wutöschingen;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;AfD;;;;;;
23.04.2019;Stühlingen;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;AfD;;;;;;
23.04.2019;Johannesberg;0;Links;§ 303 StGB;Sachbeschädigung;CSU;;;;;;
23.04.2019;Ingolstadt;2;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
23.04.2019;Wiesbaden;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;keine Angabe;;;;;;
23.04.2019;Malchow;2;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei;;;;;;
23.04.2019;Stadtoldendor;0;Rechts;§ 303 StGB;Sachbeschädigung;CDU;SPD;;;;;
;f;;;;;;;;;;;
23.04.2019;Jade;0;Links;§ 242 StGB;Diebstahl;AfD;;;;;;
23.04.2019;Gifhorn;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
23.04.2019;Hannover;0;Links;§ 248a StGB;Diebstahl und;AfD;;;;;;
;;;;;Unterschlagung;;;;;;;
;;;;;geringwertiger Sachen;;;;;;;
23.04.2019;Aachen;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU;;;;;;
;;;;;;SPD;;;;;;
23.04.2019;Bad Salzuflen;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Tatzeit;Tatort;TV1;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei;;;;;;
;;;;;;;;;;;;
23.04.2019;Bielefeld;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;keine Angabe;;;;;;
23.04.2019;Meerbusch;0;Links;§ 243 StGB;Besonders schwerer Fall;AfD;;;;;;
;;;;;des Diebstahls;;;;;;;
23.04.2019;Bad Berleburg;0;Rechts;§ 86a StGB;Verwenden von;CDU;;;;;;
;;;;;Kennzeichen;;;;;;;
;;;;;verfassungswidriger;;;;;;;
;;;;;Organisationen;;;;;;;
23.04.2019;Iserlohn;0;Links;§ 242 StGB;Diebstahl;AfD;;;;;;
23.04.2019;Wermelskirch;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Bündnis 90/Die Grünen;;;;;;
;en;;;;;;;;;;;
23.04.2019;Krefeld;0;Rechts;§ 303 StGB;Sachbeschädigung;Sonstige Partei;;;;;;
23.04.2019;Kerken;2;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
23.04.2019;Ennigerloh;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
23.04.2019;Ludwigshafen;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU;;;;;;
23.04.2019;Alzey;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;FDP;;;;;;
23.04.2019;Kaiserslautern;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;FDP;;;;;;
23.04.2019;Kiel;0;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
23.04.2019;Wedel;1;Links;§ 303 StGB;Sachbeschädigung;AfD;;;;;;
23.04.2019;Kiel;0;Links;§ 242 StGB;Diebstahl;AfD;;;;;;
23.04.2019;Wedel;0;Links;§ 242 StGB;Diebstahl;AfD;;;;;;
23.04.2019;Wedel;0;Links;§ 242 StGB;Diebstahl;AfD;;;;;;
