day;place;suspects;background;law;crime;party_1;party_2;party_3;party_4;party_5;;
;;;;;Verleumdung von;;;;;;;
;;;;;Personen des;;;;;;;
02.07.2019;Dermbach;2;Links;STGB-188;politischen Lebens;AfD;;;;;;
03.07.2019;Kan;0;Rechts;STGB-303;Sachbeschadigung;CDU;;;;;;
03.07.2019;Dresden;0;Rechts;STGB-241;Bedrohung;SPD;;;;;;
04.07.2019;Nurnberg;0;Nicht zuzuordnen;STGB-241;Bedrohung;Sonstige;Bandnis 90/Die GrUnen;Die Linke;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
04.07.2019;Kaltenkirchen;1;Nicht zuzuordnen;STGB-130;Volksverhetzung;AfD;;;;;;
05.07.2019;Oranienburg;0;Links;STGB-185;Beleidigung;AfD;;;;;;
05.07.2019;Dresden;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
05.07.2019;Dresden;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
;;;;;Verunglimpfung des;;;;;;;
;;;;;Andenkens;;;;;;;
07.07.2019;Hannover;0;Rechts;STGB-189;Verstorbener;CDU;;;;;;
08.07.2019;Magdeburg;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
08.07.2019;Heide;1;Links;STGB-185;Beleidigung;AfD;;;;;;
;;;;;Verunglimpfung des;;;;;;;
08.07.2019;Saarbrucken;0;Rechts;STGB-189;Andenkens;CDU;;;;;;
;;;;;Verstorbener;;;;;;;
09.07.2019;Regensburg;0;Links;STGB-223;KOrperverletzung;AfD;;;;;;
;;;;;Belohnung and;;;;;;;
10.07.2019;Wesel;1;Rechts;STG B-140;BilLigung von Straftaten;CDU;;;;;;
10.07.2019;Leipzig;0;Rechts;STGB-241;Bedrohung;Die Linke;;;;;;
;;;;;Uble Nachrede,;;;;;;;
;;;;;Verleunndung von;;;;;;;
;Leinefelde-;;;;Personen des;;;;;;;
10.07.2019;Worbis;0;Nicht zuzuordnen;STGB-188;politischen Lebens;CDU;;;;;;
11.07.2019;Zeuthen;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;CDU;;;;;;
11.07.2019;Eichwalde;0;Nicht zuzuordnen;STG B-303;Sachbeschadigung;CDU;;;;;;
12.07.2019;Osnabruck;1;Links;STG B-185;Beleidigung;AfD;;;;;;
12.07.2019;Liibeck;0;Links;STG B-303;Sachbeschadigung;AfD;;;;;;
;;;;;Gefahrliche;;;;;;;
13.07.2019;Stuttgart;2;Links;STGB-224;Korperverletzung;Bundnis 90/Die Griinen;;;;;;
13.07.2019;Stuttgart;1;Links;STGB-223;Korperverletzung;Biindnis 90/Die Grunen;;;;;;
14.07.2019;Lenzen;0;Rechts;STGB-303;Sachbeschadigung;SPD;;;;;;
15.07.2019;Berlin;0;Links;STGB-185;Beleidigung;AfD;;;;;;
15.07.2019;Dresden;1;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
16.07.2019;Salzgitter;0;Nicht zuzuordnen;STGB-241;Bedrohung;Bundnis 90/Die Grilinen;;;;;;
16.07.2019;Erfurt;0;Links;STGB-240;Notigung;AfD;;;;;;
17.07.2019;Niedergorsdorf;0;Links;STG B-303;Sachbeschadigung;AfD;;;;;;
17.07.2019;Burg;0;Nicht zuzuordnen;STG B-303;Sachbeschadigung;CDU;;;;;;
17.07.2019;Berlin;0;Rechts;STGB-185;Beleidigung;SPD;;;;;;
17.07.2019;Markkleeberg;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
17.07.2019;Geithain;0;Links;STG B-303;Sachbeschadigung;AfD;;;;;;
18.07.2019;Magdeburg;1;Links;STG B-185;Beleidigung;AfD;;;;;;
18.07.2019;Magdeburg;1;Links;STGB-185;Beleidigung;AfD;;;;;;
18.07.2019;Berlin;0;Rechts;STGB-241;Bedrohung;Die Linke;;;;;;
18.07.2019;Niirnberg;0;Links;STGB-303;Sachbeschadigung;CSU;;;;;;
;;;;;;;;;;;;
;;;;;Aufforderung zu;;;;;;;
18.07.2019;Gifhorn;0;Nicht zuzuordnen;STGB-111;Straftaten;AfD;CDU;;;;;
