,size,pop,pop_male,pop_female,density,plz,longitude,latitude,travel_sig,degree_of_urban
321,"10,11",518.0,273.0,245.0,51.0,25885.0,"9,206895","54,531254",übrig. Schleswig-Holstein,gering besiedelt
322,"7,29",220.0,102.0,118.0,30.0,25885.0,"9,274084","54,534607",übrig. Schleswig-Holstein,gering besiedelt
323,"15,29",551.0,292.0,259.0,36.0,25850.0,"9,22759","54,562059",übrig. Schleswig-Holstein,gering besiedelt
324,"9,18",158.0,86.0,72.0,17.0,25850.0,"9,26682","54,556555",übrig. Schleswig-Holstein,gering besiedelt
325,"12,79",882.0,457.0,425.0,69.0,25855.0,"9,182961","54,591683",übrig. Schleswig-Holstein,gering besiedelt
326,"14,61",634.0,317.0,317.0,43.0,25885.0,"9,162503","54,541449",übrig. Schleswig-Holstein,gering besiedelt
327,"19,62",669.0,346.0,323.0,34.0,25864.0,"9,174887","54,621612",übrig. Schleswig-Holstein,gering besiedelt
328,"13,5",410.0,210.0,200.0,30.0,25884.0,"9,129313","54,588429",übrig. Schleswig-Holstein,gering besiedelt
329,"11,29",632.0,321.0,311.0,56.0,25885.0,"9,227445","54,514539",übrig. Schleswig-Holstein,gering besiedelt
330,"15,63",956.0,490.0,466.0,61.0,25813.0,"9,134622","54,493899",übrig. Schleswig-Holstein,gering besiedelt
331,"10,95",285.0,151.0,134.0,26.0,25884.0,"9,228482","54,594606",übrig. Schleswig-Holstein,gering besiedelt
332,"18,96",2223.0,1080.0,1143.0,117.0,25884.0,"9,180557","54,568875",übrig. Schleswig-Holstein,gering besiedelt
333,"18,54",1035.0,525.0,510.0,56.0,25885.0,"9,190063","54,507226",übrig. Schleswig-Holstein,gering besiedelt
335,"2,52",10.0,5.0,5.0,4.0,25869.0,"8,717443","54,631686",Nordsee,gering besiedelt
336,"5,78",103.0,50.0,53.0,18.0,25859.0,"8,550938","54,566389",Nordsee,gering besiedelt
337,"11,57",138.0,72.0,66.0,12.0,25863.0,"8,594129","54,637917",Nordsee,gering besiedelt
338,"37,45",1163.0,564.0,599.0,31.0,25849.0,"8,686238","54,518632",Nordsee,gering besiedelt
340,"9,07",391.0,187.0,204.0,43.0,25938.0,"8,511244","54,708245",Nordsee,gering besiedelt
341,"5,51",336.0,166.0,170.0,61.0,25938.0,"8,460009","54,699989",Nordsee,gering besiedelt
342,"2,72",65.0,31.0,34.0,24.0,25938.0,"8,414572","54,730715",Nordsee,gering besiedelt
343,"8,5",427.0,188.0,239.0,50.0,25938.0,"8,518625","54,714878",Nordsee,gering besiedelt
344,"11,95",905.0,429.0,476.0,76.0,25946.0,"8,353658","54,650612",Nordsee,gering besiedelt
345,"7,86",569.0,273.0,296.0,72.0,25938.0,"8,489439","54,691947",Nordsee,gering besiedelt
346,"5,89",570.0,280.0,290.0,97.0,25946.0,"8,332935","54,679638",Nordsee,gering besiedelt
347,"10,87",473.0,215.0,258.0,44.0,25938.0,"8,530541","54,710109",Nordsee,gering besiedelt
348,"13,31",505.0,228.0,277.0,38.0,25938.0,"8,447735","54,732075",Nordsee,gering besiedelt
349,"2,59",188.0,90.0,98.0,73.0,25938.0,"8,439339","54,725601",Nordsee,gering besiedelt
350,"5,26",398.0,182.0,216.0,76.0,25938.0,"8,407243","54,714455",Nordsee,gering besiedelt
351,"1,59",48.0,24.0,24.0,30.0,25938.0,"8,44106","54,698516",Nordsee,gering besiedelt
352,"2,61",788.0,362.0,426.0,302.0,25946.0,"8,392971","54,626534",Nordsee,gering besiedelt
353,"7,56",608.0,296.0,312.0,80.0,25938.0,"8,549002","54,699012",Nordsee,mittlere Besiedlungsdichte
354,"8,08",4222.0,1979.0,2243.0,523.0,25938.0,"8,567212","54,691093",Nordsee,mittlere Besiedlungsdichte
356,"29,9",1524.0,788.0,736.0,51.0,25917.0,"9,028319","54,788981",übrig. Schleswig-Holstein,gering besiedelt
357,"14,47",441.0,217.0,224.0,30.0,25927.0,"8,822142","54,901249",übrig. Schleswig-Holstein,gering besiedelt
358,"6,33",249.0,129.0,120.0,39.0,25899.0,"8,860437","54,822786",übrig. Schleswig-Holstein,gering besiedelt
359,"13,35",668.0,350.0,318.0,50.0,25923.0,"8,890308","54,835624",übrig. Schleswig-Holstein,gering besiedelt
360,"13,85",222.0,120.0,102.0,16.0,25926.0,"9,08724","54,840025",übrig. Schleswig-Holstein,gering besiedelt
361,"36,92",884.0,429.0,455.0,24.0,25899.0,"8,706381","54,730209",Nordsee,gering besiedelt
362,"7,82",113.0,60.0,53.0,14.0,25923.0,"8,957598","54,888824",übrig. Schleswig-Holstein,gering besiedelt
363,"13,49",179.0,89.0,90.0,13.0,25924.0,"8,631939","54,862372",Nordsee,gering besiedelt
364,4,90.0,41.0,49.0,23.0,25923.0,"8,860525","54,831367",übrig. Schleswig-Holstein,gering besiedelt
365,"16,99",757.0,375.0,382.0,45.0,25923.0,"8,864538","54,863199",übrig. Schleswig-Holstein,gering besiedelt
366,"14,46",212.0,101.0,111.0,15.0,25926.0,"8,975269","54,828646",übrig. Schleswig-Holstein,gering besiedelt
367,"10,63",979.0,475.0,504.0,92.0,25924.0,"8,679546","54,864348",Nordsee,gering besiedelt
368,"17,44",1005.0,503.0,502.0,58.0,25899.0,"8,882448","54,805242",übrig. Schleswig-Holstein,gering besiedelt
369,"24,09",1334.0,664.0,670.0,55.0,25926.0,"9,025311","54,84075",übrig. Schleswig-Holstein,gering besiedelt
370,"29,79",7635.0,3677.0,3958.0,256.0,25917.0,"8,974572","54,771914",übrig. Schleswig-Holstein,mittlere Besiedlungsdichte
371,"5,24",52.0,32.0,20.0,10.0,25923.0,"8,943493","54,832022",übrig. Schleswig-Holstein,gering besiedelt
372,"31,58",1134.0,556.0,578.0,36.0,25927.0,"8,73388","54,868905",übrig. Schleswig-Holstein,gering besiedelt
373,"30,63",9992.0,4827.0,5165.0,326.0,25899.0,"8,829499","54,788141",übrig. Schleswig-Holstein,mittlere Besiedlungsdichte
374,"36,03",3796.0,1870.0,1926.0,105.0,25920.0,"8,875515","54,761513",übrig. Schleswig-Holstein,gering besiedelt
375,"19,84",406.0,201.0,205.0,20.0,25924.0,"8,70031","54,888387",Nordsee,gering besiedelt
376,"11,37",256.0,135.0,121.0,23.0,25917.0,"9,077168","54,775904",übrig. Schleswig-Holstein,gering besiedelt
377,"19,74",959.0,519.0,440.0,49.0,25917.0,"9,050473","54,736011",übrig. Schleswig-Holstein,gering besiedelt
378,"15,19",858.0,432.0,426.0,56.0,25920.0,"8,925525","54,738139",übrig. Schleswig-Holstein,gering besiedelt
379,"26,59",2417.0,1193.0,1224.0,91.0,25923.0,"8,907944","54,872427",übrig. Schleswig-Holstein,gering besiedelt
380,"8,91",247.0,107.0,140.0,28.0,25917.0,"8,929787","54,811247",übrig. Schleswig-Holstein,gering besiedelt
381,"7,06",359.0,174.0,185.0,51.0,25923.0,"8,849901","54,841901",übrig. Schleswig-Holstein,gering besiedelt
382,"19,14",358.0,175.0,183.0,19.0,25926.0,"8,987549","54,856605",übrig. Schleswig-Holstein,gering besiedelt
383,"49,05",615.0,326.0,289.0,13.0,25899.0,"8,732055","54,775694",Nordsee,gering besiedelt
384,"35,73",883.0,444.0,439.0,25.0,25924.0,"8,692601","54,811403",Nordsee,gering besiedelt
385,"24,82",1114.0,561.0,553.0,45.0,25917.0,"8,98049","54,726675",übrig. Schleswig-Holstein,gering besiedelt
387,"5,57",332.0,184.0,148.0,60.0,25860.0,"9,083426","54,539223",übrig. Schleswig-Holstein,gering besiedelt
388,"16,33",646.0,297.0,349.0,40.0,25878.0,"9,160731","54,354509",übrig. Schleswig-Holstein,gering besiedelt
389,"5,18",49.0,20.0,29.0,9.0,25845.0,"8,879592","54,510068",Nordsee,gering besiedelt
390,"2,6",89.0,48.0,41.0,34.0,25876.0,"9,248765","54,39338",übrig. Schleswig-Holstein,gering besiedelt
391,"7,01",2556.0,1253.0,1303.0,365.0,25856.0,"9,02454","54,528049",übrig. Schleswig-Holstein,gering besiedelt
392,"35,29",272.0,149.0,123.0,8.0,25856.0,"8,964562","54,554793",Nordsee,gering besiedelt
393,"11,7",805.0,425.0,380.0,69.0,25860.0,"9,069038","54,525582",übrig. Schleswig-Holstein,gering besiedelt
394,"3,54",182.0,93.0,89.0,51.0,25876.0,"9,215821","54,387212",übrig. Schleswig-Holstein,gering besiedelt
395,"25,8",898.0,445.0,453.0,35.0,25840.0,"9,065906","54,384849",übrig. Schleswig-Holstein,gering besiedelt
396,"8,71",3925.0,1864.0,2061.0,451.0,25866.0,"9,094038","54,463492",übrig. Schleswig-Holstein,mittlere Besiedlungsdichte
397,"57,26",2253.0,1111.0,1142.0,39.0,25845.0,"8,860249","54,484823",Nordsee,gering besiedelt
398,"10,82",739.0,400.0,339.0,68.0,25873.0,"9,166728","54,446436",übrig. Schleswig-Holstein,gering besiedelt
399,"9,94",461.0,230.0,231.0,46.0,25860.0,"9,112117","54,538167",übrig. Schleswig-Holstein,gering besiedelt
400,"27,67",1521.0,725.0,796.0,55.0,25872.0,"9,230675","54,462866",übrig. Schleswig-Holstein,gering besiedelt
401,"5,42",414.0,211.0,203.0,76.0,25876.0,"9,167101","54,399905",übrig. Schleswig-Holstein,gering besiedelt
402,"13,69",1880.0,919.0,961.0,137.0,25873.0,"9,129606","54,44052",übrig. Schleswig-Holstein,gering besiedelt
403,"19,64",1354.0,673.0,681.0,69.0,25876.0,"9,185238","54,395651",übrig. Schleswig-Holstein,gering besiedelt
404,"13,76",765.0,444.0,321.0,56.0,25878.0,"9,163079","54,365824",übrig. Schleswig-Holstein,gering besiedelt
405,"17,48",824.0,404.0,420.0,47.0,25813.0,"8,97196","54,436567",Nordsee,gering besiedelt
406,"2,6",13.0,7.0,6.0,5.0,25876.0,"9,2423","54,381912",übrig. Schleswig-Holstein,gering besiedelt
407,"30,23",144.0,75.0,69.0,5.0,25813.0,"9,08199","54,425929",übrig. Schleswig-Holstein,gering besiedelt
408,"10,23",300.0,156.0,144.0,29.0,25889.0,"8,935322","54,415443",Nordsee,gering besiedelt
409,"18,88",719.0,359.0,360.0,38.0,25887.0,"9,201381","54,433243",übrig. Schleswig-Holstein,gering besiedelt
410,"3,05",113.0,52.0,61.0,37.0,25876.0,"9,154149","54,408531",übrig. Schleswig-Holstein,gering besiedelt
411,"19,91",768.0,396.0,372.0,39.0,25872.0,"9,204139","54,473433",übrig. Schleswig-Holstein,gering besiedelt
412,"28,14",1029.0,514.0,515.0,37.0,25889.0,"8,984464","54,399484",übrig. Schleswig-Holstein,gering besiedelt
413,"1,69",426.0,218.0,208.0,252.0,25856.0,"8,992516","54,530418",Nordsee,gering besiedelt
415,"8,79",515.0,248.0,267.0,59.0,25853.0,"9,068097","54,559394",übrig. Schleswig-Holstein,gering besiedelt
416,"5,7",543.0,276.0,267.0,95.0,25821.0,"9,015622","54,581075",übrig. Schleswig-Holstein,gering besiedelt
417,"17,29",620.0,307.0,313.0,36.0,25842.0,"8,947267","54,704209",übrig. Schleswig-Holstein,gering besiedelt
418,"13,35",760.0,368.0,392.0,57.0,25853.0,"9,043841","54,581229",übrig. Schleswig-Holstein,gering besiedelt
419,"34,71",1999.0,998.0,1001.0,58.0,25852.0,"8,924922","54,635913",übrig. Schleswig-Holstein,gering besiedelt
420,"9,75",5543.0,2723.0,2820.0,569.0,25821.0,"8,960958","54,620073",übrig. Schleswig-Holstein,mittlere Besiedlungsdichte
421,"10,07",2330.0,1118.0,1212.0,231.0,25821.0,"8,982127","54,605121",übrig. Schleswig-Holstein,mittlere Besiedlungsdichte
422,"17,7",1255.0,633.0,622.0,71.0,25853.0,"9,041284","54,60599",übrig. Schleswig-Holstein,gering besiedelt
423,"10,18",359.0,183.0,176.0,35.0,25862.0,"9,145818","54,678836",übrig. Schleswig-Holstein,gering besiedelt
424,"12,02",414.0,210.0,204.0,34.0,25862.0,"9,107425","54,678411",übrig. Schleswig-Holstein,gering besiedelt
425,"16,28",468.0,228.0,240.0,29.0,25858.0,"9,056667","54,643538",übrig. Schleswig-Holstein,gering besiedelt
426,"19,12",727.0,360.0,367.0,38.0,25862.0,"9,139662","54,652937",übrig. Schleswig-Holstein,gering besiedelt
427,"2,1",63.0,34.0,29.0,30.0,25862.0,"9,130775","54,620407",übrig. Schleswig-Holstein,gering besiedelt
428,"47,4",3280.0,1614.0,1666.0,69.0,25842.0,"8,933726","54,681709",übrig. Schleswig-Holstein,gering besiedelt
429,"10,71",336.0,174.0,162.0,31.0,25842.0,"9,021561","54,684136",übrig. Schleswig-Holstein,gering besiedelt
430,"18,64",306.0,148.0,158.0,16.0,25842.0,"8,827553","54,665128",Nordsee,gering besiedelt
431,"4,29",282.0,142.0,140.0,66.0,25821.0,"8,995888","54,63119",übrig. Schleswig-Holstein,gering besiedelt
432,"8,92",1032.0,504.0,528.0,116.0,25821.0,"8,994073","54,588682",übrig. Schleswig-Holstein,mittlere Besiedlungsdichte
433,"6,18",183.0,98.0,85.0,30.0,25821.0,"9,032722","54,623717",übrig. Schleswig-Holstein,gering besiedelt
436,"95,37",8287.0,4093.0,4194.0,87.0,23623.0,"10,573059","54,011094",übrig. Schleswig-Holstein,gering besiedelt
438,"18,39",20044.0,9346.0,10698.0,1090.0,23611.0,"10,695909","53,920431",übrig. Schleswig-Holstein,dicht besiedelt
440,"64,25",3389.0,1720.0,1669.0,53.0,23715.0,"10,429901","54,104439",Holsteinische Schweiz,gering besiedelt
442,"9,11",1224.0,560.0,664.0,134.0,23747.0,"11,08163","54,223661",Ostsee,gering besiedelt
444,"41,39",17013.0,7994.0,9019.0,411.0,23701.0,"10,614962","54,138933",Holsteinische Schweiz,mittlere Besiedlungsdichte
446,"51,09",7158.0,3464.0,3694.0,140.0,23743.0,"10,961101","54,149249",Ostsee,gering besiedelt
448,"20,21",1045.0,498.0,547.0,52.0,23749.0,"11,03599","54,23209",Ostsee,gering besiedelt
450,"18,32",9122.0,4377.0,4745.0,498.0,23774.0,"10,974623","54,373048",Ostsee,mittlere Besiedlungsdichte
452,"8,17",1125.0,526.0,599.0,138.0,23746.0,"11,060024","54,190749",Ostsee,gering besiedelt
454,"69,07",10864.0,5254.0,5610.0,157.0,23714.0,"10,554871","54,171225",Holsteinische Schweiz,mittlere Besiedlungsdichte
456,"19,73",15043.0,7121.0,7922.0,762.0,23730.0,"10,816351","54,10563",Ostsee,mittlere Besiedlungsdichte
458,"39,69",9794.0,4751.0,5043.0,247.0,23758.0,"10,88815","54,293241",Ostsee,mittlere Besiedlungsdichte
460,"59,62",15148.0,7351.0,7797.0,254.0,23626.0,"10,735075","53,947822",übrig. Schleswig-Holstein,mittlere Besiedlungsdichte
462,"56,7",16998.0,8228.0,8770.0,300.0,23617.0,"10,649799","53,889315",übrig. Schleswig-Holstein,dicht besiedelt
464,"75,29",5048.0,2510.0,2538.0,67.0,23701.0,"10,717998","54,076679",Holsteinische Schweiz,gering besiedelt
466,"20,13",8712.0,4080.0,4632.0,433.0,23669.0,"10,770247","53,99638",Ostsee,mittlere Besiedlungsdichte
468,"52,54",11351.0,5478.0,5873.0,216.0,23683.0,"10,750232","54,022793",Ostsee,mittlere Besiedlungsdichte
470,"185,5",12638.0,6201.0,6437.0,68.0,23769.0,"11,197614","54,4387",Ostsee,gering besiedelt
472,"21,24",1118.0,553.0,565.0,53.0,23758.0,"10,941851","54,284726",übrig. Schleswig-Holstein,gering besiedelt
473,"45,76",1507.0,779.0,728.0,33.0,23758.0,"10,927673","54,332831",Ostsee,gering besiedelt
474,"20,99",2180.0,1020.0,1160.0,104.0,23775.0,"11,08427","54,369696",Ostsee,gering besiedelt
475,"29,55",1109.0,559.0,550.0,38.0,23777.0,"11,003697","54,300432",Ostsee,gering besiedelt
476,"28,6",1167.0,582.0,585.0,41.0,23779.0,"11,015153","54,323811",Ostsee,gering besiedelt
477,"67,12",2145.0,1109.0,1036.0,32.0,23758.0,"10,763598","54,271569",Ostsee,gering besiedelt
479,"8,54",525.0,237.0,288.0,61.0,23738.0,"10,873043","54,182743",übrig. Schleswig-Holstein,gering besiedelt
480,"9,24",615.0,302.0,313.0,67.0,23738.0,"10,907708","54,243016",übrig. Schleswig-Holstein,gering besiedelt
481,"17,82",651.0,331.0,320.0,37.0,23738.0,"10,828509","54,243787",übrig. Schleswig-Holstein,gering besiedelt
482,"5,79",430.0,196.0,234.0,74.0,23738.0,"10,921118","54,215844",übrig. Schleswig-Holstein,gering besiedelt
483,"27,7",4938.0,2386.0,2552.0,178.0,23738.0,"10,883304","54,217545",übrig. Schleswig-Holstein,gering besiedelt
484,"9,63",381.0,189.0,192.0,40.0,23738.0,"10,913686","54,194999",übrig. Schleswig-Holstein,gering besiedelt
485,"25,81",909.0,460.0,449.0,35.0,23738.0,"10,969732","54,22536",übrig. Schleswig-Holstein,gering besiedelt
487,"36,64",1114.0,548.0,566.0,30.0,23730.0,"10,825665","54,13298",übrig. Schleswig-Holstein,gering besiedelt
488,"33,92",1431.0,726.0,705.0,42.0,23717.0,"10,72002","54,164947",Holsteinische Schweiz,gering besiedelt
489,"41,46",2129.0,1088.0,1041.0,51.0,23730.0,"10,883528","54,134271",Ostsee,gering besiedelt
490,"39,12",2604.0,1294.0,1310.0,67.0,23744.0,"10,753453","54,187361",Holsteinische Schweiz,gering besiedelt
491,"19,5",1583.0,778.0,805.0,81.0,23730.0,"10,768366","54,066261",Ostsee,mittlere Besiedlungsdichte
