,size,pop,pop_male,pop_female,density,plz,longitude,latitude,travel_sig,degree_of_urban
12049,"29,87",11727.0,5882.0,5845.0,393.0,86405.0,"10,853749","48,546777",Bayerisch-Schwaben,mittlere Besiedlungsdichte
12051,"25,22",22335.0,10674.0,11661.0,886.0,86356.0,"10,831597","48,395449",Bayerisch-Schwaben,dicht besiedelt
12053,"55,5",14312.0,7056.0,7256.0,258.0,86830.0,"10,757701","48,179039",Bayerisch-Schwaben,mittlere Besiedlungsdichte
12055,"11,49",15096.0,7355.0,7741.0,1314.0,86391.0,"10,845885","48,36738",Bayerisch-Schwaben,dicht besiedelt
12057,"39,19",4043.0,2042.0,2001.0,103.0,86672.0,"10,907739","48,566043",Bayerisch-Schwaben,gering besiedelt
12059,"14,11",2961.0,1503.0,1458.0,210.0,86517.0,"10,800312","48,245187",Bayerisch-Schwaben,mittlere Besiedlungsdichte
12061,"68,6",6436.0,3275.0,3161.0,94.0,86441.0,"10,596714","48,398719",Bayerisch-Schwaben,gering besiedelt
12063,"10,32",936.0,505.0,431.0,91.0,86695.0,"10,804495","48,612811",Bayerisch-Schwaben,gering besiedelt
12064,"9,65",1110.0,558.0,552.0,115.0,86678.0,"10,799608","48,59731",Bayerisch-Schwaben,gering besiedelt
12065,"13,91",1156.0,605.0,551.0,83.0,86679.0,"10,869101","48,59937",Bayerisch-Schwaben,gering besiedelt
12066,"7,13",823.0,410.0,413.0,115.0,86707.0,"10,820736","48,56553",Bayerisch-Schwaben,mittlere Besiedlungsdichte
12067,"7,52",2479.0,1267.0,1212.0,330.0,86695.0,"10,831375","48,594912",Bayerisch-Schwaben,gering besiedelt
12068,"6,32",1645.0,826.0,819.0,260.0,86707.0,"10,836618","48,5734",Bayerisch-Schwaben,mittlere Besiedlungsdichte
12070,"6,75",1462.0,735.0,727.0,217.0,86486.0,"10,706286","48,439122",Bayerisch-Schwaben,gering besiedelt
12071,"11,64",1425.0,707.0,718.0,122.0,86494.0,"10,673265","48,489038",Bayerisch-Schwaben,gering besiedelt
12072,"17,3",1008.0,511.0,497.0,58.0,86465.0,"10,736938","48,459",Bayerisch-Schwaben,gering besiedelt
12073,"17,98",3853.0,1932.0,1921.0,214.0,86465.0,"10,658608","48,457621",Bayerisch-Schwaben,gering besiedelt
12075,"41,35",4362.0,2187.0,2175.0,105.0,86459.0,"10,733868","48,331324",Bayerisch-Schwaben,gering besiedelt
12076,"11,13",1164.0,565.0,599.0,105.0,86514.0,"10,640653","48,31583",Bayerisch-Schwaben,gering besiedelt
12078,"12,81",1766.0,878.0,888.0,138.0,86863.0,"10,605271","48,265363",Bayerisch-Schwaben,gering besiedelt
12079,"15,88",1438.0,749.0,689.0,91.0,86866.0,"10,639736","48,244483",Bayerisch-Schwaben,gering besiedelt
12080,"16,92",1027.0,523.0,504.0,61.0,86868.0,"10,596678","48,175793",Bayerisch-Schwaben,gering besiedelt
