Lfd. Nr.;Tatzeit;Tatort;TV;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei
1;08.04.2020;Wetter;0;Rechts;§ 242 StGB;Diebstahl;SPD
2;20.04.2020;München;1;Links;§ 242 StGB;Diebstahl;CSU
3;30.04.2020;Leipzig;0;Links;§ 303 StGB;Sachbeschädigung;CDU
4;05.05.2020;Gelsenkirchen;0;Ausländische Ideologie;§ 303 StGB;Sachbeschädigung;Sonstige Partei
5;05.06.2020;Hamburg;0;Links;§ 303 StGB;Sachbeschädigung;AfD
6;09.06.2020;Gelsenkirchen;0;Rechts;§ 303 StGB;Sachbeschädigung;Sonstige Partei
7;19.06.2020;Bielefeld;0;Nicht zuzuordnen;URHG;Urhebergesetz;CDU
8;21.06.2020;Bielefeld;0;Nicht zuzuordnen;§ 187 StGB;Verleumdung;FDP
9;27.06.2020;Wermelskirchen;0;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei
