,city,date,background,law,suspects,crime,party,Land,plz,ags,insgesamt
0,Greifswald,01.07.2019,Links,STGB-242,0,Diebstahl,AfD,13.0,17489,13075039.0,59232.0
1,Stassfurt,02.07.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,AfD,15.0,39418,15089310.0,24923.0
2,Gotha,09.07.2019,Links,STGB-303,0,Sachbeschadigung,AfD,16.0,99867,16067029.0,45419.0
3,Luckenwalde,11.07.2019,Links,STGB-303,0,Sachbeschadigung,AfD,12.0,14943,12072232.0,20582.0
4,Oldenburg,13.07.2019,Nicht zuzuordnen,STGB-243,0,Besonders schwerer Fall ddes Diebstahls,AfD,,,,
5,Bad Liebenstein,13.07.2019,Links,STGB-303,0,Sachbeschadigung,AfD,16.0,36448,16063099.0,7748.0
6,Leipzig,14.07.2019,Rechts,STGB-303,0,Sachbeschadigung,DIE LINKE,14.0,4109,14713000.0,593145.0
7,Wismar,18.07.2019,Links,STGB-303,0,Sachbeschadigung,AfD,13.0,23952,13074087.0,42963.0
8,Torgau,18.07.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,4860,14730310.0,19883.0
9,Giessen,21.07.2019,Rechts,STGB-86A,0,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,DIE LINKE,6.0,35390,6531005.0,89802.0
10,Kothen,22.07.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,AfD,,,,
11,Stendal,22.07.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,DIE LINKE,15.0,39576,15090535.0,39103.0
12,Berlin,22.07.2019,Rechts,STGB-126,0,Straftaten,DIE LINKE,11.0,10178,11000000.0,3669491.0
13,Berlin,22.07.2019,Rechts,STGB-126,0,Straftaten,SPD,11.0,10178,11000000.0,3669491.0
14,Detmold,22.07.2019,Links,STGB-303,0,Sachbeschadigung,CDU,5.0,32756,5766020.0,74254.0
15,Berlin,23.07.2019,Rechts,STGB-126,0,Storung des offentlichen Friedens offentlichen Friedens,GRÜNE,11.0,10178,11000000.0,3669491.0
16,Bitburg,26.07.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,SPD,7.0,54634,7232018.0,15047.0
17,Wurzen,26.07.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,CDU,14.0,4808,14729410.0,16209.0
18,Hoyerswerda,30.07.2019,Links,STGB-303,1,Sachbeschadigung,AfD,,,,
19,Nienburg,02.08.2019,Rechts,STGB-303,0,Sachbeschadigung,SPD,,,,
20,Furth,03.08.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,SPD,9.0,90744,9563000.0,128497.0
21,Lubben,07.08.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,GRÜNE,,,,
22,Nordhausen,07.08.2019,Links,STGB-90A,0,Verunglimpfung staatlicher Symbole,AfD,16.0,99734,16062041.0,41726.0
23,Lugau,09.08.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,9385,14521380.0,8005.0
24,Greven,11.08.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,GRÜNE,5.0,48268,5566012.0,37753.0
25,Lugau,11.08.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,9385,14521380.0,8005.0
26,Stralsund,12.08.2019,Links,STGB-303,0,Sachbeschadigung,AfD,13.0,18439,13073088.0,59418.0
27,Plauen,17.08.2019,Links,STGB-303,0,Sachbeschadigung,Sonstige,14.0,8523,14523320.0,64597.0
28,Berlin,18.08.2019,Links,STGB-303,0,Sachbeschadigung,SPD,11.0,10178,11000000.0,3669491.0
29,Verden,22.08.2019,Rechts,STGB-303,0,Sachbeschadigung,SPD,,,,
30,Rochlitz,22.08.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,9306,14522490.0,5710.0
31,Wismar,28.08.2019,Rechts,STGB-303,0,Sachbeschadigung,DIE LINKE,13.0,23952,13074087.0,42963.0
32,Dresden,28.08.2019,Rechts,STGB-303,0,Sachbeschadigung,CDU,14.0,1067,14612000.0,556780.0
33,Leipzig,28.08.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,4109,14713000.0,593145.0
34,Torgau,31.08.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,4860,14730310.0,19883.0
35,Berlin,01.09.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,GRÜNE,11.0,10178,11000000.0,3669491.0
36,Zwickau,01.09.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,GRÜNE,14.0,8056,14524330.0,88690.0
37,Gera,04.09.2019,Nicht zuzuordnen,STGB-303,1,Sachbeschadigung,AfD,16.0,7545,16052000.0,93125.0
38,Berlin,13.09.2019,Links,STGB-303,0,Sachbeschadigung,CDU,11.0,10178,11000000.0,3669491.0
39,Meissen,14.09.2019,Links,STGB-306,0,Brandstiftung,AfD,14.0,1662,14627140.0,28282.0
40,Heiligenstadt,14.09.2019,Links,STGB-303,0,Sachbeschadigung,AfD,,,,
41,Bergen,15.09.2019,Links,STGB-242,0,Diebstahl,AfD,3.0,29303,3351004.0,13430.0
42,Zwickau,15.09.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,8056,14524330.0,88690.0
43,Quedlinburg,16.09.2019,Links,STGB-303,0,Sachbeschadigung,AfD,15.0,6484,15085235.0,23798.0
44,Waldbrol,16.09.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,SPD,5.0,51545,5374044.0,19553.0
45,Eisenach,18.09.2019,Links,STGB-303,0,Sachbeschadigung,Sonstige,16.0,99817,16056000.0,42250.0
46,Berlin,20.09.2019,Links,STGB-303,1,Sachbeschadigung,FDP,11.0,10178,11000000.0,3669491.0
47,Altenburg,20.09.2019,Links,STGB-303,0,Sachbeschadigung,AfD,16.0,4600,16077001.0,31633.0
48,Ulm,21.09.2019,Links,STGB-303,0,Sachbeschadigung,AfD,8.0,89073,8421000.0,126790.0
49,Kyritz,24.09.2019,Rechts,STGB-86A,0,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,DIE LINKE,12.0,16866,12068264.0,9260.0
50,Limbach-Oberfrohna,28.09.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,9212,14524180.0,23895.0
51,Leipzig,29.09.2019,Rechts,STGB-303,0,Sachbeschadigung,DIE LINKE,14.0,4109,14713000.0,593145.0
52,Berlin,01.07.2019,Nicht zuzuordnen,STGB-185,0,Beleidigung,DIE LINKE,11.0,10178,11000000.0,3669491.0
53,Schafflund,01.07.2019,Nicht zuzuordnen,STGB-315B,0,Gefahrliche Korperverletzungr Eingriff in den Strassenverkehr,Sonstige,1.0,24980,1059158.0,2711.0
54,Dresden,01.07.2019,Rechts,STGB-86A,1,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,CDU,14.0,1067,14612000.0,556780.0
55,Berlin,02.07.2019,Nicht zuzuordnen,STGB-185,0,Beleidigung,CDU,11.0,10178,11000000.0,3669491.0
56,Dermbach,02.07.2019,Links,STGB-188,2,Verleumdung von Personen des politischen LebensLebens,AfD,16.0,36466,16063015.0,7313.0
57,Kandel,03.07.2019,Rechts,STGB-303,0,Sachbeschadigung,CDU,7.0,76870,7334013.0,9034.0
58,Dresden,03.07.2019,Rechts,STGB-241,0,Bedrohung,SPD,14.0,1067,14612000.0,556780.0
59,Nurnberg,04.07.2019,Nicht zuzuordnen,STGB-241,0,Bedrohung,Sonstige,9.0,90403,9564000.0,518370.0
60,Kaltenkirchen,04.07.2019,Nicht zuzuordnen,STGB-130,1,Volksverhetzung,AfD,1.0,24568,1060044.0,22109.0
61,Oranienburg,05.07.2019,Links,STGB-185,0,Beleidigung,AfD,12.0,16515,12065256.0,44862.0
62,Dresden,05.07.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,1067,14612000.0,556780.0
63,Dresden,05.07.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,1067,14612000.0,556780.0
64,Hannover,07.07.2019,Rechts,STGB-189,0,Verunglimpfung des Andenkens Verstorbener Andenkens Verstorbener,CDU,3.0,30159,3241001.0,536925.0
65,Magdeburg,08.07.2019,Links,STGB-303,0,Sachbeschadigung,AfD,15.0,39104,15003000.0,237565.0
66,Heide,08.07.2019,Links,STGB-185,1,Beleidigung,AfD,1.0,25746,1051044.0,21852.0
67,Saarbrucken,08.07.2019,Rechts,STGB-189,0,Verunglimpfung des Andenkens Verstorbener Andenkens Verstorbener,CDU,10.0,66111,10041100.0,180374.0
68,Regensburg,09.07.2019,Links,STGB-223,0,Korperverletzung,AfD,9.0,93019,9362000.0,153094.0
69,Wesel,10.07.2019,Rechts,STG B-140,1,Billigung von Straftaten,CDU,5.0,46483,5170048.0,60230.0
70,Leipzig,10.07.2019,Rechts,STGB-241,0,Bedrohung,DIE LINKE,14.0,4109,14713000.0,593145.0
71,Worbis,10.07.2019,Nicht zuzuordnen,STGB-188,0,Verleumdung von Personen des politischen LebensLebens,CDU,,,,
72,Zeuthen,11.07.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,CDU,12.0,15738,12061572.0,11427.0
73,Eichwalde,11.07.2019,Nicht zuzuordnen,STG B-303,0,Sachbeschadigung,CDU,12.0,15732,12061112.0,6420.0
74,Osnabruck,12.07.2019,Links,STG B-185,1,Beleidigung,AfD,3.0,49074,3404000.0,165251.0
75,Lubeck,12.07.2019,Links,STG B-303,0,Sachbeschadigung,AfD,1.0,23552,1003000.0,216530.0
76,Stuttgart,13.07.2019,Links,STGB-224,2,Korperverletzung,GRÜNE,8.0,70173,8111000.0,635911.0
77,Stuttgart,13.07.2019,Links,STGB-223,1,Korperverletzung,GRÜNE,8.0,70173,8111000.0,635911.0
78,Lenzen,14.07.2019,Rechts,STGB-303,0,Sachbeschadigung,SPD,,,,
79,Berlin,15.07.2019,Links,STGB-185,0,Beleidigung,AfD,11.0,10178,11000000.0,3669491.0
80,Dresden,15.07.2019,Links,STGB-303,1,Sachbeschadigung,AfD,14.0,1067,14612000.0,556780.0
81,Salzgitter,16.07.2019,Nicht zuzuordnen,STGB-241,0,Bedrohung,GRÜNE,3.0,38226,3102000.0,104291.0
82,Erfurt,16.07.2019,Links,STGB-240,0,Notigung,AfD,16.0,99084,16051000.0,213981.0
83,Niedergorsdorf,17.07.2019,Links,STG B-303,0,Sachbeschadigung,AfD,12.0,14913,12072297.0,6209.0
84,Burg,17.07.2019,Nicht zuzuordnen,STG B-303,0,Sachbeschadigung,CDU,15.0,39288,15086015.0,22406.0
85,Berlin,17.07.2019,Rechts,STGB-185,0,Beleidigung,SPD,11.0,10178,11000000.0,3669491.0
86,Markkleeberg,17.07.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,4416,14729260.0,24748.0
87,Geithain,17.07.2019,Links,STG B-303,0,Sachbeschadigung,AfD,14.0,4643,14729150.0,6858.0
88,Magdeburg,18.07.2019,Links,STG B-185,1,Beleidigung,AfD,15.0,39104,15003000.0,237565.0
89,Magdeburg,18.07.2019,Links,STGB-185,1,Beleidigung,AfD,15.0,39104,15003000.0,237565.0
90,Berlin,18.07.2019,Rechts,STGB-241,0,Bedrohung,DIE LINKE,11.0,10178,11000000.0,3669491.0
91,Niirnberg,18.07.2019,Links,STGB-303,0,Sachbeschadigung,CSU,,,,
92,Gifhorn,18.07.2019,Nicht zuzuordnen,STGB-111,0,Straftaten,AfD,3.0,38518,3151009.0,42837.0
93,Plauen,18.07.2019,Rechts,STGB-185,0,Beleidigung,CDU,14.0,8523,14523320.0,64597.0
94,Neuruppin,19.07.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,SPD,12.0,16816,12068320.0,30785.0
95,Templin,19.07.2019,Links,STGB-242,0,Diebstahl,AfD,12.0,17268,12073572.0,15728.0
96,Juterbog,19.07.2019,Links,STGB-303,0,Sachbeschadigung,AfD,12.0,14913,12072169.0,12372.0
97,Wittenberge,19.07.2019,Links,STGB-303,1,Sachbeschadigung,AfD,12.0,19322,12070424.0,16925.0
98,Brieselang,19.07.2019,Rechts,STGB-303,1,Sachbeschadigung,Sonstige,12.0,14656,12063036.0,12193.0
99,Bordesholm,19.07.2019,Rechts,STGB-241,0,Bedrohung,SPD,1.0,24582,1058022.0,7682.0
100,Luckenwalde,20.07.2019,Links,STGB-303,0,Sachbeschadigung,AfD,12.0,14943,12072232.0,20582.0
101,Dahme,20.07.2019,Links,STGB-303,0,Sachbeschadigung,AfD,12.0,15936,12072053.0,4881.0
102,Berlin,20.07.2019,Links,STGB-303,0,Sachbeschadigung,AfD,11.0,10178,11000000.0,3669491.0
103,Munchen,20.07.2019,Links,STGB-224,0,Korperverletzung,AfD,9.0,80313,9162000.0,1484226.0
104,Glauchau,20.07.2019,Rechts,STGB-86A,0,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,CDU,14.0,8371,14524080.0,22233.0
105,Ziesar,21.07.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,SPD,12.0,14793,12069696.0,2510.0
106,Berlin,21.07.2019,Nicht zuzuordnen,STGB-186,0,Uble Nachrede,SPD,11.0,10178,11000000.0,3669491.0
107,Kothen,22.07.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,AfD,,,,
108,Blankenfelde-Mahlow,22.07.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,CDU,12.0,15827,12072017.0,27939.0
109,Berlin,22.07.2019,Rechts,STGB-185,0,Beleidigung,CSU,11.0,10178,11000000.0,3669491.0
110,Gelsenkirchen,22.07.2019,Rechts,STGB-241,0,Bedrohung,Sonstige,5.0,45879,5513000.0,259645.0
111,Schonefeld,23.07.2019,Links,STGB-185,1,Beleidigung,AfD,12.0,12529,12061433.0,16270.0
112,Berlin,23.07.2019,Links,STGB-224,0,Korperverletzung,CDU,11.0,10178,11000000.0,3669491.0
113,Karlsruhe,23.07.2019,Nicht zuzuordnen,STGB-185,1,Beleidigung,GRÜNE,8.0,76124,8212000.0,312060.0
114,Lubeck,23.07.2019,Links,STGB-303,0,Sachbeschadigung,AfD,1.0,23552,1003000.0,216530.0
115,Zittau,23.07.2019,Rechts,STGB-308,0,Herbeifuhren einer Sprengstoffexplosion Sprengstoffexplosion,DIE LINKE,14.0,2763,14626610.0,25086.0
116,Chemnitz,23.07.2019,Rechts,STGB-185,1,Beleidigung,GRÜNE,14.0,9111,14511000.0,246334.0
117,Plauen,23.07.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,CDU,14.0,8523,14523320.0,64597.0
118,Chemnitz,23.07.2019,Nicht zuzuordnen,STGB-185,1,Beleidigung,SPD,14.0,9111,14511000.0,246334.0
119,Naunhof,23.07.2019,Rechts,STGB-240,0,Notigung,DIE LINKE,14.0,4683,14729300.0,8774.0
120,Berlin,24.07.2019,Nicht zuzuordnen,STGB-185,0,Beleidigung,GRÜNE,11.0,10178,11000000.0,3669491.0
121,Freiburg,24.07.2019,Links,STGB-185,1,Beleidigung,AfD,,,,
122,Freiburg,24.07.2019,Links,VERSG,0,Verstoß gegen das Versammlungsgesetz,AfD,,,,
123,Crimmitschau,24.07.2019,Nicht zuzuordnen,STGB-303,2,Sachbeschadigung,FDP,14.0,8451,14524030.0,18350.0
124,Wittenberge,25.07.2019,Links,STGB-185,1,Beleidigung,AfD,12.0,19322,12070424.0,16925.0
125,Premnitz,25.07.2019,Rechts,STGB-86A,0,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,SPD,12.0,14727,12063244.0,8405.0
126,Cottbus,25.07.2019,Links,STGB-185,2,Beleidigung,AfD,12.0,3046,12052000.0,99678.0
127,Stuttgart,25.07.2019,Links,STGB-303,0,Sachbeschadigung,AfD,8.0,70173,8111000.0,635911.0
128,Stuttgart,25.07.2019,Links,STGB-187,0,Verleumdung ohne Verleumdung ohne sexuelle Grundlage,AfD,8.0,70173,8111000.0,635911.0
129,Leipzig,25.07.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,4109,14713000.0,593145.0
130,Glauchau,25.07.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,8371,14524080.0,22233.0
131,Potsdam,26.07.2019,Rechts,STGB-315B,0,Gefahrliche Korperverletzungr Eingriff in den Strassenverkehr,DIE LINKE,12.0,14469,12054000.0,180334.0
132,Berlin,26.07.2019,Nicht zuzuordnen,STGB-185,0,Beleidigung,GRÜNE,11.0,10178,11000000.0,3669491.0
133,Konstanz,26.07.2019,Nicht zuzuordnen,STGB-315B,0,Gefahrliche Korperverletzungr Eingriff in den Strassenverkehr,GRÜNE,8.0,78462,8335043.0,84911.0
134,Dresden,26.07.2019,Rechts,STGB-132A,0,"Missbrauch von Titeln, Berufsbezeichnungen und Abzeichen",Sonstige,14.0,1067,14612000.0,556780.0
135,Falkensee,27.07.2019,Rechts,STGB-86A,0,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,AfD,12.0,14612,12063080.0,43994.0
136,Berlin,27.07.2019,Nicht zuzuordnen,STGB-185,0,Beleidigung,GRÜNE,11.0,10178,11000000.0,3669491.0
137,Dresden,27.07.2019,Links,STGB-185,0,Beleidigung,AfD,14.0,1067,14612000.0,556780.0
138,Leipzig,27.07.2019,Rechts,STGB-86A,0,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,DIE LINKE,14.0,4109,14713000.0,593145.0
139,Arendsee,28.07.2019,Links,STGB-211,0,Mord,AfD,,,,
140,Colditz,28.07.2019,Rechts,STGB-240,0,Notigung,DIE LINKE,14.0,4680,14729080.0,8422.0
141,Zeuthen,29.07.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,SPD,12.0,15738,12061572.0,11427.0
142,Berlin,29.07.2019,Nicht zuzuordnen,STGB-185,0,Beleidigung,GRÜNE,11.0,10178,11000000.0,3669491.0
143,Berlin,29.07.2019,Nicht zuzuordnen,STGB-185,0,Beleidigung,GRÜNE,11.0,10178,11000000.0,3669491.0
144,Berlin,29.07.2019,Nicht zuzuordnen,STGB-185,0,Beleidigung,GRÜNE,11.0,10178,11000000.0,3669491.0
145,Leipzig,29.07.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,4109,14713000.0,593145.0
146,Breitenbrunn,29.07.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,GRÜNE,14.0,8359,14521110.0,5204.0
147,Oederan,29.07.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,CDU,14.0,9569,14522440.0,7934.0
148,Eichwalde,30.07.2019,Links,STGB-185,0,Beleidigung,AfD,12.0,15732,12061112.0,6420.0
149,Luckenwalde,30.07.2019,Links,STGB-303,0,Sachbeschadigung,AfD,12.0,14943,12072232.0,20582.0
150,Berlin,30.07.2019,Links,KUG,0,Verstoss gegen das Kunsturhebergesetz,AfD,11.0,10178,11000000.0,3669491.0
151,Goslar,30.07.2019,Nicht zuzuordnen,STGB-202A,0,Ausspahen von Daten,CDU,3.0,38640,3153017.0,50554.0
152,Neuwied,30.07.2019,Rechts,STGB-185,0,Beleidigung,SPD,7.0,56564,7138045.0,64765.0
153,Kiel,30.07.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,CDU,1.0,24103,1002000.0,246794.0
154,Dresden,30.07.2019,Rechts,STGB-86A,1,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,CDU,14.0,1067,14612000.0,556780.0
155,Glauchau,30.07.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,8371,14524080.0,22233.0
156,Panketal,31.07.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,CDU,12.0,16341,12060181.0,20596.0
157,Bad Freienwalde,31.07.2019,Links,STGB-303,1,Sachbeschadigung,AfD,,,,
158,Berlin,31.07.2019,Links,STGB-303,0,Sachbeschadigung,AfD,11.0,10178,11000000.0,3669491.0
159,Heddesheim,31.07.2019,Rechts,STGB-185,1,Beleidigung,GRÜNE,8.0,68542,8226028.0,11683.0
160,Leipzig,31.07.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,4109,14713000.0,593145.0
161,Waldenburg,31.07.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,8396,14524290.0,4058.0
162,Berglen,01.08.2019,Nicht zuzuordnen,STGB-185,1,Beleidigung,AfD,8.0,73663,8119089.0,6400.0
163,Wittenberge,02.08.2019,Links,STGB-188,1,Verleumdung von Personen des politischen LebensLebens,AfD,12.0,19322,12070424.0,16925.0
164,Hamburg,02.08.2019,Nicht zuzuordnen,STGB-185,0,Beleidigung,SPD,2.0,20038,2000000.0,1847253.0
165,Schoningen,02.08.2019,Rechts,STGB-188,1,Verleumdung von Personen des politischen LebensLebens,CDU,3.0,38364,3154019.0,11212.0
166,Nienburg,02.08.2019,Rechts,STGB-303,0,Sachbeschadigung,SPD,,,,
167,Koln,02.08.2019,Nicht zuzuordnen,STGB-185,1,Beleidigung,SPD,5.0,50667,5315000.0,1087863.0
168,Rothenburg,02.08.2019,Rechts,STGB-86A,0,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,SPD,14.0,2929,14626480.0,4458.0
169,Meerane,02.08.2019,Links,STGB-86A,0,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,AfD,14.0,8393,14524190.0,14001.0
170,Ringleben,02.08.2019,Rechts,STGB-86A,1,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,CDU,16.0,99189,16068045.0,497.0
171,Furth,03.08.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,SPD,9.0,90744,9563000.0,128497.0
172,Leipzig,03.08.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,CDU,14.0,4109,14713000.0,593145.0
173,Glauchau,03.08.2019,Links,STGB-86A,0,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,AfD,14.0,8371,14524080.0,22233.0
174,Glauchau,03.08.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,8371,14524080.0,22233.0
175,Remse,03.08.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,8373,14524260.0,1625.0
176,Dennheritz,03.08.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,8393,14524050.0,1295.0
177,Niederwurschnitz,03.08.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,SPD,14.0,9399,14521430.0,2579.0
178,Leipzig,03.08.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,CDU,14.0,4109,14713000.0,593145.0
179,Frankfurt,04.08.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,SPD,,,,
180,Breit,04.08.2019,Rechts,STGB-86A,2,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,DIE LINKE,7.0,54426,7231202.0,290.0
181,Schulldorf,04.08.2019,Rechts,STGB-111,0,Straftaten,CDU,1.0,24790,1058146.0,747.0
182,Dresden,04.08.2019,Nicht zuzuordnen,STGB-185,0,Beleidigung,CDU,14.0,1067,14612000.0,556780.0
183,Meerane,05.08.2019,Links,STGB-166,0,"Beleidigung, Beschimpfung von Bekentnisse, Religionsgemeinschaften und Weltanschauungen",CDU,14.0,8393,14524190.0,14001.0
184,Meerane,05.08.2019,Links,STGB-86A,1,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,AfD,14.0,8393,14524190.0,14001.0
185,Dresden,05.08.2019,Links,STGB-86A,0,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,AfD,14.0,1067,14612000.0,556780.0
186,Leipzig,05.08.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,4109,14713000.0,593145.0
187,Dresden,06.08.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,SPD,14.0,1067,14612000.0,556780.0
188,Achern,07.08.2019,Links,KUG,0,Verstoss gegen das Kunsturhebergesetz,AfD,8.0,77855,8317001.0,25642.0
189,Leipzig,07.08.2019,Rechts,STGB-86A,0,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,CDU,14.0,4109,14713000.0,593145.0
190,Oelsnitz,07.08.2019,Rechts,STG B-303,0,Sachbeschadigung,CDU,14.0,9376,14521450.0,10951.0
191,Dresden,07.08.2019,Links,STG B-166,0,"Beleidigung, Beschimpfung von Bekentnisse, Religionsgemeinschaften und Weltanschauungen",CDU,14.0,1067,14612000.0,556780.0
192,Glauchau,07.08.2019,Links,STG B-185,2,Beleidigung,AfD,14.0,8371,14524080.0,22233.0
193,Glauchau,08.08.2019,Links,STGB-86A,1,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,AfD,14.0,8371,14524080.0,22233.0
194,Leipzig,08.08.2019,Rechts,STG B-303,0,Sachbeschadigung,DIE LINKE,14.0,4109,14713000.0,593145.0
195,Eberswalde,09.08.2019,Links,STGB-223,1,Korperverletzung,AfD,12.0,16225,12060052.0,40699.0
196,Fehrbellin,09.08.2019,Nicht zuzuordnen,STG B-303,0,Sachbeschadigung,CDU,12.0,16833,12068117.0,8943.0
197,Panketal,09.08.2019,Nicht zuzuordnen,STG B-303,0,Sachbeschadigung,CDU,12.0,16341,12060181.0,20596.0
198,Krefeld,09.08.2019,Links,STG B-306,0,Brandstiftung,AfD,5.0,47798,5114000.0,227417.0
199,Bannewitz,09.08.2019,Links,STGB-240,1,Notigung,AfD,14.0,1728,14628050.0,11104.0
200,Grimma,09.08.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,4668,14729160.0,28173.0
201,Grossschonau,09.08.2019,Links,STG B-303,0,Sachbeschadigung,AfD,14.0,2779,14626140.0,5363.0
202,Blankenfelde-Mahlow,10.08.2019,Links,STG B-186,1,Uble Nachrede,AfD,12.0,15827,12072017.0,27939.0
203,Lauterbach,10.08.2019,Links,STG B-185,1,Beleidigung,AfD,8.0,78730,8325036.0,2879.0
204,Dresden,10.08.2019,Links,STGB-223,1,Korperverletzung,AfD,14.0,1067,14612000.0,556780.0
205,Glauchau,10.08.2019,Links,STG B-303,0,Sachbeschadigung,AfD,14.0,8371,14524080.0,22233.0
206,Uslar,11.08.2019,Links,STGB-306,0,Brandstiftung,AfD,3.0,37170,3155012.0,14115.0
207,Delitzsch,11.08.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,SPD,14.0,4509,14730070.0,24823.0
208,Meerane,11.08.2019,Links,STGB-86A,0,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,AfD,14.0,8393,14524190.0,14001.0
209,Gross Kreutz,12.08.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,CDU,,,,
210,Niemegk,12.08.2019,Links,STGB-303,0,Sachbeschadigung,AfD,12.0,14823,12069448.0,2006.0
211,Stuttgart,12.08.2019,Rechts,STGB-130,1,Volksverhetzung,AfD,8.0,70173,8111000.0,635911.0
212,Wolfenbuttel,12.08.2019,Links,STGB-185,1,Beleidigung,AfD,3.0,38300,3158037.0,52165.0
213,Kirchberg,12.08.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,CDU,14.0,8107,14524130.0,8179.0
214,Leipzig,12.08.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,CDU,14.0,4109,14713000.0,593145.0
215,Leipzig,12.08.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,CDU,14.0,4109,14713000.0,593145.0
216,Erfurt,12.08.2019,Rechts,STGB-241,1,Bedrohung,GRÜNE,16.0,99084,16051000.0,213981.0
217,Leipzig,13.08.2019,Nicht zuzuordnen,STGB-303,2,Sachbeschadigung,CDU,14.0,4109,14713000.0,593145.0
218,Leipzig,13.08.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,CDU,14.0,4109,14713000.0,593145.0
219,Waldenburg,13.08.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,8396,14524290.0,4058.0
