Lfd. Nr.;Tatzeit;Tatort;TV;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei
1;01.04.2020;Hamburg;0;Links;§ 303 StGB;Sachbeschädigung;BÜNDNIS 90/DIE GRÜNEN
2;01.04.2020;Torgelow;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
3;01.04.2020;Köthen;0;Links;§ 303 StGB;Sachbeschädigung;AfD
4;02.04.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;SPD
5;04.04.2020;Ludwigsburg;0;Links;§ 303 StGB;Sachbeschädigung;CDU
6;04.04.2020;Ludwigsburg;0;Ausländische Ideologie;§ 303 StGB;Sachbeschädigung;CDU
7;05.04.2020;Lugau;0;Links;§ 303 StGB;Sachbeschädigung;AfD
8;05.04.2020;Flöha;0;Links;§ 303 StGB;Sachbeschädigung;AfD
9;05.04.2020;Saalfeld;0;Rechts;§ 303 StGB;Sachbeschädigung;DIE LINKE.
10;05.04.2020;Erfurt;0;Links;§ 303 StGB;Sachbeschädigung;AfD
11;07.04.2020;Bremen;0;Rechts;§ 126 StGB;Störung des öffentlichen Friedens;DIE LINKE.
12;07.04.2020;Friedelsheim;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
13;08.04.2020;Gotha;0;Links;§ 303 StGB;Sachbeschädigung;AfD
14;10.04.2020;Saalfeld;0;Links;§ 303 StGB;Sachbeschädigung;AfD
15;11.04.2020;Wedel;0;Links;§ 188 StGB;Üble Nachrede;FDP, AfD
16;12.04.2020;Merseburg;0;Links;§ 303 StGB;Sachbeschädigung;AfD
17;12.04.2020;Gotha;0;Links;§ 303 StGB;Sachbeschädigung;AfD
18;13.04.2020;Flöha;0;Links;§ 303 StGB;Sachbeschädigung;AfD
19;14.04.2020;Essen;0;Rechts;§ 303 StGB;Sachbeschädigung;SPD
20;14.04.2020;Hoyerswerda;0;Links;§ 303 StGB;Sachbeschädigung;AfD
21;15.04.2020;Heide;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
22;15.04.2020;Gardelegen;0;Links;§ 303 StGB;Sachbeschädigung;AfD
23;16.04.2020;Bremen;0;Rechts;§ 126 StGB;Störung des öffentlichen Friedens;BÜNDNIS 90/DIE GRÜNEN
24;16.04.2020;Bremen;0;Links;§ 303 StGB;Sachbeschädigung;BÜNDNIS 90/DIE GRÜNEN
25;16.04.2020;Gelsenkirchen;0;Rechts;§ 303 StGB;Sachbeschädigung;DIE LINKE.
26;16.04.2020;Wuppertal;0;Links;§ 303 StGB;Sachbeschädigung;SPD
27;19.04.2020;Güstrow;0;Rechts;§ 303 StGB;Sachbeschädigung;DIE LINKE.
28;21.04.2020;Lüdenscheid;0;Links;§ 303 StGB;Sachbeschädigung;SPD
29;21.04.2020;Köln;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;FDP
30;21.04.2020;Leipzig;0;Rechts;§ 303 StGB;Sachbeschädigung;DIE LINKE.
31;22.04.2020;Heilbad Heiligenstadt;0;Links;§ 303 StGB;Sachbeschädigung;AfD
32;25.04.2020;Wuppertal;0;Links;§ 303 StGB;Sachbeschädigung;AfD
33;25.04.2020;Gotha;0;Links;§ 303 StGB;Sachbeschädigung;AfD
34;26.04.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;SPD
35;28.04.2020;Ludwigshafen;0;Links;§ 303 StGB;Sachbeschädigung;AfD
36;29.04.2020;Lüneburg;0;Links;§ 303 StGB;Sachbeschädigung;SPD
37;30.04.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;SPD
38;30.04.2020;Trier;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
39;01.05.2020;Hildesheim;0;Links;§ 303 StGB;Sachbeschädigung;AfD
40;01.05.2020;Saarbrücken;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
41;02.05.2020;Trier;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
42;03.05.2020;Bremen;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;FDP
43;03.05.2020;Hoyerswerda;0;Links;§ 303 StGB;Sachbeschädigung;AfD
44;04.05.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;AfD
45;04.05.2020;Bremen;0;Rechts;§ 126 StGB;Störung des öffentlichen Friedens;CDU
46;04.05.2020;Bad Oldesloe;0;Rechts;§ 303 StGB;Sachbeschädigung;DIE LINKE.
47;05.05.2020;Gelsenkirchen;0;Ausländische Ideologie;§ 303 StGB;Sachbeschädigung;Sonstige Partei
48;06.05.2020;Bremen;0;Rechts;§ 126 StGB;Störung des öffentlichen Friedens;SPD
49;07.05.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;AfD
50;07.05.2020;Bergen;0;Links;§ 303 StGB;Sachbeschädigung;AfD
51;07.05.2020;Lüneburg;0;Links;§ 303 StGB;Sachbeschädigung;SPD
52;08.05.2020;Dresden;0;Links;§ 303 StGB;Sachbeschädigung;FDP
53;08.05.2020;Dresden;0;Links;§ 303 StGB;Sachbeschädigung;CDU
54;09.05.2020;Wurzen;0;Rechts;§ 86a StGB;Volksverhetzung;DIE LINKE.
55;11.05.2020;Bremerhaven;0;Rechts;§ 126 StGB;Störung des öffentlichen Friedens;DIE LINKE.
56;11.05.2020;Ludwigshafen;0;Links;§ 303 StGB;Sachbeschädigung;AfD
57;12.05.2020;Wismar;0;Rechts;§ 86a StGB;Volksverhetzung;AfD
58;14.05.2020;Berlin;0;Rechts;§ 303 StGB;Sachbeschädigung;SPD
59;15.05.2020;Stralsund;0;Rechts;§ 303 StGB;Sachbeschädigung;CDU
60;18.05.2020;Hoyerswerda;0;Links;§ 303 StGB;Sachbeschädigung;AfD
61;18.05.2020;Nordhausen;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;DIE LINKE.
62;20.05.2020;Berlin;0;Rechts;§ 303 StGB;Sachbeschädigung;DIE LINKE.
63;22.05.2020;Rostock;4;Nicht zuzuordnen;§ 243 StGB;Besonders schwerer Fall des Diebstahls;AfD
64;22.05.2020;Köln;0;Links;§ 303 StGB;Sachbeschädigung;SPD
65;22.05.2020;Trier;0;Nicht zuzuordnen;§ 185 StGB;Beleidigung;SPD
66;26.05.2020;Limbach-Oberfrohna;0;Links;§ 303 StGB;Sachbeschädigung;AfD
67;01.06.2020;Göttingen;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;BÜNDNIS 90/DIE GRÜNEN
68;02.06.2020;Schwerin;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
69;02.06.2020;Lüneburg;0;Links;§ 303 StGB;Sachbeschädigung;SPD
70;04.06.2020;Hameln;0;Rechts;§ 126 StGB;Störung des öffentlichen Friedens;BÜNDNIS 90/DIE GRÜNEN, SPD, DIE LINKE.
71;04.06.2020;Göttingen;0;Rechts;§ 126 StGB;Störung des öffentlichen Friedens;BÜNDNIS 90/DIE GRÜNEN
72;04.06.2020;Gardelegen;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;AfD
73;05.06.2020;Hamburg;0;Rechts;§ 241 StGB;Bedrohung;DIE LINKE.
74;07.06.2020;Schwerin;0;Links;§ 303 StGB;Sachbeschädigung;AfD
75;07.06.2020;Hannover;0;Rechts;§ 303 StGB;Sachbeschädigung;DIE LINKE.
76;09.06.2020;Hildesheim;0;Links;§ 303 StGB;Sachbeschädigung;AfD
77;10.06.2020;Lübben;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;BÜNDNIS 90/DIE GRÜNEN
78;10.06.2020;Murnau;0;Links;§ 185 StGB;Beleidigung;Sonstige Partei
79;12.06.2020;Ludwigslust;0;Links;§ 303 StGB;Sachbeschädigung;AfD
80;15.06.2020;Lübtheen;0;Links;§ 303 StGB;Sachbeschädigung;AfD
81;16.06.2020;Zwickau;0;Rechts;§ 303 StGB;Sachbeschädigung;DIE LINKE.
82;18.06.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;CDU
83;18.06.2020;Berlin;0;Nicht zuzuordnen;VERSG;Verstoß VersG;CDU
84;18.06.2020;Berlin;4;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
85;18.06.2020;Berlin;4;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
86;19.06.2020;Köln;0;Links;§ 303 StGB;Sachbeschädigung;CDU
87;20.06.2020;Murnau;0;Links;§ 242 StGB;Diebstahl;Sonstige Partei
88;21.06.2020;Falkenberg;0;Links;§ 303 StGB;Sachbeschädigung;AfD
89;23.06.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;CDU
90;25.06.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;FDP
91;29.06.2020;Greifswald;0;Links;§ 303 StGB;Sachbeschädigung;CDU
