Lfd. Nr.;Tatzeit;Tatort;TV1;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei
73;18.02.2020;Altenburg;0;Links;§ 303 StGB;Sachbeschädigung;AfD
74;20.02.2020;Stuttgart;0;Links;§ 303 StGB;Sachbeschädigung;AfD
75;21.02.2020;München;0;Links;§ 303 StGB;Sachbeschädigung;SPD
76;21.02.2020;Braunschweig;0;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke
77;22.02.2020;Hildesheim;0;Links;§ 303 StGB;Sachbeschädigung;AfD
78;23.02.2020;München;0;Links;§ 303 StGB;Sachbeschädigung;keine Angabe
79;23.02.2020;Hamburg;0;Links;§ 123 StGB;Hausfriedensbruch;SPD
80;28.02.2020;Schwerin;0;Links;§ 303 StGB;Sachbeschädigung;AfD
81;29.02.2020;Worms;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;AfD
82;01.03.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;AfD
83;01.03.2020;Bautzen;0;Links;§ 303 StGB;Sachbeschädigung;AfD
84;02.03.2020;Bremen;0;Rechts;§ 126 StGB;Störung des öffentlichen Friedens durch Androhung von Straftaten;CDU
85;05.03.2020;Bremen;0;Rechts;§ 126 StGB;Störung des öffentlichen Friedens durch Androhung von Straftaten;AfD
86;05.03.2020;Wismar;0;Links;§ 303 StGB;Sachbeschädigung;AfD
87;06.03.2020;Mainz;0;Rechts;§ 86a StGB;Volksverhetzung;FDP
88;07.03.2020;Lübeck;0;Links;§ 303 StGB;Sachbeschädigung;AfD
89;08.03.2020;Zeitz;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;keine Angabe
90;08.03.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;SPD
91;08.03.2020;Hildesheim;0;Links;§ 303 StGB;Sachbeschädigung;AfD
92;08.03.2020;Lübeck;0;Links;§ 303 StGB;Sachbeschädigung;CDU
93;08.03.2020;Lugau;0;Links;§ 303 StGB;Sachbeschädigung;AfD
94;11.03.2020;Bitterfeld-Wolfen;0;Nicht zuzuordnen;§ 243 StGB;Besonders schwerer Fall des Diebstahls;Die Linke
95;11.03.2020;Merseburg;0;Rechts;§ 303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen, SPD
96;11.03.2020;Berlin;0;Links;§ 242 StGB;Diebstahl;keine Angabe
97;11.03.2020;Hildesheim;0;Links;§ 303 StGB;Sachbeschädigung;AfD
98;13.03.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;AfD
99;13.03.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;keine Angabe
100;13.03.2020;Lübeck;0;Links;§ 303 StGB;Sachbeschädigung;CDU
101;13.03.2020;Leipzig;0;Links;§ 303 StGB;Sachbeschädigung;CDU
102;14.03.2020;Braunschweig;0;Links;§ 303 StGB;Sachbeschädigung;CDU
103;16.03.2020;Krefeld;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke
104;16.03.2020;Krefeld;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
105;18.03.2020;Lübeck;0;Links;§ 303 StGB;Sachbeschädigung;CDU
106;22.03.2020;Fürstenwalde;0;Links;§ 303 StGB;Sachbeschädigung;AfD
107;23.03.2020;Braunschweig;0;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke
108;27.03.2020;Lage;0;Links;§ 303 StGB;Sachbeschädigung;AfD
109;28.03.2020;Riesa;0;Links;§ 303 StGB;Sachbeschädigung;AfD
110;30.03.2020;Göttingen;0;Links;§ 303 StGB;Sachbeschädigung;CDU
