Lfd. Nr.;Tatzeit;Tatort;TV1;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei
1;02.01.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;AfD
2;02.01.2020;Ebersbach;0;Nicht zuzuordnen;§ 130 StGB;Volksverhetzung;keine Angabe
3;02.01.2020;Dresden;0;Rechts;§ 185 StGB;Beleidigung;Bündnis 90/Die Grünen
4;02.01.2020;Dresden;0;Rechts;§ 185 StGB;Beleidigung;Bündnis 90/Die Grünen
5;06.01.2020;Oberhausen;0;Links;§ 241 StGB;Bedrohung;CDU
6;06.01.2020;Dresden;1;Links;§ 240 StGB;Nötigung;AfD
7;07.01.2020;Bremen;0;Links;§ 186 StGB;Üble Nachrede;AfD
8;07.01.2020;Bremen;0;Links;§ 186 StGB;Üble Nachrede;AfD
9;07.01.2020;Neubrandenburg;0;Rechts;§ 189 StGB;Verunglimpfung des Andenkens Verstorbener;CDU
10;07.01.2020;Kiel;0;Links;§ 303 StGB;Sachbeschädigung;AfD
11;07.01.2020;Wurzen;1;Rechts;§ 241 StGB;Bedrohung;Die Linke
12;08.01.2020;Hamburg;0;Nicht zuzuordnen;§ 202a StGB;Ausspähen von Daten;Die Linke
13;08.01.2020;Saarbrücken;1;Nicht zuzuordnen;§ 185 StGB;Beleidigung;Bündnis 90/Die Grünen
14;09.01.2020;Stuttgart;0;Rechts;§ 187 StGB;Verleumdung;CDU
15;09.01.2020;Waiblingen;0;Nicht zuzuordnen;§ 241 StGB;Bedrohung;Bündnis 90/Die Grünen, FDP, CSU, SPD, CDU
16;09.01.2020;Hoyerswerda;1;Rechts;§ 86a StGB;Volksverhetzung;keine Angabe
17;10.01.2020;Ebersbach;0;Rechts;§ 130 StGB;Volksverhetzung;keine Angabe
18;10.01.2020;Leipzig;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
19;11.01.2020;Dresden;1;Rechts;§ 86a StGB;Volksverhetzung;CDU
20;12.01.2020;Salzgitter;0;Nicht zuzuordnen;§ 185 StGB;Beleidigung;CDU
21;12.01.2020;Dresden;0;Links;§ 241 StGB;Bedrohung;AfD
22;13.01.2020;Leipzig;0;Rechts;§ 86a StGB;Volksverhetzung;CDU
23;13.01.2020;Leipzig;0;Links;§ 303 StGB;Sachbeschädigung;AfD
24;14.01.2020;Berlin;0;Links;§ 185 StGB;Beleidigung;AfD
25;14.01.2020;Hannover;0;Nicht zuzuordnen;§ 185 StGB;Beleidigung;Bündnis 90/Die Grünen, CDU
26;15.01.2020;Lübeck;0;Rechts;§ 303 StGB;Sachbeschädigung;keine Angabe
27;15.01.2020;Wurzen;0;Rechts;§ 185 StGB;Beleidigung;CDU
28;15.01.2020;Erfurt;0;Links;§ 185 StGB;Beleidigung;AfD
29;16.01.2020;Dresden;0;Links;§ 241 StGB;Bedrohung;AfD
30;17.01.2020;Berlin;0;Links;§ 185 StGB;Beleidigung;AfD
31;17.01.2020;Heusenstamm;0;Rechts;§ 86a StGB;Volksverhetzung;keine Angabe
32;17.01.2020;Landau;0;Links;§ 185 StGB;Beleidigung;AfD
33;17.01.2020;Leipzig;1;Links;§ 303 StGB;Sachbeschädigung;SPD
34;18.01.2020;Leipzig;0;Rechts;§ 241 StGB;Bedrohung;Die Linke
35;19.01.2020;Berlin;0;Links;§ 185 StGB;Beleidigung;AfD
36;19.01.2020;Hamburg;0;Rechts;§ 86a StGB;Volksverhetzung;SPD
37;20.01.2020;Langenau;0;Nicht zuzuordnen;§ 185 StGB;Beleidigung;Bündnis 90/Die Grünen
38;20.01.2020;Jena;0;Links;§ 188 StGB;Üble Nachrede und Verleumdung gegen Personen des politischen Lebens;FDP
39;21.01.2020;Berlin;0;Nicht zuzuordnen;§ 185 StGB;Beleidigung;Die Linke
40;21.01.2020;Freising;0;Nicht zuzuordnen;§ 269 StGB;Fälschung beweiserheblicher Daten;Bündnis 90/Die Grünen
41;21.01.2020;Hannover;0;Nicht zuzuordnen;§ 185 StGB;Beleidigung;SPD
42;21.01.2020;Zülpich;0;Rechts;§ 241 StGB;Bedrohung;Die Linke
43;21.01.2020;Mülheim;1;Nicht zuzuordnen;§ 241 StGB;Bedrohung;CDU
44;21.01.2020;Gera;0;Links;§ 185 StGB;Beleidigung;AfD
45;22.01.2020;Erfurt;0;Nicht zuzuordnen;§ 241 StGB;Bedrohung;Bündnis 90/Die Grünen, CDU
46;23.01.2020;Gera;0;Links;§ 185 StGB;Beleidigung;AfD
47;24.01.2020;Wilhelmshaven;1;Links;§ 187 StGB;Verleumdung;AfD
48;25.01.2020;Berlin;2;Links;§ 189 StGB;Verunglimpfung des Andenkens Verstorbener;AfD
49;26.01.2020;Wilhelmshaven;1;Rechts;§ 185 StGB;Beleidigung;Bündnis 90/Die Grünen
50;26.01.2020;Radeberg;1;Nicht zuzuordnen;§ 185 StGB;Beleidigung;SPD
