Lfd. Nr.;Tatzeit;Tatort;TV1;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei
64;31.01.2020;Gelsenkirchen;0;Ausländische Ideologie;§ 303 StGB;Sachbeschädigung;Sonstige Partei
65;01.02.2020;Nürnberg;0;Links;§ 303 StGB;Sachbeschädigung;AfD
66;01.02.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige Partei
67;02.02.2020;Penzberg;0;Rechts;§ 86a StGB;Volksverhetzung;keine Angabe
68;02.02.2020;Abenberg;0;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke
69;02.02.2020;München;1;Links;§ 240 StGB;Nötigung;AfD
70;02.02.2020;Nürnberg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke
71;02.02.2020;München;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
72;02.02.2020;Hamburg;1;Links;§ 303 StGB;Sachbeschädigung;AfD
73;03.02.2020;Nürnberg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke
74;03.02.2020;Oberasbach;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;AfD
75;03.02.2020;Trostberg;0;Links;§ 303 StGB;Sachbeschädigung;CSU
76;03.02.2020;Hamburg;2;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
77;03.02.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
78;03.02.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
79;03.02.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
80;03.02.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
81;03.02.2020;Hamburg;0;Links;§ 303 StGB;Sachbeschädigung;AfD
82;03.02.2020;Hamburg;1;Links;§ 303 StGB;Sachbeschädigung;AfD
83;04.02.2020;Nürnberg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke
84;04.02.2020;Kempten;0;Links;§ 242 StGB;Diebstahl;AfD
85;04.02.2020;Hamburg;1;Links;§ 303 StGB;Sachbeschädigung;AfD
86;04.02.2020;Hamburg;0;Links;§ 303 StGB;Sachbeschädigung;AfD, SPD
87;04.02.2020;Hamburg;0;Links;§ 303 StGB;Sachbeschädigung;AfD
88;04.02.2020;Hamburg;0;Links;§ 303 StGB;Sachbeschädigung;AfD
89;04.02.2020;Hamburg;0;Links;§ 303 StGB;Sachbeschädigung;AfD
90;04.02.2020;Hamburg;0;Links;§ 303 StGB;Sachbeschädigung;AfD
91;05.02.2020;Nürnberg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke
92;05.02.2020;Eichenau;0;Links;§ 86a StGB;Volksverhetzung;CSU
93;05.02.2020;Haar;0;Links;§ 303 StGB;Sachbeschädigung;FDP
94;05.02.2020;Gilching;0;Rechts;§ 242 StGB;Diebstahl;Bündnis 90/Die Grünen
95;05.02.2020;Hamburg;0;Links;§ 303 StGB;Sachbeschädigung;FDP, AfD
96;05.02.2020;Leipzig;0;Links;§ 303 StGB;Sachbeschädigung;FDP
97;06.02.2020;Schwandorf;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;keine Angabe
98;06.02.2020;Nürnberg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke
99;06.02.2020;Wendelstein;0;Rechts;§ 303 StGB;Sachbeschädigung;SPD
100;06.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Bündnis 90/Die Grünen
101;06.02.2020;Prien;0;Links;§ 86a StGB;Volksverhetzung;AfD
102;06.02.2020;Hallstadt;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
103;06.02.2020;Eggenfelden;1;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei
104;06.02.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
105;06.02.2020;Hamburg;0;Links;§ 303 StGB;Sachbeschädigung;AfD
106;06.02.2020;Hamburg;1;Links;§ 303 StGB;Sachbeschädigung;AfD
107;06.02.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;FDP
108;06.02.2020;Hamburg;0;Links;§ 303 StGB;Sachbeschädigung;AfD
109;06.02.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;AfD
110;06.02.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
111;06.02.2020;Hamburg;0;Links;§ 303 StGB;Sachbeschädigung;AfD
112;06.02.2020;Hamburg;0;Links;§ 303 StGB;Sachbeschädigung;AfD, SPD
113;07.02.2020;Nürnberg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke
114;07.02.2020;Oberviechtach;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CSU
115;07.02.2020;Prien;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;AfD
116;07.02.2020;Hamburg;0;Links;§ 303 StGB;Sachbeschädigung;Die Linke
117;07.02.2020;Hamburg;0;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke
118;07.02.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
119;07.02.2020;Hamburg;0;Links;§ 303 StGB;Sachbeschädigung;AfD
120;07.02.2020;Hamburg;0;Links;§ 303 StGB;Sachbeschädigung;AfD
121;07.02.2020;Hamburg;1;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;FDP
122;07.02.2020;Hamburg;0;Links;§ 303 StGB;Sachbeschädigung;AfD
123;07.02.2020;Hamburg;2;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;FDP
124;07.02.2020;Leipzig;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
125;08.02.2020;Eichstätt;0;Links;§ 242 StGB;Diebstahl;CSU
126;08.02.2020;Spardorf;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige Partei
127;08.02.2020;Uffing;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
128;08.02.2020;München;2;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige Partei
129;08.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
130;08.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
131;08.02.2020;Aschaffenburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
132;08.02.2020;Schwandorf;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige Partei, SPD
133;08.02.2020;Schwandorf;1;Links;§ 303 StGB;Sachbeschädigung;CSU, Sonstige Partei
134;08.02.2020;Ingolstadt;1;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke
135;08.02.2020;Leipzig;5;Links;§ 303 StGB;Sachbeschädigung;AfD
136;09.02.2020;Coburg;0;Links;§ 303 StGB;Sachbeschädigung;FDP
137;09.02.2020;Tirschenreuth;0;Links;§ 303 StGB;Sachbeschädigung;CSU
138;09.02.2020;Rehau;0;Links;§ 303 StGB;Sachbeschädigung;CSU
139;09.02.2020;Weißenburg;0;Links;§ 303 StGB;Sachbeschädigung;CSU
140;09.02.2020;Icking;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
141;09.02.2020;Lam;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CSU, Sonstige Partei
142;09.02.2020;Kempten;0;Links;§ 242 StGB;Diebstahl;AfD
143;09.02.2020;Sennfeld;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;CSU
144;09.02.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;FDP
145;09.02.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;FDP
146;09.02.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;FDP, AfD
147;09.02.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;FDP, Sonstige Partei, CDU, SPD
148;09.02.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;FDP, CDU, SPD
149;09.02.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;FDP
150;09.02.2020;Hamburg;1;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
151;09.02.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
152;10.02.2020;Nürnberg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke
153;10.02.2020;Nürnberg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke
154;10.02.2020;Grünwald;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
155;10.02.2020;Fuchsstadt;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;CSU
156;10.02.2020;Nürnberg;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;SPD
157;10.02.2020;Gilching;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CSU
158;10.02.2020;Lohr;0;Rechts;§ 86a StGB;Volksverhetzung;Bündnis 90/Die Grünen
159;10.02.2020;München;0;Rechts;§ 303 StGB;Sachbeschädigung;SPD
160;10.02.2020;Neubiberg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
161;10.02.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
162;10.02.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU, SPD
163;10.02.2020;Hamburg;0;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke
164;10.02.2020;Hamburg;0;Links;§ 303 StGB;Sachbeschädigung;AfD
165;11.02.2020;Sinzing;0;Rechts;§ 86a StGB;Volksverhetzung;Sonstige Partei
166;11.02.2020;Nürnberg;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Die Linke
167;11.02.2020;Grünwald;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CSU
168;11.02.2020;Nürnberg;0;Links;§ 86a StGB;Volksverhetzung;AfD
169;11.02.2020;Bamberg;0;Links;§ 303 StGB;Sachbeschädigung;AfD
170;11.02.2020;Landshut;0;Links;§ 303 StGB;Sachbeschädigung;CSU, FDP, AfD, Sonstige Partei
171;11.02.2020;Germering;0;Links;§ 303 StGB;Sachbeschädigung;CSU
172;11.02.2020;Grünwald;0;Rechts;§ 86a StGB;Volksverhetzung;Sonstige Partei
173;11.02.2020;Hamburg;0;Links;§ 303 StGB;Sachbeschädigung;AfD
174;11.02.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;FDP
175;11.02.2020;Braunschweig;1;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei
176;12.02.2020;Nürnberg;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Die Linke
177;12.02.2020;Haundorf;0;Links;§ 303 StGB;Sachbeschädigung;CSU
178;12.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
179;12.02.2020;München;0;Rechts;§ 86a StGB;Volksverhetzung;SPD
180;12.02.2020;München;0;Rechts;§ 86a StGB;Volksverhetzung;CSU
181;12.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
182;12.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
183;12.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
184;12.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
185;12.02.2020;Erding;1;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;keine Angabe
186;12.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
187;12.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
188;12.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
189;12.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
190;12.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
191;12.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
192;12.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
193;12.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
194;12.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
195;12.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
196;12.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
197;12.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
198;12.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
199;12.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
200;12.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
201;12.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
202;12.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
203;12.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
204;12.02.2020;Neunkirchen;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
205;12.02.2020;Hamburg;1;Links;§ 303 StGB;Sachbeschädigung;AfD
206;12.02.2020;Hamburg;1;Nicht zuzuordnen;§ 242 StGB;Diebstahl;SPD
207;12.02.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;FDP
208;12.02.2020;Hamburg;1;Links;§ 303 StGB;Sachbeschädigung;AfD
209;13.02.2020;Klingenberg;0;Links;§ 303 StGB;Sachbeschädigung;FDP
210;13.02.2020;Nürnberg;0;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke
211;13.02.2020;Gauting;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;keine Angabe
212;13.02.2020;Ebenhausen;0;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei
213;13.02.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige Partei
214;14.02.2020;Eckental;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige Partei
215;14.02.2020;Nürnberg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke
216;14.02.2020;München;0;Links;§ 303 StGB;Sachbeschädigung;AfD
217;14.02.2020;Cadolzburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
218;14.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Die Linke
219;14.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Die Linke
220;14.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Die Linke
221;14.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Die Linke
222;14.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Die Linke
223;14.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Die Linke
224;14.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Die Linke
225;14.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Die Linke
226;14.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Die Linke
227;14.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Die Linke
228;14.02.2020;München;0;Rechts;§ 242 StGB;Diebstahl;Die Linke
229;14.02.2020;München;0;Rechts;§ 242 StGB;Diebstahl;Die Linke
230;14.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Die Linke
231;14.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Die Linke
232;14.02.2020;Hohenschäftlarn;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
233;14.02.2020;Hamburg;0;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke
234;14.02.2020;Hamburg;0;Links;§ 303 StGB;Sachbeschädigung;AfD
235;15.02.2020;Pfatter;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CSU
236;15.02.2020;Neutraubling;0;Rechts;§ 303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen, CSU, Sonstige Partei
237;15.02.2020;Nürnberg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke
238;15.02.2020;Nürnberg;0;Links;§ 303 StGB;Sachbeschädigung;AfD
239;15.02.2020;Hohenbrunn;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige Partei
240;15.02.2020;Schmidmühlen;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;CSU
241;15.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
242;15.02.2020;München;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;SPD
243;15.02.2020;Buchdorf;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige Partei
244;15.02.2020;Kirchehrenbach;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CSU, Sonstige Partei, SPD
245;15.02.2020;Regensburg;0;Links;§ 303 StGB;Sachbeschädigung;AfD
246;15.02.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
247;15.02.2020;Hamburg;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
248;15.02.2020;Hamburg;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
249;15.02.2020;Hamburg;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
250;15.02.2020;Hamburg;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
251;15.02.2020;Hamburg;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
252;15.02.2020;Hamburg;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
253;16.02.2020;Bürgstadt;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige Partei
254;16.02.2020;Bürgstadt;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CSU
255;16.02.2020;Dietersheim;0;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke
256;16.02.2020;Weilheim;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;FDP, AfD
257;16.02.2020;Hohenschäftlarn;0;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei
258;16.02.2020;Dietersheim;0;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke
259;16.02.2020;Dietersheim;0;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke
260;16.02.2020;Passau;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
261;16.02.2020;Arrach;0;Links;§ 303 StGB;Sachbeschädigung;CSU
262;16.02.2020;München;0;Links;§ 303 StGB;Sachbeschädigung;SPD
263;16.02.2020;Icking;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Bündnis 90/Die Grünen
264;16.02.2020;Nürnberg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke
265;16.02.2020;Rosenheim;0;Links;§ 303 StGB;Sachbeschädigung;AfD
266;16.02.2020;München;1;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;AfD
267;16.02.2020;Forchheim;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
268;16.02.2020;Kaufering;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
269;16.02.2020;Herzogenaurach;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CSU, AfD
270;16.02.2020;Hamburg;1;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
271;16.02.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
272;16.02.2020;Hamburg;0;Links;§ 303 StGB;Sachbeschädigung;AfD
273;16.02.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige Partei
274;16.02.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige Partei
275;17.02.2020;Miltenberg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;FDP
