Lfd. Nr.;Tatzeit;Tatort;TV1;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei
1;01.01.2020;München;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;AfD
2;01.01.2020;München;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;AfD
3;02.01.2020;München;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;AfD
4;07.01.2020;Grafing;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Bündnis 90/Die Grünen
5;07.01.2020;Taucha;0;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke
6;10.01.2020;Leipzig;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
7;11.01.2020;Regensburg;0;Links;§ 303 StGB;Sachbeschädigung;CSU
8;12.01.2020;Hamburg;2;Links;§ 303 StGB;Sachbeschädigung;AfD
9;12.01.2020;Leipzig;0;Links;§ 303 StGB;Sachbeschädigung;AfD
10;13.01.2020;Leipzig;0;Links;§ 303 StGB;Sachbeschädigung;AfD
11;14.01.2020;Hamburg;1;Links;§ 303 StGB;Sachbeschädigung;AfD
12;15.01.2020;Hamburg;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;SPD
13;16.01.2020;Leipzig;0;Links;§ 303 StGB;Sachbeschädigung;AfD
14;16.01.2020;Leipzig;0;Links;§ 303 StGB;Sachbeschädigung;AfD
15;17.01.2020;Leipzig;0;Links;§ 303 StGB;Sachbeschädigung;AfD
16;17.01.2020;Leipzig;1;Links;§ 303 StGB;Sachbeschädigung;SPD
17;18.01.2020;Würzburg;3;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige Partei
18;18.01.2020;München;0;Nicht zuzuordnen;§ 86a StGB;Volksverhetzung;SPD
19;18.01.2020;München;1;Rechts;§ 303 StGB;Sachbeschädigung;Sonstige Partei
20;19.01.2020;Rimpar;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CSU
21;19.01.2020;Wasserburg;0;Links;§ 303 StGB;Sachbeschädigung;keine Angabe
22;19.01.2020;Straubing;1;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke
23;19.01.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
24;22.01.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
25;23.01.2020;Hamburg;1;Links;§ 303 StGB;Sachbeschädigung;AfD
26;24.01.2020;München;0;Links;§ 242 StGB;Diebstahl;AfD
27;25.01.2020;Buckenhof;0;Nicht zuzuordnen;§ 243 StGB;Besonders schwerer Fall des Diebstahls;Sonstige Partei
28;25.01.2020;Oberhaching;0;Links;§ 303 StGB;Sachbeschädigung;FDP
29;25.01.2020;Oberhaching;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;FDP
30;25.01.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke, SPD
31;26.01.2020;Straubing;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CSU
32;26.01.2020;Augsburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige Partei
33;26.01.2020;Augsburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
34;26.01.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
35;26.01.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
36;26.01.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;AfD
37;27.01.2020;Weinsberg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;keine Angabe
38;27.01.2020;München;0;Links;§ 242 StGB;Diebstahl;AfD
39;27.01.2020;Hamburg;0;Links;§ 303 StGB;Sachbeschädigung;AfD
40;27.01.2020;Hamburg;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;SPD
41;27.01.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
42;27.01.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
43;27.01.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige Partei
44;27.01.2020;Hamburg;1;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
45;27.01.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige Partei
46;27.01.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;FDP
47;27.01.2020;Hamburg;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;Sonstige Partei
48;28.01.2020;Otterfing;0;Rechts;§ 86a StGB;Volksverhetzung;Bündnis 90/Die Grünen
49;28.01.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
50;28.01.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;FDP, SPD
51;28.01.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke, CDU
52;28.01.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
53;28.01.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
54;28.01.2020;Hamburg;1;Links;§ 303 StGB;Sachbeschädigung;AfD
55;29.01.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige Partei
56;29.01.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Die Linke
57;29.01.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige Partei
58;29.01.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige Partei
59;29.01.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige Partei
60;30.01.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU, SPD
61;30.01.2020;Hamburg;0;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke
62;30.01.2020;Hamburg;0;Links;§ 303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen, AfD
63;31.01.2020;München;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
