Lfd. Nr.;Tatzeit;Tatort;TV;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei
308;29.08.2020;Saerbeck;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;SPD
309;25.08.2020;Ladbergen;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;SPD, AfD, DIE LINKE.
310;01.09.2020;Ladbergen;0;Links;STGB-303;Sachbeschädigung;AfD
311;29.08.2020;Ibbenbüren;1;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
312;26.08.2020;Bocholt;1;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
313;12.09.2020;Bocholt;1;Links;STGB-303;Sachbeschädigung;AfD
314;31.08.2020;Münster;0;Links;STGB-303;Sachbeschädigung;CDU
315;30.08.2020;Bocholt;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
316;28.08.2020;Münster;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
317;04.09.2020;Münster;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
318;08.09.2020;Wadersloh;0;Nicht zuzuordnen;STGB-242;Diebstahl;AfD
319;05.09.2020;Ladbergen;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;AfD
320;29.08.2020;Heek;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
321;21.08.2020;Wettringen;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;Bündnis 90/Die Grünen
322;28.08.2020;Rheine;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;Sonstige Partei
323;10.09.2020;Rheine;0;Rechts;STGB-86A;Verwenden von Kennzeichen verfassungswidriger Organisationen;SPD
324;30.08.2020;Münster;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;FDP
325;10.08.2020;Münster;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;FDP, CDU, DIE LINKE.
326;14.09.2020;Laer;0;Nicht zuzuordnen;STGB-86A;Verwenden von Kennzeichen verfassungswidriger Organisationen;AfD
327;06.07.2020;Herten;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;Sonstige Partei
328;26.07.2020;Herten;0;Nicht zuzuordnen;STGB-242;Diebstahl;Sonstige Partei
329;04.08.2020;Haltern am See;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;SPD
330;08.08.2020;Haltern am See;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;SPD
331;09.08.2020;Haltern am See;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
332;07.08.2020;Oer-Erkenschwick;0;Nicht zuzuordnen;STGB-242;Diebstahl;Sonstige Partei
333;08.08.2020;Recklinghausen;0;Nicht zuzuordnen;STGB-242;Diebstahl;Sonstige Partei
334;08.08.2020;Recklinghausen;0;Nicht zuzuordnen;STGB-242;Diebstahl;Sonstige Partei
335;14.08.2020;Recklinghausen;0;Nicht zuzuordnen;STGB-242;Diebstahl;Sonstige Partei
