Lfd. Nr.;Tatzeit;Tatort;TV;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei
1;01.04.2020;Berlin;0;Links;§ 306 StGB;Brandstiftung;AfD
2;01.04.2020;Berlin;0;Links;BDSG;BDSG;AfD
3;01.04.2020;Berlin;0;Rechts;§ 185 StGB;Beleidigung;CDU
4;01.04.2020;Berlin;0;Links;BDSG;BDSG;AfD
5;03.04.2020;Berlin;0;Rechts;§ 185 StGB;Beleidigung;SPD
6;03.04.2020;Ladenburg;0;Nicht zuzuordnen;§ 185 StGB;Beleidigung;SPD
7;03.04.2020;Erfurt;0;Rechts;§ 240 StGB;Nötigung;DIE LINKE.
8;04.04.2020;Neuruppin;1;Links;§ 241 StGB;Bedrohung;AfD
9;05.04.2020;Ladenburg;0;Nicht zuzuordnen;§ 185 StGB;Beleidigung;SPD
10;06.04.2020;Berlin;0;Links;§ 306 StGB;Brandstiftung;AfD
11;06.04.2020;Braunschweig;1;Nicht zuzuordnen;§ 185 StGB;Beleidigung;AfD
12;07.04.2020;Lüdenscheid;1;Rechts;§ 185 StGB;Beleidigung;DIE LINKE.
13;07.04.2020;Leipzig;0;Links;§ 306 StGB;Brandstiftung;AfD
14;08.04.2020;Wadgassen;1;Rechts;§ 185 StGB;Beleidigung;SPD
15;09.04.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;AfD
16;09.04.2020;Lübeck;0;Links;§ 185 StGB;Beleidigung;AfD
17;10.04.2020;Stuttgart;0;Rechts;§ 185 StGB;Beleidigung;Parteirepräsentant/Parteimitglied, Kommune, Mandatsträger, Person
18;11.04.2020;Wedel;0;Links;§ 188 StGB;Üble Nachrede;FDP, AfD
19;13.04.2020;Flöha;0;Links;§ 303 StGB;Sachbeschädigung;AfD
20;14.04.2020;Fürth;0;Links;§ 241 StGB;Bedrohung;SPD
21;14.04.2020;Bautzen;0;Links;§ 241 StGB;Bedrohung;AfD
22;15.04.2020;Lauingen;0;Nicht zuzuordnen;§ 240 StGB;Nötigung;CSU
23;15.04.2020;Osnabrück;1;Rechts;§ 241 StGB;Bedrohung;AfD
24;15.04.2020;Breitenworbis;0;Nicht zuzuordnen;§ 188 StGB;Üble Nachrede;BÜNDNIS90/DIE GRÜNEN, CDU
25;15.04.2020;Erfurt;0;Rechts;§ 185 StGB;Beleidigung;DIE LINKE.
26;16.04.2020;Sondershausen;0;Nicht zuzuordnen;§ 188 StGB;Üble Nachrede;BÜNDNIS90/DIE GRÜNEN, CDU
27;17.04.2020;München;1;Nicht zuzuordnen;§ 185 StGB;Beleidigung;CSU
28;18.04.2020;Reinfeld;1;Nicht zuzuordnen;§ 185 StGB;Beleidigung;AfD
29;19.04.2020;Hamburg;0;Links;§ 303 StGB;Sachbeschädigung;AfD
30;20.04.2020;Hennigsdorf;0;Nicht zuzuordnen;§ 86a StGB;Volksverhetzung;AfD
31;20.04.2020;Berlin;0;Links;§ 186 StGB;Üble Nachrede;AfD
32;20.04.2020;Berlin;0;Rechts;§ 253 StGB;Erpressung;BÜNDNIS90/DIE GRÜNEN
33;21.04.2020;Mannheim;1;Nicht zuzuordnen;§ 111 StGB;Öffentliche Aufforderung zu Straftaten;BÜNDNIS90/DIE GRÜNEN
34;21.04.2020;Aschaffenburg;1;Links;§ 185 StGB;Beleidigung;AfD
