Lfd. Nr.;Tatzeit;Tatort;TV;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei
1;08.07.2020;Dessau-Roßlau;0;Nicht zuzuordnen;STGB-242;Diebstahl;AfD
2;03.08.2020;Bitterfeld-Wolfen;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;SPD
3;30.08.2020;Birkenwerder;0;Rechts;STGB-303;Sachbeschädigung;SPD
4;14.07.2020;Rathenow;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;SPD
5;22.07.2020;Elsterwerda;0;Links;STGB-303;Sachbeschädigung;AfD
6;16.08.2020;Elsterwerda;4;Links;STGB-303;Sachbeschädigung;AfD
7;14.08.2020;Forst;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
8;19.08.2020;Elsterwerda;0;Nicht zuzuordnen;STGB-86A;Verwenden von Kennzeichen verfassungswidriger Organisationen;AfD
9;12.08.2020;Königs Wusterhausen;0;Links;STGB-303;Sachbeschädigung;AfD
10;01.07.2020;Berlin;0;Nicht zuzuordnen;STGB-123;Hausfriedensbruch;CDU
11;02.07.2020;Berlin;0;Links;STGB-123;Hausfriedensbruch;Die Linke
12;05.07.2020;Berlin;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;Bündnis 90/Die Grünen
13;06.07.2020;Berlin;0;Links;STGB-303;Sachbeschädigung;CDU
14;08.07.2020;Berlin;0;Links;STGB-303;Sachbeschädigung;SPD
15;09.07.2020;Berlin;0;Links;STGB-303;Sachbeschädigung;SPD
16;09.07.2020;Berlin;0;Links;STGB-303;Sachbeschädigung;SPD
17;08.07.2020;Berlin;0;Links;STGB-303;Sachbeschädigung;SPD
18;20.07.2020;Berlin;0;Links;STGB-303;Sachbeschädigung;SPD
19;29.07.2020;Berlin;0;Links;STGB-185;Beleidigung;SPD
20;01.08.2020;Berlin;0;Links;STGB-125A;Bes. schwerer Fall des Landfriedensbruchs;SPD
21;05.08.2020;Berlin;0;Links;STGB-303;Sachbeschädigung;SPD
22;10.08.2020;Berlin;0;Links;STGB-303;Sachbeschädigung;SPD
23;13.08.2020;Berlin;0;Links;STGB-303;Sachbeschädigung;keine Angabe
24;26.08.2020;Berlin;0;Links;STGB-303;Sachbeschädigung;keine Angabe
25;09.09.2020;Berlin;0;Links;STGB-303;Sachbeschädigung;SPD
26;10.09.2020;Berlin;0;Links;STGB-303;Sachbeschädigung;SPD
27;11.09.2020;Berlin;0;Links;STGB-303;Sachbeschädigung;SPD
28;07.08.2020;Berlin;0;Links;STGB-303;Sachbeschädigung;SPD
29;21.09.2020;Berlin;0;Links;STGB-303;Sachbeschädigung;Bündnis 90/Die Grünen
30;28.09.2020;Berlin;0;Links;STGB-303;Sachbeschädigung;AfD
31;08.09.2020;Schorndorf;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;keine Angabe
32;05.07.2020;Memmingen;0;Links;STGB-303;Sachbeschädigung;AfD
33;10.08.2020;Nürnberg;0;Links;STGB-243;Bes. schwerer Diebstahl;AfD
34;14.09.2020;Passau;0;Links;STGB-303;Sachbeschädigung;AfD
