Lfd. Nr.;Tatzeit;Tatort;TV;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei
35;20.07.2020;Hamburg;0;Links;STGB-303;Sachbeschädigung;SPD
36;27.07.2020;Hamburg;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;SPD
37;14.08.2020;Hamburg;0;Rechts;STGB-86A;Verwenden von Kennzeichen verfassungswidriger Organisationen;SPD
38;03.07.2020;Wismar;0;Links;STGB-185;Beleidigung;AfD
39;09.07.2020;Hagenow;0;Links;STGB-303;Sachbeschädigung;AfD
40;14.07.2020;Ludwigslust;0;Links;STGB-303;Sachbeschädigung;AfD
41;26.07.2020;Hagenow;0;Links;STGB-303;Sachbeschädigung;AfD
42;07.09.2020;Schwerin;0;Links;STGB-303;Sachbeschädigung;AfD
43;02.07.2020;Hannover;0;Links;STGB-303;Sachbeschädigung;SPD
44;05.07.2020;Gottingen;0;Links;STGB-303;Sachbeschädigung;SPD
45;13.07.2020;Hildesheim;0;Links;STGB-303;Sachbeschädigung;AfD
46;20.07.2020;Salzgitter;0;Rechts;STGB-243;Bes. schwerer Diebstahl;CDU
47;24.07.2020;Hildesheim;0;Links;STGB-303;Sachbeschädigung;AfD
48;19.07.2020;Braunschweig;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
49;25.08.2020;Hildesheim;0;Links;STGB-303;Sachbeschädigung;AfD
50;04.09.2020;Schellerten;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU, SPD
51;25.08.2020;Dortmund;0;Links;STGB-303;Sachbeschädigung;keine Angabe
52;30.08.2020;Gelsenkirchen;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
53;09.07.2020;Siegen;0;Links;STGB-303;Sachbeschädigung;keine Angabe
54;09.07.2020;Köln;0;Links;STGB-303;Sachbeschädigung;SPD
55;08.07.2020;Kleve;0;Nicht zuzuordnen;STGB-304;Gemeinschädliche Sachbeschädigung;CDU
56;30.08.2020;Bottrop;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;keine Angabe
57;11.07.2020;Wuppertal;0;Links;STGB-303;Sachbeschädigung;SPD
58;12.07.2020;Wuppertal;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;SPD
59;11.07.2020;Worms;0;Links;STGB-303;Sachbeschädigung;AfD
60;11.07.2020;Lübeck;0;Links;STGB-303;Sachbeschädigung;SPD, Bündnis 90/Die Grünen, Die Linke
61;30.07.2020;Elmshorn;0;Rechts;STGB-86A;Verwenden von Kennzeichen verfassungswidriger Organisationen;keine Angabe
62;08.08.2020;Lübeck;0;Links;STGB-303;Sachbeschädigung;AfD
63;25.08.2020;Ottweiler;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
64;01.07.2020;Leipzig;0;Links;VERSG;;SPD
65;06.07.2020;Leipzig;0;Links;STGB-303;Sachbeschädigung;SPD
66;28.08.2020;Dresden;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
67;05.09.2020;Riesa;0;Links;STGB-242;Diebstahl;AfD
68;23.07.2020;Saalfeld;1;Rechts;STGB-86A;Verwenden von Kennzeichen verfassungswidriger Organisationen;CDU
69;02.07.2020;Weimar;0;Links;STGB-303;Sachbeschädigung;CDU
70;02.07.2020;Weimar;0;Links;STGB-303;Sachbeschädigung;SPD
71;07.07.2020;Meiningen;0;Links;STGB-303;Sachbeschädigung;AfD
72;05.08.2020;Gotha;0;Links;STGB-303;Sachbeschädigung;AfD
73;01.08.2020;Heilbad Heiligenstadt;0;Links;STGB-303;Sachbeschädigung;AfD
