Lfd Nr;Tatzeit;Tatort;Sachverhalt;TV*;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei
77;23.02.2021;Schwarzenberg;Fensterscheiben, sowie einen Schriftzug an der Hausfassade und einen auf einem Fenstersims des AFD Büros an.: 'Antifa, 08340 FCK, Nazi Schweine, Hanau IHR Habt mit geschossen, FCK und Nazi boxen' angebracht. Das Symbol Hammer und Sichel wurde ebenfalls mehrfach geschmiert.;0;Links;§ 303 StGB;Sachbeschädigung;AfD
78;15.02.2021;Wurzen;"Die BS brachten Plakataufkleber, Aufruf zur Gedenkveranstaltung 13.02.20201, an das Schaufenster des Parteibüros der ""DIE LINKE"". Die 3 BS wurden mit diesen Aufklebern im Stadtgebiet von Wurzen festgestellt, nachdem sie diese an einen Strom/Telefonverteilerkasten und eine Litfaßsäule klebten.";3;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke
79;11.01.2021;Freiberg;UT werfen ca. 6-10 Eier an die Schaufensterverglasung des Bürgerbüro's des Partei BÜNDNIS 90/Die Grünen.;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
80;07.03.2021;Zwickau;Online-Anzeige. UT beklebt die Glasscheibe der Büroeingangstür und ein Fenster des Bürgerbüros von B90/Die Grünen Zwickau, MdB, mit jeweils einem Plakataufkleber: 'Integrier dich weiße Frau' und 'Rassissmus ist wenn der Deutsche den Job bekommt'. Die Aufkleber haben einen derart starken Kleber, dass sie nicht einfach zu entfernen sind.;0;Rechts;§ 303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
81;22.03.2021;Freiberg;UT verschmutzte mit Tierkot die Schaufensterscheibe des AFD-Büros.;0;Links;§ 303 StGB;Sachbeschädigung;AfD
82;23.03.2021;Eilenburg;UT sprühte mit Farbe ein Hakenkreuz und den Schriftzug 'FUCK' auf das geschlossene Rolltor (Hofzufahrt) des Gemeinschaftsbüros der Kreistagsfraktion DIE LINKE Nord-und Nordwestsachsen.;0;Rechts;§ 86A StGB;Verwenden von Kennzeichen verfassungswidriger Organisationen;Die Linke
83;08.01.2021;Nordhausen;UT befestigten ein unbekanntes pyrotechnisches Erzeugnis mittels Klebeband an der Scheibe der Zugangstür zum Büro des SPD Kreisverbandes. Durch die Explosion wurde eine Scheibe der Tür zerstört.;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
84;27.01.2021;Erfurt;"UT beschmierte die Außenscheibe des Abgeordnetenbüros der Partei ""Die Linke"" mit ""White Power"".";0;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke
85;06.03.2021;Waltershausen;"UT befestigt an das Wahlkreisbüro des Thüringer Ministers für Inneres und Kommunales (SPD) einen Zettel mit Informationen zum Thema ""Zulässigkeit des Kopftuchverbotes am Arbeitsplatz"" und beschmiert mit weißer Farbe eine Treppenstufe mit der Aufschrift ""CRACK"".";0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
86;31.01.2021;Erfurt;UT wirft einen Begrenzungspoller von unbekannter Stelle durch die linke Fensterscheibe des Wahlkreisbüros der AfD und lässt diesen im Objekt liegen.;0;Links;§ 303 StGB;Sachbeschädigung;AfD
87;24.02.2021;Gotha;"An die Hausfassade des AfD-Wahlkreisbüros wurde an das bestehende Graffiti ""Antifa"" der Zusatz ""schisten"" ergänzt.";0;Links;§ 303 StGB;Sachbeschädigung;AfD
