city_id;city;pop;pop_female;pop_male;year;state
8317005;        Appenweier;9794;4807;4987;2009;BW
8317008;        Bad Peterstal-Griesbach;2716;1329;1387;2009;BW
8317009;        Berghaupten;2444;1240;1204;2009;BW
8317011;        Biberach;3350;1659;1691;2009;BW
8317021;        Durbach;3819;1902;1917;2009;BW
8317026;        Ettenheim, Stadt;12191;5914;6277;2009;BW
8317029;        Fischerbach;1720;884;836;2009;BW
8317031;        Friesenheim;12700;6268;6432;2009;BW
8317034;        Gengenbach, Stadt;11130;5345;5785;2009;BW
8317039;        Gutach (Schwarzwaldbahn);2220;1096;1124;2009;BW
8317040;        Haslach im Kinzigtal, Stadt;6992;3410;3582;2009;BW
8317041;        Hausach, Stadt;5806;2862;2944;2009;BW
8317046;        Hofstetten;1688;871;817;2009;BW
8317047;        Hohberg;7784;3829;3955;2009;BW
8317051;        Hornberg, Stadt;4310;2116;2194;2009;BW
8317056;        Kappelrodeck;5811;2875;2936;2009;BW
8317057;        Kehl, Stadt;34657;16863;17794;2009;BW
8317059;        Kippenheim;5135;2571;2564;2009;BW
8317065;        Lahr/Schwarzwald, Stadt;43721;21330;22391;2009;BW
8317067;        Lautenbach;1884;982;902;2009;BW
8317068;        Lauf;3841;1907;1934;2009;BW
8317073;        Mahlberg, Stadt;4662;2303;2359;2009;BW
8317075;        Meißenheim;3744;1889;1855;2009;BW
8317078;        Mühlenbach;1676;866;810;2009;BW
8317085;        Nordrach;1996;1036;960;2009;BW
8317088;        Oberharmersbach;2520;1283;1237;2009;BW
8317089;        Oberkirch, Stadt;19986;9901;10085;2009;BW
8317093;        Oberwolfach;2748;1364;1384;2009;BW
8317096;        Offenburg, Stadt;59156;28758;30398;2009;BW
8317097;        Ohlsbach;3218;1621;1597;2009;BW
8317098;        Oppenau, Stadt;4873;2430;2443;2009;BW
8317100;        Ortenberg;3327;1638;1689;2009;BW
8317102;        Ottenhöfen im Schwarzwald;3289;1607;1682;2009;BW
8317110;        Renchen, Stadt;7315;3634;3681;2009;BW
8317113;        Ringsheim;2186;1116;1070;2009;BW
8317114;        Rust;3754;1863;1891;2009;BW
8317116;        Sasbach;5496;2722;2774;2009;BW
8317118;        Sasbachwalden;2498;1236;1262;2009;BW
8317121;        Schuttertal;3254;1645;1609;2009;BW
8317122;        Schutterwald;7127;3625;3502;2009;BW
8317126;        Seebach;1443;726;717;2009;BW
8317127;        Seelbach;5050;2490;2560;2009;BW
8317129;        Steinach;3969;1998;1971;2009;BW
8317141;        Willstätt;9071;4509;4562;2009;BW
8317145;        Wolfach, Stadt;5831;2918;2913;2009;BW
8317146;        Zell am Harmersbach, Stadt;8045;3983;4062;2009;BW
8317150;        Schwanau;6805;3277;3528;2009;BW
8317151;        Neuried;9442;4610;4832;2009;BW
8317152;        Kappel-Grafenhausen;4866;2401;2465;2009;BW
8317153;        Rheinau, Stadt;11260;5590;5670;2009;BW
8317971;        Rheinau, gemeindefreies Gebiet;-;-;-;2009;BW
8325001;        Aichhalden;4123;2075;2048;2009;BW
8325009;        Bösingen;3507;1761;1746;2009;BW
8325011;        Dietingen;3919;1908;2011;2009;BW
8325012;        Dornhan, Stadt;6189;3074;3115;2009;BW
8325014;        Dunningen;6039;3030;3009;2009;BW
8325015;        Epfendorf;3387;1663;1724;2009;BW
8325024;        Hardt;2597;1296;1301;2009;BW
8325036;        Lauterbach;3051;1484;1567;2009;BW
8325045;        Oberndorf am Neckar, Stadt;14484;7146;7338;2009;BW
8325049;        Rottweil, Stadt;25739;12503;13236;2009;BW
8325050;        Schenkenzell;1780;900;880;2009;BW
8325051;        Schiltach, Stadt;3943;1906;2037;2009;BW
8325053;        Schramberg, Stadt;21402;10500;10902;2009;BW
8325057;        Sulz am Neckar, Stadt;12253;6008;6245;2009;BW
8325058;        Tennenbronn;-;-;-;2009;BW
8325060;        Villingendorf;3318;1604;1714;2009;BW
8325061;        Vöhringen;4154;2074;2080;2009;BW
8325064;        Wellendingen;3126;1574;1552;2009;BW
8325069;        Zimmern ob Rottweil;5921;2895;3026;2009;BW
8325070;        Fluorn-Winzeln;3188;1627;1561;2009;BW
8325071;        Eschbronn;2097;1059;1038;2009;BW
8325072;        Deißlingen;6090;3000;3090;2009;BW
8326003;        Bad Dürrheim, Stadt;12960;6000;6960;2009;BW
8326005;        Blumberg, Stadt;10216;5082;5134;2009;BW
8326006;        Bräunlingen, Stadt;6076;2985;3091;2009;BW
8326010;        Dauchingen;3573;1778;1795;2009;BW
8326012;        Donaueschingen, Stadt;21128;10409;10719;2009;BW
8326017;        Furtwangen im Schwarzwald, Stadt;9289;4811;4478;2009;BW
8326020;        Gütenbach;1217;606;611;2009;BW
8326027;        Hüfingen, Stadt;7667;3850;3817;2009;BW
8326031;        Königsfeld im Schwarzwald;5989;2825;3164;2009;BW
8326037;        Mönchweiler;3116;1534;1582;2009;BW
8326041;        Niedereschach;5962;2975;2987;2009;BW
8326052;        St. Georgen im Schwarzwald, Stadt;13208;6422;6786;2009;BW
8326054;        Schönwald im Schwarzwald;2396;1198;1198;2009;BW
8326055;        Schonach im Schwarzwald;3974;1972;2002;2009;BW
8326060;        Triberg im Schwarzwald, Stadt;4889;2386;2503;2009;BW
8326061;        Tuningen;2865;1389;1476;2009;BW
8326065;        Unterkirnach;2750;1471;1279;2009;BW
8326068;        Vöhrenbach, Stadt;3862;1955;1907;2009;BW
8326074;        Villingen-Schwenningen, Stadt;80941;39144;41797;2009;BW
8326075;        Brigachtal;5181;2540;2641;2009;BW
8327002;        Aldingen;7585;3781;3804;2009;BW
8327004;        Bärenthal;447;215;232;2009;BW
8327005;        Balgheim;1120;568;552;2009;BW
8327006;        Böttingen;1493;745;748;2009;BW
8327007;        Bubsheim;1163;610;553;2009;BW
8327008;        Buchheim;633;323;310;2009;BW
8327009;        Deilingen;1701;829;872;2009;BW
8327010;        Denkingen;2541;1279;1262;2009;BW
8327011;        Dürbheim;1678;860;818;2009;BW
8327012;        Durchhausen;914;480;434;2009;BW
8327013;        Egesheim;651;334;317;2009;BW
8327016;        Fridingen an der Donau, Stadt;3139;1565;1574;2009;BW
8327017;        Frittlingen;2137;1072;1065;2009;BW
8327018;        Geisingen, Stadt;6055;3032;3023;2009;BW
8327019;        Gosheim;3827;1883;1944;2009;BW
8327020;        Gunningen;700;342;358;2009;BW
8327023;        Hausen ob Verena;763;372;391;2009;BW
8327025;        Immendingen;5837;3101;2736;2009;BW
8327027;        Irndorf;774;362;412;2009;BW
8327029;        Königsheim;564;289;275;2009;BW
8327030;        Kolbingen;1296;631;665;2009;BW
8327033;        Mahlstetten;737;376;361;2009;BW
8327036;        Mühlheim an der Donau, Stadt;3440;1686;1754;2009;BW
8327038;        Neuhausen ob Eck;3884;1945;1939;2009;BW
8327040;        Reichenbach am Heuberg;495;235;260;2009;BW
8327041;        Renquishausen;731;381;350;2009;BW
8327046;        Spaichingen, Stadt;12318;5987;6331;2009;BW
8327048;        Talheim;1204;596;608;2009;BW
8327049;        Trossingen, Stadt;15309;7416;7893;2009;BW
8327050;        Tuttlingen, Stadt;34590;16879;17711;2009;BW
8327051;        Wehingen;3647;1807;1840;2009;BW
8327054;        Wurmlingen;3795;1853;1942;2009;BW
8327055;        Seitingen-Oberflacht;2334;1185;1149;2009;BW
8327056;        Rietheim-Weilheim;2702;1327;1375;2009;BW
8327057;        Emmingen-Liptingen;4508;2231;2277;2009;BW
8335001;        Aach, Stadt;2178;1116;1062;2009;BW
8335002;        Allensbach;7132;3253;3879;2009;BW
8335015;        Büsingen am Hochrhein;1435;708;727;2009;BW
8335021;        Eigeltingen;3600;1784;1816;2009;BW
8335022;        Engen, Stadt;10188;4944;5244;2009;BW
8335025;        Gaienhofen;3270;1556;1714;2009;BW
8335026;        Gailingen am Hochrhein;3072;1526;1546;2009;BW
8335028;        Gottmadingen;10264;4999;5265;2009;BW
8335035;        Hilzingen;8329;4072;4257;2009;BW
