Satz-art;Text-kenn-zeichen;Land;RB;Kreis;VB;Gem;Gemeindename;;insgesamt;männlich;weiblich;je km2;plz;Längengrad;Breitengrad;key_travel;Reisegebiete;Schlüssel;Grad der Verstädterung
10;;1;;;;;Schleswig-Holstein;;;;;;;;;;;;
40;41;1;0;1;;;Flensburg, Stadt;;;;;;;;;;;;
50;50;1;0;1;0;;Flensburg, Stadt;;;;;;;;;;;;
60;61;1;0;1;0;0;Flensburg, Stadt;56,74; 84 694; 41 826; 42 868; 1 493;24937;9,43751;54,78252;F02;Ostsee;1;dicht besiedelt
40;41;1;0;2;;;Kiel, Landeshauptstadt;;;;;;;;;;;;
50;50;1;0;2;0;;Kiel, Landeshauptstadt;;;;;;;;;;;;
60;61;1;0;2;0;0;Kiel, Landeshauptstadt;118,65; 243 148; 118 032; 125 116; 2 049;24103;10,13727;54,321775;F02;Ostsee;1;dicht besiedelt
40;41;1;0;3;;;Lübeck, Hansestadt;;;;;;;;;;;;
50;50;1;0;3;0;;Lübeck, Hansestadt;;;;;;;;;;;;
60;61;1;0;3;0;0;Lübeck, Hansestadt;214,21; 214 420; 102 519; 111 901; 1 001;23539;10,683932;53,866269;F02;Ostsee;1;dicht besiedelt
40;41;1;0;4;;;Neumünster, Stadt;;;;;;;;;;;;
50;50;1;0;4;0;;Neumünster, Stadt;;;;;;;;;;;;
60;61;1;0;4;0;0;Neumünster, Stadt;71,63; 77 588; 37 940; 39 648; 1 083;24534;9,988422;54,069895;F04;übrig. Schleswig-Holstein;1;dicht besiedelt
40;43;1;0;51;;;Dithmarschen;;;;;;;;;;;;
50;50;1;0;51;11;;Brunsbüttel, Stadt;;;;;;;;;;;;
60;63;1;0;51;11;11;Brunsbüttel, Stadt;65,24; 12 642; 6 318; 6 324;194;25541;9,126939;53,896665;F01;Nordsee;2;mittlere Besiedlungsdichte
50;50;1;0;51;44;;Heide, Stadt;;;;;;;;;;;;
60;63;1;0;51;44;44;Heide, Stadt;31,97; 21 303; 10 010; 11 293;666;25746;9,095401;54,195834;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
50;51;1;0;51;5163;;Burg-St. Michaelisdonn;;;;;;;;;;;;
60;64;1;0;51;5163;3;Averlak;9,07;586;301;285;65;25715;9,182663;53,941154;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;10;Brickeln;6,07;206;104;102;34;25712;9,221166;54,00849;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;12;Buchholz;14,55; 1 003;504;499;69;25712;9,223594;53,987198;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;16;Burg (Dithmarschen);11,23; 4 185; 2 018; 2 167;373;25712;9,258097;53,995937;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;22;Dingen;7,02;630;324;306;90;25715;9,125804;53,960888;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;24;Eddelak;9,21; 1 373;670;703;149;25715;9,137789;53,945505;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;26;Eggstedt;12,79;759;374;385;59;25721;9,25927;54,054535;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;32;Frestedt;10,32;374;189;185;36;25727;9,175759;54,023639;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;37;Großenrade;10,4;489;243;246;47;25712;9,223436;54,022051;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;51;Hochdonn;5,46; 1 151;566;585;211;25712;9,29316;54,019565;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;64;Kuden;11,37;618;324;294;54;25712;9,192822;53,967853;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;89;Quickborn;6,95;197;96;101;28;25712;9,206619;54,009975;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;97;Sankt Michaelisdonn;23,06; 3 501; 1 737; 1 764;152;25693;9,122148;53,994438;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;110;Süderhastedt;15,74;843;405;438;54;25727;9,20886;54,04991;F04;übrig. Schleswig-Holstein;3;gering besiedelt
50;51;1;0;51;5166;;Marne-Nordsee;;;;;;;;;;;;
60;64;1;0;51;5166;21;Diekhusen-Fahrstedt;7,46;727;379;348;97;25709;9,028338;53,942365;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5166;34;Friedrichskoog;53,35; 2 502; 1 247; 1 255;47;25718;8,89741;54,013926;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5166;46;Helse;11,44;853;432;421;75;25709;9,010226;53,977556;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5166;57;Kaiser-Wilhelm-Koog;13,06;341;173;168;26;25709;8,926364;53,942933;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5166;62;Kronprinzenkoog;28,85;816;412;404;28;25709;8,964498;53,971709;F01;Nordsee;3;gering besiedelt
60;63;1;0;51;5166;72;Marne, Stadt;4,83; 5 635; 2 675; 2 960; 1 167;25709;9,008761;53,953695;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
60;64;1;0;51;5166;73;Marnerdeich;1,31;386;205;181;295;25709;8,983369;53,94846;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
60;64;1;0;51;5166;76;Neufeld;10,41;605;309;296;58;25724;9,019046;53,907224;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5166;77;Neufelderkoog;9,76;122;66;56;13;25724;8,968891;53,906887;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5166;90;Ramhusen;4,8;154;79;75;32;25715;9,090658;53,941207;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5166;103;Schmedeswurth;5,91;195;105;90;33;25724;9,040335;53,926172;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5166;118;Trennewurth;7,79;249;134;115;32;25693;9,02715;54,000216;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5166;119;Volsemenhusen;16,78;352;181;171;21;25693;9,065625;53,967901;F04;übrig. Schleswig-Holstein;3;gering besiedelt
50;55;1;0;51;5169;;Eider;;;;;;;;;;;;
60;64;1;0;51;5169;5;Barkenholm;5,11;170;92;78;33;25791;9,174339;54,237387;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;8;Bergewöhrden;2,64;35;17;18;13;25779;9,209426;54,318469;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;19;Dellstedt;21,77;734;386;348;34;25786;9,369143;54,237892;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;20;Delve;15,84;676;337;339;43;25788;9,252365;54,303978;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;23;Dörpling;7,82;614;311;303;79;25794;9,301925;54,260654;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;30;Fedderingen;9,69;281;134;147;29;25779;9,132642;54,281144;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;35;Gaushorn;6,45;194;92;102;30;25782;9,225318;54,194896;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;36;Glüsing;4,69;117;63;54;25;25779;9,216421;54,274547;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;38;Groven;7,9;79;49;30;10;25774;8,989147;54,300165;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;47;Hemme;16,53;497;260;237;30;25774;9,010966;54,28021;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;49;Hennstedt;21,93; 1 957;987;970;89;25779;9,168248;54,283636;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;52;Hövede;2,94;61;31;30;21;25782;9,293409;54,243806;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;53;Hollingstedt;9,74;314;158;156;32;25788;9,226797;54,290548;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;58;Karolinenkoog;17,55;141;78;63;8;25774;8,965425;54,292379;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;60;Kleve;12,81;430;216;214;34;25779;9,123185;54,295634;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;61;Krempel;4,83;596;304;292;123;25774;9,027607;54,320019;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;65;Lehe;18,63; 1 056;527;529;57;25774;9,025334;54,344168;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;68;Linden;11,62;860;431;429;74;25791;9,182428;54,252623;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;71;Lunden;4,65; 1 707;873;834;367;25774;9,024249;54,330568;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;80;Norderheistedt;4,33;149;74;75;34;25779;9,146139;54,245331;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;88;Pahlen;10,8; 1 199;608;591;111;25794;9,296387;54,267813;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;92;Rehm-Flehde-Bargen;14,62;503;252;251;34;25776;9,038383;54,291775;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;96;Sankt Annen;14,89;314;163;151;21;25776;9,07975;54,345413;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;100;Schalkholz;12,5;590;295;295;47;25782;9,257028;54,246244;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;102;Schlichting;12,5;243;131;112;19;25779;9,089378;54,31014;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;114;Tellingstedt;21,1; 2 697; 1 320; 1 377;128;25782;9,281893;54,219968;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;117;Tielenhemme;12,71;167;83;84;13;25794;9,378654;54,269463;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;120;Wallen;1,86;32;16;16;17;25788;9,269538;54,2845;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;125;Welmbüttel;7,6;439;223;216;58;25782;9,246826;54,196873;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;131;Westerborstel;4,14;106;50;56;26;25782;9,260601;54,220136;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;133;Wiemerstedt;5,08;154;75;79;30;25779;9,111231;54,269297;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;136;Wrohm;11,45;699;365;334;61;25799;9,379505;54,212642;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;139;Süderdorf;16,21;354;177;177;22;25782;9,343789;54,207468;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;141;Süderheistedt;8,44;539;269;270;64;25779;9,148463;54,23483;F04;übrig. Schleswig-Holstein;3;gering besiedelt
50;55;1;0;51;5172;;Heider Umland;;;;;;;;;;;;
60;64;1;0;51;5172;48;Hemmingstedt;16,01; 2 876; 1 467; 1 409;180;25770;9,073156;54,14876;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5172;67;Lieth;4,66;390;179;211;84;25770;9,060773;54,15531;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5172;69;Lohe-Rickelshof;5,39; 2 098;987; 1 111;389;25746;9,065769;54,187792;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
60;64;1;0;51;5172;75;Neuenkirchen;25,14; 1 000;522;478;40;25792;8,988145;54,235651;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5172;81;Norderwöhrden;18,47;287;151;136;16;25746;9,000232;54,192783;F04;übrig. Schleswig-Holstein;3;gering besiedelt
