,city,date,background,law,suspects,crime,party,state,plz,city_id,insgesamt,cycle_1,cycle_2_x,cycle_3_x,crime_count,Anzahl Bewerber,Prozent Frauen,darunter Frauen,year,Land,city_id_bb,cycle_2_y,cycle_3_y,crime_count_party_lr,crime_count_party,crime_count_lr,crime_count_city,party_lr,p_female,Bewerber_city,Frauen_city,bewerber_hit_by_lr,fem_hit_by_lr,bewerber_party_hit_by_lr,fem_party_hit_by_lr,p_female_lr,p_female_city,p_female_party_lr,p_female_diff,p_female_city_diff,p_female_lr_diff,p_female_party_lr_diff,county,index,pop,female,size,share_fem,density,degree_urban,day
774,Wendlingen am Neckar,,,,,,AfD,BW,73240.0,8116071.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,58.0,20.0,0.0,0.0,0.0,0.0,,0.3448275862068966,,,-0.018808777429467072,,,Esslingen,2903.0,16227.0,8177.0,12.15,1.9844686315274551,1336.0,2.0,
780,Wendlingen am Neckar,,,,,,AfD,BW,73240.0,8116071.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,0.0,right,,66.0,24.0,0.0,0.0,0.0,0.0,,0.36363636363636365,,,-0.018808777429467072,,,Esslingen,2902.0,15670.0,8030.0,12.15,1.9514321295143213,1290.0,2.0,
786,Wernau (Neckar),,,,,,AfD,BW,73249.0,8116072.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,44.0,18.0,0.0,0.0,0.0,0.0,,0.4090909090909091,,,0.06818181818181823,,,Esslingen,2905.0,12303.0,6219.0,10.89,1.9782923299565847,1130.0,2.0,
792,Wernau (Neckar),,,,,,AfD,BW,73249.0,8116072.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,0.0,right,,44.0,15.0,0.0,0.0,0.0,0.0,,0.3409090909090909,,,0.06818181818181823,,,Esslingen,2904.0,12200.0,6167.0,10.9,1.9782714447867682,1119.0,2.0,
798,Wolfschlugen,,,,,,AfD,BW,72649.0,8116073.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,15.0,4.0,0.0,0.0,0.0,0.0,,0.26666666666666666,,,0.05614035087719299,,,Esslingen,2803.0,6375.0,3224.0,7.11,1.9773573200992556,897.0,2.0,
804,Wolfschlugen,,,,,,AfD,BW,72649.0,8116073.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,0.0,right,,19.0,4.0,0.0,0.0,0.0,0.0,,0.21052631578947367,,,0.05614035087719299,,,Esslingen,2802.0,6289.0,3227.0,7.12,1.9488689185001549,883.0,2.0,
810,Aichwald,,,,,,AfD,BW,73773.0,8116076.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,72.0,28.0,0.0,0.0,0.0,0.0,,0.3888888888888889,,,0.018518518518518545,,,Esslingen,3067.0,7554.0,3882.0,14.67,1.945904173106646,515.0,2.0,
816,Aichwald,,,,,,AfD,BW,73773.0,8116076.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,0.0,right,,54.0,20.0,0.0,0.0,0.0,0.0,,0.37037037037037035,,,0.018518518518518545,,,Esslingen,3066.0,7460.0,3820.0,14.68,1.9528795811518325,508.0,2.0,
822,Filderstadt,,,,,,AfD,BW,70794.0,8116077.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,138.0,49.0,0.0,0.0,0.0,0.0,,0.35507246376811596,,,0.034759963768115965,,,Esslingen,2455.0,46083.0,23080.0,38.55,1.9966637781629115,1195.0,2.0,
828,Filderstadt,,,,,,AfD,BW,70794.0,8116077.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,0.0,right,,128.0,41.0,0.0,0.0,0.0,0.0,,0.3203125,,,0.034759963768115965,,,Esslingen,2454.0,44721.0,22667.0,38.55,1.9729562800547051,1160.0,2.0,
834,Leinfelden-Echterdingen,,,,,,AfD,BW,70771.0,8116078.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,116.0,46.0,0.0,0.0,0.0,0.0,,0.39655172413793105,,,-0.007294429708222805,,,Esslingen,2453.0,40165.0,20266.0,29.89,1.9818908516727525,1344.0,2.0,
840,Leinfelden-Echterdingen,,,,,,AfD,BW,70771.0,8116078.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,0.0,right,,104.0,42.0,0.0,0.0,0.0,0.0,,0.40384615384615385,,,-0.007294429708222805,,,Esslingen,2452.0,38266.0,19458.0,29.89,1.966594716825984,1280.0,2.0,
846,Lenningen,,,,,,AfD,BW,73252.0,8116079.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,Esslingen,2907.0,8252.0,4085.0,41.43,2.0200734394124846,199.0,2.0,
852,Lenningen,,,,,,AfD,BW,73252.0,8116079.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,0.0,right,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,Esslingen,2906.0,7942.0,3955.0,41.44,2.0080910240202274,192.0,2.0,
858,Ostfildern,,,,,,AfD,BW,73760.0,8116080.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,104.0,37.0,0.0,0.0,0.0,0.0,,0.3557692307692308,,,-0.0608974358974359,,,Esslingen,3061.0,39312.0,19810.0,22.81,1.984452296819788,1723.0,3.0,
864,Ostfildern,,,,,,AfD,BW,73760.0,8116080.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,0.0,right,,84.0,35.0,0.0,0.0,0.0,0.0,,0.4166666666666667,,,-0.0608974358974359,,,Esslingen,3060.0,37785.0,19260.0,22.81,1.9618380062305296,1657.0,2.0,
870,Aichtal,,,,,,AfD,BW,72631.0,8116081.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,1.0,right,,18.0,9.0,0.0,0.0,0.0,0.0,,0.5,,,0.0,,,Esslingen,2795.0,9893.0,4912.0,23.6,2.014047231270358,419.0,2.0,
876,Aichtal,,,,,,AfD,BW,72631.0,8116081.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,0.0,right,,18.0,9.0,0.0,0.0,0.0,0.0,,0.5,,,0.0,,,Esslingen,2794.0,9665.0,4856.0,23.64,1.990321252059308,409.0,2.0,
882,Adelberg,,,,,,AfD,BW,73099.0,8117001.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,Göppingen,2869.0,1969.0,989.0,9.49,1.9908998988877655,207.0,1.0,
