,plz,year,pop,female,density,degree_urban,size,share_fem
62,73669.0,2014,2513.0,1270.0,233,mittlere Besiedlungsdichte,"10,8",0.5053720652606446
63,73262.0,2014,8197.0,4146.0, 1 103,mittlere Besiedlungsdichte,"7,43",0.5057948029766988
64,73266.0,2014,3395.0,1684.0,199,mittlere Besiedlungsdichte,"17,06",0.4960235640648012
65,73271.0,2014,2167.0,1093.0,699,mittlere Besiedlungsdichte,"3,1",0.5043839409321643
66,73272.0,2014,1811.0,915.0,144,gering besiedelt,"12,62",0.5052457205963556
67,73275.0,2014,1721.0,844.0,310,mittlere Besiedlungsdichte,"5,55",0.49041255084253343
68,73235.0,2014,9779.0,4918.0,369,mittlere Besiedlungsdichte,"26,51",0.5029144084262195
69,73257.0,2014,9632.0,4876.0,769,mittlere Besiedlungsdichte,"12,52",0.5062292358803987
70,73240.0,2014,15670.0,8030.0, 1 290,mittlere Besiedlungsdichte,"12,15",0.5124441608168475
71,89558.0,2014,5484.0,2604.0,107,gering besiedelt,"51,09",0.474835886214442
72,73342.0,2014,3645.0,1841.0,143,gering besiedelt,"25,45",0.5050754458161866
73,73326.0,2014,5222.0,2644.0,230,mittlere Besiedlungsdichte,"22,7",0.506319417847568
74,73061.0,2014,15166.0,7663.0,577,mittlere Besiedlungsdichte,"26,27",0.5052749571409733
75,73278.0,2014,3969.0,1986.0,362,mittlere Besiedlungsdichte,"10,97",0.5003779289493575
76,73054.0,2014,19948.0,10132.0, 1 216,mittlere Besiedlungsdichte,"16,41",0.5079205935432124
77,73113.0,2014,2442.0,1228.0,205,gering besiedelt,"11,9",0.5028665028665029
78,73084.0,2014,7925.0,4040.0,953,mittlere Besiedlungsdichte,"8,32",0.5097791798107255
79,73337.0,2014,3788.0,1924.0,158,gering besiedelt,"24,02",0.5079197465681098
80,73312.0,2014,26673.0,13512.0,352,mittlere Besiedlungsdichte,"75,83",0.5065796873242605
81,73329.0,2014,5495.0,2770.0,614,mittlere Besiedlungsdichte,"8,95",0.5040946314831665
82,73033.0,2014,55846.0,28489.0,943,mittlere Besiedlungsdichte,"59,23",0.5101350141460445
83,73114.0,2014,1664.0,849.0,172,gering besiedelt,"9,68",0.5102163461538461
84,73116.0,2014,3862.0,1979.0,298,mittlere Besiedlungsdichte,"12,95",0.5124287933713102
85,73117.0,2014,3056.0,1547.0,316,mittlere Besiedlungsdichte,"9,68",0.506217277486911
86,73072.0,2014,10737.0,5405.0,270,mittlere Besiedlungsdichte,"39,82",0.5033994598118655
87,73333.0,2014,4338.0,2188.0,433,mittlere Besiedlungsdichte,"10,01",0.5043798985707699
88,73079.0,2014,9846.0,4916.0,770,mittlere Besiedlungsdichte,"12,79",0.499289051391428
89,73111.0,2014,2574.0,1304.0,110,gering besiedelt,"23,32",0.5066045066045066
90,73345.0,2014,406.0,205.0,71,gering besiedelt,"5,69",0.5049261083743842
