,date,place,suspects,background,law,crime,party_1,party_2,party_3,party_4,party_5,party_6,party_7,id
150,21.07.2019,Berlin,0,Nicht zuzuordnen,STGB-186,Uble Nachrede,SPD,,,,,,,150
151,22.07.2019,Kothen,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,AfD,,,,,,,151
153,22.07.2019,Blankenfelde-Mahlow,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,153
154,22.07.2019,Berlin,0,Rechts,STGB-185,Beleidigung,CSU,,,,,,,154
155,22.07.2019,Gelsenkirchen,0,Rechts,STGB-241,Bedrohung,Sonstige,,,,,,,155
156,23.07.2019,Schonefeld,1,Links,STGB-185,Beleidigung,AfD,,,,,,,156
158,23.07.2019,Berlin,0,Links,STGB-224,Korperverletzung,CDU,,,,,,,158
159,23.07.2019,Karlsruhe,1,Nicht zuzuordnen,STGB-185,Beleidigung,Grune,,,,,,,159
160,23.07.2019,Lubeck,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,160
163,23.07.2019,Zittau,0,Rechts,STGB-308,Herbeifuhren einer Sprengstoffexplosion,Die Linke,,,,,,,163
164,23.07.2019,Chemnitz,1,Rechts,STGB-185,Beleidigung,Grune,,,,,,,164
165,23.07.2019,Plauen,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,165
166,23.07.2019,Chemnitz,1,Nicht zuzuordnen,STGB-185,Beleidigung,SPD,,,,,,,166
167,23.07.2019,Naunhof,0,Rechts,STGB-240,Notigung,Die Linke,,,,,,,167
168,24.07.2019,Berlin,0,Nicht zuzuordnen,STGB-185,Beleidigung,Grune,,,,,,,168
169,24.07.2019,Freiburg,1,Links,STGB-185,Beleidigung,AfD,,,,,,,169
171,24.07.2019,Freiburg,0,Links,VERSG,Verstoß gegen das Versammlungsgesetz,AfD,,,,,,,171
172,24.07.2019,Crimmitschau,2,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,172
173,25.07.2019,Wittenberge,1,Links,STGB-185,Beleidigung,AfD,,,,,,,173
177,25.07.2019,Premnitz,0,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,SPD,,,,,,,177
178,25.07.2019,Cottbus,2,Links,STGB-185,Beleidigung,AfD,,,,,,,178
179,25.07.2019,Stuttgart,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,179
181,25.07.2019,Stuttgart,0,Links,STGB-187,Verleumdung ohne Verleumdung ohne sexuelle Grundlage,AfD,,,,,,,181
182,25.07.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,182
183,25.07.2019,Glauchau,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,183
185,26.07.2019,Potsdam,0,Rechts,STGB-315B,Gefahrlicher Eingriff in den Strassenverkehr,Die Linke,,,,,,,185
186,26.07.2019,Berlin,0,Nicht zuzuordnen,STGB-185,Beleidigung,Grune,,,,,,,186
188,26.07.2019,Konstanz,0,Nicht zuzuordnen,STGB-315B,Gefahrlicher Eingriff in den Strassenverkehr,Grune,,,,,,,188
191,26.07.2019,Dresden,0,Rechts,STGB-132A,"Missbrauch von Titeln, Berufsbezeichnungen und Abzeichen",Sonstige,,,,,,,191
192,27.07.2019,Falkensee,0,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,AfD,,,,,,,192
194,27.07.2019,Berlin,0,Nicht zuzuordnen,STGB-185,Beleidigung,Grune,,,,,,,194
195,27.07.2019,Dresden,0,Links,STGB-185,Beleidigung,AfD,,,,,,,195
199,27.07.2019,Leipzig,0,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Die Linke,,,,,,,199
200,28.07.2019,Arendsee,0,Links,STGB-211,Mord,AfD,,,,,,,200
201,28.07.2019,Colditz,0,Rechts,STGB-240,Notigung,Die Linke,,,,,,,201
202,29.07.2019,Zeuthen,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,202
203,29.07.2019,Berlin,0,Nicht zuzuordnen,STGB-185,Beleidigung,Grune,,,,,,,203
204,29.07.2019,Berlin,0,Nicht zuzuordnen,STGB-185,Beleidigung,Grune,,,,,,,204
205,29.07.2019,Berlin,0,Nicht zuzuordnen,STGB-185,Beleidigung,Grune,,,,,,,205
206,29.07.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,206
207,29.07.2019,Breitenbrunn,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Grune,,,,,,,207
208,29.07.2019,Oederan,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,208
209,30.07.2019,Eichwalde,0,Links,STGB-185,Beleidigung,AfD,,,,,,,209
210,30.07.2019,Luckenwalde,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,210
212,30.07.2019,Berlin,0,Links,KUG,Verstoss gegen das Kunsturhebergesetz,AfD,,,,,,,212
213,30.07.2019,Goslar,0,Nicht zuzuordnen,STGB-202A,Ausspahen von Daten,CDU,,,,,,,213
214,30.07.2019,Neuwied,0,Rechts,STGB-185,Beleidigung,SPD,,,,,,,214
215,30.07.2019,Kiel,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,215
219,30.07.2019,Dresden,1,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,CDU,,,,,,,219
220,30.07.2019,Glauchau,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,220
221,31.07.2019,Panketal,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,221
223,31.07.2019,Bad Freienwalde,1,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,223
224,31.07.2019,Berlin,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,224
225,31.07.2019,Heddesheim,1,Rechts,STGB-185,Beleidigung,Grune,,,,,,,225
226,31.07.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,226
227,31.07.2019,Waldenburg,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,227
228,01.08.2019,Berglen,1,Nicht zuzuordnen,STGB-185,Beleidigung,AfD,,,,,,,228
232,02.08.2019,Wittenberge,1,Links,STGB-188,Verleumdung von Personen des politischen LebensLebens,AfD,,,,,,,232
233,02.08.2019,Hamburg,0,Nicht zuzuordnen,STGB-185,Beleidigung,SPD,,,,,,,233
237,02.08.2019,Schoningen,1,Rechts,STGB-188,Verleumdung von Personen des politischen LebensLebens,CDU,,,,,,,237
238,02.08.2019,Nienburg,0,Rechts,STGB-303,Sachbeschadigung,SPD,,,,,,,238
239,02.08.2019,Koln,1,Nicht zuzuordnen,STGB-185,Beleidigung,SPD,,,,,,,239
243,02.08.2019,Rothenburg,0,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,SPD,,,,,,,243
247,02.08.2019,Meerane,0,Links,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,AfD,,,,,,,247
251,02.08.2019,Ringleben,1,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,CDU,,,,,,,251
252,03.08.2019,Furth,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,252
253,03.08.2019,Leipzig,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,253
258,03.08.2019,Glauchau,0,Links,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,AfD,,,,,,,258
259,03.08.2019,Glauchau,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,259
260,03.08.2019,Remse,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,260
261,03.08.2019,Dennheritz,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,261
262,03.08.2019,Niederwurschnitz,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,262
263,03.08.2019,Leipzig,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,AfD,,,,,,263
265,04.08.2019,Frankfurt,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,265
269,04.08.2019,Breit,2,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Die Linke,,,,,,,269
271,04.08.2019,Schulldorf,0,Rechts,STGB-111,Straftaten,CDU,,,,,,,271
272,04.08.2019,Dresden,0,Nicht zuzuordnen,STGB-185,Beleidigung,CDU,,,,,,,272
276,05.08.2019,Meerane,0,Links,STGB-166,"Beleidigung, Beschimpfung von Bekentnisse, Religionsgemeinschaften und Weltanschauungen",CDU,,,,,,,276
280,05.08.2019,Meerane,1,Links,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,AfD,CDU,,,,,,280
284,05.08.2019,Dresden,0,Links,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,AfD,CDU,,,,,,284
285,05.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,CDU,,,,,,285
288,06.08.2019,Dresden,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,288
290,07.08.2019,Achern,0,Links,KUG,Verstoss gegen das Kunsturhebergesetz,AfD,,,,,,,290
294,07.08.2019,Leipzig,0,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,CDU,,,,,,,294
295,07.08.2019,Oelsnitz,0,Rechts,STG B-303,Sachbeschadigung,CDU,,,,,,,295
299,07.08.2019,Dresden,0,Links,STG B-166,"Beleidigung, Beschimpfung von Bekentnisse, Religionsgemeinschaften und Weltanschauungen",CDU,,,,,,,299
300,07.08.2019,Glauchau,2,Links,STG B-185,Beleidigung,AfD,,,,,,,300
304,08.08.2019,Glauchau,1,Links,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,AfD,,,,,,,304
305,08.08.2019,Leipzig,0,Rechts,STG B-303,Sachbeschadigung,Die Linke,,,,,,,305
306,09.08.2019,Eberswalde,1,Links,STGB-223,Korperverletzung,AfD,,,,,,,306
307,09.08.2019,Fehrbellin,0,Nicht zuzuordnen,STG B-303,Sachbeschadigung,CDU,,,,,,,307
308,09.08.2019,Panketal,0,Nicht zuzuordnen,STG B-303,Sachbeschadigung,CDU,,,,,,,308
309,09.08.2019,Krefeld,0,Links,STG B-306,Brandstiftung,AfD,,,,,,,309
310,09.08.2019,Bannewitz,1,Links,STGB-240,Notigung,AfD,,,,,,,310
311,09.08.2019,Grimma,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,311
312,09.08.2019,Grossschonau,0,Links,STG B-303,Sachbeschadigung,AfD,,,,,,,312
314,10.08.2019,Blankenfelde-Mahlow,1,Links,STG B-186,Uble Nachrede,AfD,,,,,,,314
315,10.08.2019,Lauterbach,1,Links,STG B-185,Beleidigung,AfD,,,,,,,315
316,10.08.2019,Dresden,1,Links,STGB-223,Korperverletzung,AfD,,,,,,,316
317,10.08.2019,Glauchau,0,Links,STG B-303,Sachbeschadigung,AfD,,,,,,,317
319,11.08.2019,Uslar,0,Links,STGB-306,Brandstiftung,AfD,CDU,FDP,Die Linke,AfD,,,319
324,11.08.2019,Delitzsch,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,324
328,11.08.2019,Meerane,0,Links,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,AfD,,,,,,,328
329,12.08.2019,Gross Kreutz,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,329
330,12.08.2019,Niemegk,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,330
331,12.08.2019,Stuttgart,1,Rechts,STGB-130,Volksverhetzung,AfD,,,,,,,331
332,12.08.2019,Wolfenbuttel,1,Links,STGB-185,Beleidigung,AfD,,,,,,,332
333,12.08.2019,Kirchberg,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,333
334,12.08.2019,Leipzig,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,334
335,12.08.2019,Leipzig,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,335
336,12.08.2019,Erfurt,1,Rechts,STGB-241,Bedrohung,Grune,,,,,,,336
337,13.08.2019,Leipzig,2,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,337
338,13.08.2019,Leipzig,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,338
339,13.08.2019,Waldenburg,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,339
341,13.08.2019,Dobeln,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,341
343,14.08.2019,Bernau,1,Nicht zuzuordnen,STGB-111,Straftaten,CDU,,,,,,,343
345,14.08.2019,Potsdam,1,Nicht zuzuordnen,STGB-187,Verleumdung ohne sexuelle Grundlage,AfD,,,,,,,345
346,14.08.2019,Berlin,0,Rechts,STGB-130,Volksverhetzung,AfD,,,,,,,346
347,14.08.2019,Isen,0,Rechts,STGB-130,Volksverhetzung,Grune,,,,,,,347
349,14.08.2019,Dresden,0,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,CDU,,,,,,,349
356,15.08.2019,Schwedt,0,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Die Linke,,,,,,,356
357,15.08.2019,Karlsruhe,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,AfD,,,,,,,357
358,15.08.2019,Isen,0,Rechts,STGB-185,Beleidigung,Grune,,,,,,,358
359,15.08.2019,Flensburg,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,359
360,15.08.2019,Zittau,0,Rechts,STGB-303,Sachbeschadigung,CDU,,,,,,,360
361,15.08.2019,Markkleeberg,0,Rechts,STGB-241,Bedrohung,SPD,,,,,,,361
362,15.08.2019,Meerane,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,362
363,15.08.2019,Bautzen,1,Links,STGB-185,Beleidigung,AfD,,,,,,,363
365,16.08.2019,Hamburg,1,Links,STGB-224,Korperverletzung,Sonstige,,,,,,,365
366,16.08.2019,Leipzig,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,366
367,16.08.2019,Erfurt,1,Links,STGB-185,Beleidigung,AfD,,,,,,,367
368,17.08.2019,Prosigk,1,Nicht zuzuordnen,STGB-185,Beleidigung,AfD,00,,,,,,368
370,17.08.2019,Berlin,0,Links,STGB-111,Straftaten,Sonstige,,,,,,,370
371,18.08.2019,Bernau,0,Links,STGB-185,Beleidigung,AfD,,,,,,,371
372,18.08.2019,Freiburg,0,Links,STGB-185,Beleidigung,AfD,,,,,,,372
374,18.08.2019,Mittweida,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,Grune,FDP,Die Linke,,,,374
378,18.08.2019,Sebnitz,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,CDU,FDP,,,,,378
381,18.08.2019,Hohnstein,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Die Linke,SPD,,,,,,381
384,19.08.2019,Senftenberg,1,Nicht zuzuordnen,STGB-185,Beleidigung,CDU,,,,,,,384
385,19.08.2019,Chemnitz,1,Links,STGB-242,Diebstahl,Sonstige,,,,,,,385
386,20.08.2019,Berlin,0,Rechts,STGB-185,Beleidigung,Grune,,,,,,,386
387,20.08.2019,Berlin,0,Rechts,STGB-185,Beleidigung,Grune,,,,,,,387
391,20.08.2019,Dresden,0,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,CDU,,,,,,,391
392,20.08.2019,Neustadt,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,392
393,21.08.2019,Hameln,1,Links,STGB-185,Beleidigung,CDU,,,,,,,393
395,21.08.2019,Elmshorn,1,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Grune,FDP,,,,,,395
396,21.08.2019,Gablenz,4,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,396
398,21.08.2019,Dresden,0,Links,STGB-224,Korperverletzung,AfD,,,,,,,398
399,21.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,399
400,21.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,400
401,21.08.2019,Leipzig,1,Links,STGB-185,Beleidigung,Sonstige,,,,,,,401
403,21.08.2019,Leipzig,1,Links,STGB-315C,Gefahrlicher Eingriff in den Strassenverkehr,Sonstige,,,,,,,403
