Satz-art;Text-kenn-zeichen;Land;RB;Kreis;VB;Gem;Gemeindename;;insgesamt;männlich;weiblich;je km2;plz;Längengrad;Breitengrad;key_travel;Reisegebiete;Schlüssel;Grad der Verstädterung
10;;1;;;;;Schleswig-Holstein;;;;;;;;;;;;
40;41;1;0;1;;;Flensburg, Stadt;;;;;;;;;;;;
50;50;1;0;1;0;;Flensburg, Stadt;;;;;;;;;;;;
60;61;1;0;1;0;0;Flensburg, Stadt;56,74; 88 502; 43 648; 44 854;1 560;24937;9,2615;54,4657;;;;
40;41;1;0;2;;;Kiel, Landeshauptstadt;;;;;;;;;;;;
50;50;1;0;2;0;;Kiel, Landeshauptstadt;;;;;;;;;;;;
60;61;1;0;2;0;0;Kiel, Landeshauptstadt;118,65; 238 281; 116 559; 121 722;2 008;24103;10,0814;54,1918;;;;
40;41;1;0;3;;;Lübeck, Hansestadt;;;;;;;;;;;;
50;50;1;0;3;0;;Lübeck, Hansestadt;;;;;;;;;;;;
60;61;1;0;3;0;0;Lübeck, Hansestadt;214,21; 209 818; 99 747; 110 071;979;23539;10,4111;53,5201;;;;
40;41;1;0;4;;;Neumünster, Stadt;;;;;;;;;;;;
50;50;1;0;4;0;;Neumünster, Stadt;;;;;;;;;;;;
60;61;1;0;4;0;0;Neumünster, Stadt;71,63; 76 897; 37 718; 39 179;1 074;24534;9,591;54,0423;;;;
40;43;1;0;51;;;Dithmarschen;;;;;;;;;;;;
50;50;1;0;51;11;;Brunsbüttel, Stadt;;;;;;;;;;;;
60;63;1;0;51;11;11;Brunsbüttel, Stadt;65,24; 13 228; 6 541; 6 687;203;25541;9,0737;53,5348;;;;
50;50;1;0;51;44;;Heide, Stadt;;;;;;;;;;;;
60;63;1;0;51;44;44;Heide, Stadt;31,97; 20 747; 9 897; 10 850;649;25746;9,0543;54,1145;;;;
50;51;1;0;51;5163;;Burg-St. Michaelisdonn;;;;;;;;;;;;
60;64;1;0;51;5163;3;Averlak;9,07;622;306;316;69;25715;9,1058;53,5628;;;;
60;64;1;0;51;5163;10;Brickeln;6,07;217;114;103;36;25712;9,1316;54,0031;;;;
60;64;1;0;51;5163;12;Buchholz;14,55; 1 073;539;534;74;25712;12,383;53,1638;;;;
60;64;1;0;51;5163;16;Burg (Dithmarschen);11,23; 4 272; 2 042; 2 230;380;25712;9,1529;53,5945;;;;
60;64;1;0;51;5163;22;Dingen;7,02;685;349;336;98;25715;9,0733;53,5739;;;;
60;64;1;0;51;5163;24;Eddelak;9,21; 1 396;684;712;152;25715;9,0816;53,5644;;;;
60;64;1;0;51;5163;26;Eggstedt;12,79;796;399;397;62;25721;9,1533;54,0316;;;;
60;64;1;0;51;5163;32;Frestedt;10,32;379;194;185;37;25727;9,1033;54,0125;;;;
60;64;1;0;51;5163;37;Großenrade;10,4;525;264;261;50;25712;9,1324;54,0119;;;;
60;64;1;0;51;5163;51;Hochdonn;5,46; 1 249;615;634;229;25712;9,1735;54,011;;;;
60;64;1;0;51;5163;64;Kuden;11,36;643;337;306;57;25712;9,1134;53,5804;;;;
60;64;1;0;51;5163;89;Quickborn;6,95;184;84;100;26;25712;9,1224;54,0036;;;;
60;64;1;0;51;5163;97;Sankt Michaelisdonn;23,05; 3 640; 1 787; 1 853;158;25693;9,072;53,594;;;;
60;64;1;0;51;5163;110;Süderhastedt;15,74;859;409;450;55;25727;9,1232;54,026;;;;
50;51;1;0;51;5166;;Marne-Nordsee;;;;;;;;;;;;
60;64;1;0;51;5166;21;Diekhusen-Fahrstedt;7,46;741;382;359;99;25709;9,0142;53,5633;;;;
60;64;1;0;51;5166;34;Friedrichskoog;53,35; 2 450; 1 222; 1 228;46;25718;8,5351;54,005;;;;
60;64;1;0;51;5166;46;Helse;11,44;919;459;460;80;25709;9,0037;53,5839;;;;
60;64;1;0;51;5166;57;Kaiser-Wilhelm-Koog;13,06;376;187;189;29;25709;8,5555;53,5611;;;;
60;64;1;0;51;5166;62;Kronprinzenkoog;28,85;888;453;435;31;25709;8,5752;53,5818;;;;
60;63;1;0;51;5166;72;Marne, Stadt;4,83; 5 874; 2 742; 3 132;1 216;25709;9,0032;53,5713;;;;
60;64;1;0;51;5166;73;Marnerdeich;1,31;348;180;168;266;25709;8,5859;53,5655;;;;
60;64;1;0;51;5166;76;Neufeld;10,4;649;348;301;62;25724;9,0107;53,5426;;;;
60;64;1;0;51;5166;77;Neufelderkoog;9,76;135;66;69;14;25724;8,5808;53,5425;;;;
60;64;1;0;51;5166;90;Ramhusen;4,8;161;87;74;34;25715;9,0526;53,5628;;;;
60;64;1;0;51;5166;103;Schmedeswurth;5,91;210;109;101;36;25724;9,0228;53,5536;;;;
60;64;1;0;51;5166;118;Trennewurth;7,78;262;140;122;34;25693;9,0138;54,0001;;;;
60;64;1;0;51;5166;119;Volsemenhusen;16,78;352;189;163;21;25693;9,0421;53,5802;;;;
50;55;1;0;51;5169;;Eider;;;;;;;;;;;;
60;64;1;0;51;5169;5;Barkenholm;5,11;176;91;85;34;25791;9,1028;54,1415;;;;
60;64;1;0;51;5169;8;Bergewöhrden;2,64;33;14;19;13;25779;9,1234;54,1906;;;;
60;64;1;0;51;5169;19;Dellstedt;21,77;809;417;392;37;25786;9,2209;54,1416;;;;
60;64;1;0;51;5169;20;Delve;15,84;721;368;353;46;25788;9,1509;54,1814;;;;
60;64;1;0;51;5169;23;Dörpling;7,82;627;309;318;80;25794;9,1807;54,1538;;;;
60;64;1;0;51;5169;30;Fedderingen;9,69;285;144;141;29;25779;9,0758;54,1652;;;;
60;64;1;0;51;5169;35;Gaushorn;6,45;210;109;101;33;25782;9,1331;54,1142;;;;
60;64;1;0;51;5169;36;Glüsing;4,69;122;68;54;26;25779;9,1259;54,1628;;;;
60;64;1;0;51;5169;38;Groven;7,9;142;77;65;18;25774;8,5921;54,1801;;;;
60;64;1;0;51;5169;47;Hemme;16,53;547;299;248;33;25774;9,0039;54,1649;;;;
60;64;1;0;51;5169;49;Hennstedt;21,93; 1 928;981;947;88;25779;9,1006;54,1701;;;;
60;64;1;0;51;5169;52;Hövede;2,94;65;39;26;22;25782;9,1736;54,1438;;;;
60;64;1;0;51;5169;53;Hollingstedt;9,74;313;159;154;32;25788;9,1336;54,1726;;;;
60;64;1;0;51;5169;58;Karolinenkoog;17,55;123;63;60;7;25774;8,5756;54,1733;;;;
60;64;1;0;51;5169;60;Kleve;12,81;429;219;210;33;25779;9,0723;54,1744;;;;
60;64;1;0;51;5169;61;Krempel;4,83;602;304;298;125;25774;9,0139;54,1912;;;;
60;64;1;0;51;5169;65;Lehe;18,63; 1 076;519;557;58;25774;7,2037;53,001;;;;
60;64;1;0;51;5169;68;Linden;11,62;856;437;419;74;25791;7,5102;50,3607;;;;
60;64;1;0;51;5169;71;Lunden;4,65; 1 644;828;816;354;25774;9,0127;54,195;;;;
60;64;1;0;51;5169;80;Norderheistedt;4,33;147;75;72;34;25779;9,0846;54,1443;;;;
60;64;1;0;51;5169;88;Pahlen;10,8; 1 190;596;594;110;25794;9,1747;54,1604;;;;
60;64;1;0;51;5169;92;Rehm-Flehde-Bargen;14,63;557;290;267;38;25776;9,0218;54,173;;;;
60;64;1;0;51;5169;96;Sankt Annen;14,89;327;175;152;22;25776;9,0447;54,2043;;;;
60;64;1;0;51;5169;100;Schalkholz;12,5;592;287;305;47;25782;9,1525;54,1446;;;;
60;64;1;0;51;5169;102;Schlichting;12,5;234;117;117;19;25776;9,0522;54,1837;;;;
60;64;1;0;51;5169;114;Tellingstedt;21,1; 2 538; 1 245; 1 293;120;25782;9,1655;54,1312;;;;
60;64;1;0;51;5169;117;Tielenhemme;12,71;144;70;74;11;25794;9,2243;54,161;;;;
60;64;1;0;51;5169;120;Wallen;1,86;33;15;18;18;25788;9,161;54,1704;;;;
60;64;1;0;51;5169;125;Welmbüttel;7,6;453;235;218;60;25782;9,1449;54,1149;;;;
60;64;1;0;51;5169;131;Westerborstel;4,14;104;50;54;25;25782;9,1538;54,1312;;;;
60;64;1;0;51;5169;133;Wiemerstedt;5,08;164;83;81;32;25779;9,064;54,1609;;;;
60;64;1;0;51;5169;136;Wrohm;11,45;721;366;355;63;25799;9,2246;54,1246;;;;
60;64;1;0;51;5169;139;Süderdorf;16,21;379;190;189;23;25782;9,2038;54,1227;;;;
60;64;1;0;51;5169;141;Süderheistedt;8,44;592;275;317;70;25779;9,0854;54,1405;;;;
50;55;1;0;51;5172;;Heider Umland;;;;;;;;;;;;
60;64;1;0;51;5172;48;Hemmingstedt;16,02; 2 920; 1 441; 1 479;182;25770;9,0423;54,0856;;;;
60;64;1;0;51;5172;67;Lieth;4,66;407;190;217;87;25770;9,0339;54,0919;;;;
60;64;1;0;51;5172;69;Lohe-Rickelshof;5,39; 2 062;975; 1 087;383;25746;9,0357;54,1116;;;;
60;64;1;0;51;5172;75;Neuenkirchen;25,14; 1 035;527;508;41;25792;13,2213;53,3551;;;;
60;64;1;0;51;5172;81;Norderwöhrden;18,47;279;151;128;15;25746;9,0001;54,1134;;;;
60;64;1;0;51;5172;82;Nordhastedt;26,55; 2 732; 1 396; 1 336;103;25785;9,1055;54,1019;;;;
60;64;1;0;51;5172;87;Ostrohe;6,7;935;458;477;140;25746;9,0751;54,125;;;;
60;64;1;0;51;5172;107;Stelle-Wittenwurth;10,71;483;225;258;45;25795;9,034;54,1545;;;;
60;64;1;0;51;5172;113;Wöhrden;21,77; 1 325;660;665;61;25797;8,594;54,0956;;;;
60;64;1;0;51;5172;122;Weddingstedt;17,89; 2 291; 1 104; 1 187;128;25795;9,052;54,1421;;;;
60;64;1;0;51;5172;130;Wesseln;3,76; 1 375;689;686;366;25746;9,0432;54,123;;;;
50;51;1;0;51;5175;;Mitteldithmarschen;;;;;;;;;;;;
60;64;1;0;51;5175;1;Albersdorf;17,12; 3 445; 1 676; 1 769;201;25767;11,4623;50,5413;;;;
60;64;1;0;51;5175;2;Arkebek;6,92;227;113;114;33;25767;9,1501;54,0935;;;;
60;64;1;0;51;5175;4;Bargenstedt;11,9;908;445;463;76;25704;9,0839;54,0544;;;;
60;64;1;0;51;5175;6;Barlt;22,88;809;416;393;35;25719;9,0322;54,0034;;;;
60;64;1;0;51;5175;15;Bunsoh;11,75;873;449;424;74;25767;9,1913;54,0956;;;;
60;64;1;0;51;5175;17;Busenwurth;10,09;301;162;139;30;25719;9,0229;54,023;;;;
60;64;1;0;51;5175;27;Elpersbüttel;30,17;903;456;447;30;25704;9,025;54,0423;;;;
60;64;1;0;51;5175;28;Epenwöhrden;13,52;811;416;395;60;25704;9,031;54,0646;;;;
60;64;1;0;51;5175;39;Gudendorf;6,04;398;196;202;66;25693;9,063;54,0129;;;;
60;64;1;0;51;5175;54;Immenstedt;3,09;103;43;60;33;25767;9,1759;54,105;;;;
60;64;1;0;51;5175;63;Krumstedt;15,89;533;259;274;34;25727;9,1041;54,0407;;;;
60;63;1;0;51;5175;74;Meldorf, Stadt;21,25; 7 425; 3 624; 3 801;349;25704;9,0408;54,0527;;;;
60;64;1;0;51;5175;78;Nindorf;8,73; 1 209;609;600;138;25704;9,0654;54,0512;;;;
60;64;1;0;51;5175;83;Odderade;11,29;314;160;154;28;25785;9,1127;54,0822;;;;
60;64;1;0;51;5175;85;Offenbüttel;13,95;293;145;148;21;25767;9,2129;54,1009;;;;
60;64;1;0;51;5175;86;Osterrade;17,09;461;234;227;27;25767;9,2112;54,1125;;;;
60;64;1;0;51;5175;98;Sarzbüttel;13,39;732;370;362;55;25785;9,1103;54,0708;;;;
60;64;1;0;51;5175;99;Schafstedt;18,16; 1 341;678;663;74;25725;9,1737;54,0448;;;;
60;64;1;0;51;5175;104;Schrum;5;80;41;39;16;25782;9,1506;54,1114;;;;
60;64;1;0;51;5175;126;Wennbüttel;4,55;79;36;43;17;25767;9,1921;54,0817;;;;
60;64;1;0;51;5175;134;Windbergen;17,31;846;436;410;49;25729;9,0705;54,0242;;;;
60;64;1;0;51;5175;135;Wolmersdorf;6,1;330;168;162;54;25704;9,0614;54,0438;;;;
60;64;1;0;51;5175;137;Nordermeldorf;34,1;631;327;304;19;25704;9,0049;54,0617;;;;
60;64;1;0;51;5175;138;Tensbüttel-Röst;19,36;697;347;350;36;25767;9,1414;54,066;;;;
50;51;1;0;51;5178;;Büsum-Wesselburen;;;;;;;;;;;;
60;64;1;0;51;5178;13;Büsum;8,27; 4 988; 2 306; 2 682;603;25761;8,5138;54,0745;;;;
